date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.37324,3.101658611,24.1744174208,6232945526.75533,1.9726108064,48.6197522047,25.6653971471,2.2440653246,35013.7140443423,34940.0,287476798281.967,5.6275000572,1.92206,1.859191,86.9999980927,72148.0,2855.0,16.197318762,1.0,1.684595,1.105386,1.0,1.606079,1.378657,28.7,0.855,362822.0,100.83262,100.35335,63.04729,781292.0,53.0615005493
2006-01-01,2.35923,3.058607406,26.2542625151,10993883346.6651,3.2720031407,50.8416688618,3.1251494779,3.4540418361,37623.0757580996,37710.0,311818314868.547,5.2428002357,1.914531,1.913557,86.0000038147,76180.0,3000.0,16.4899751284,1.0,1.831036,1.075933,1.0,1.644535,1.372685,29.6,0.861,355293.0,101.55929,100.32996,63.04729,782981.0,53.9463005066
2007-01-01,2.41843,3.059730891,28.6009320733,14749054068.6709,3.7945404366,52.5608694224,17.7173406826,3.7274153009,39392.5405883999,39350.0,326450890545.42,4.8579001427,2.013397,1.960128,81.0000038147,79147.0,3441.0,16.8229160966,1.0,1.870187,1.283752,1.0,1.690031,1.369262,30.6,0.881,347249.0,101.67125,99.70887,63.04729,777792.0,41.0853996277
2008-01-01,2.56945,3.141958678,29.3561662009,19299052401.6221,4.4850821792,53.2488606164,1.4643800456,1.4604236757,41316.225176699,41660.0,346680570770.484,4.1280999184,1.843035,1.922995,81.0000038147,82300.0,2684.0,17.1735120119,1.0,1.78084,1.339206,1.0,1.606344,1.358464,30.4,0.884,337448.0,100.72594,99.42073,65.8869,770792.0,70.2947998047
2009-01-01,2.59674,3.048646422,30.5143889874,10303724796.1585,2.5748221082,45.2074165608,3.5734768412,-3.7645781779,40926.5237645676,40910.0,341315238549.098,5.3014001846,1.703025,1.78489,79.0000009537,85200.0,3100.0,17.5052310119,1.0,1.66658,1.190602,1.0,1.452587,1.392846,31.5,0.886,331565.0,100.20248,99.64985,68.11265,762981.0,66.5059967041
2010-01-01,2.7261,3.005224684,30.6592165744,11472431144.4445,2.9274415629,51.2621603273,-5.6156500344,1.8370936768,42006.0468807427,42360.0,354252259996.34296,4.8200001717,1.585462,1.8003,79.0000009537,88280.0,3280.0,17.7983837952,1.0,1.841763,1.152648,1.0,1.452815,1.430291,30.3,0.895,328015.0,99.78978,98.80721,75.62378,743709.0,67.9067001343
2011-01-01,2.66868,3.066662898,30.9885937244,6798975982.3796,1.577048407,53.9486708516,5.3312132122,2.9227972837,44452.7327457999,44600.0,374289188740.567,4.5637998581,1.431896,1.801555,77.8690290451,88280.0,2969.0,18.0531001298,1.0,1.617761,1.193522,1.0,1.382634,1.402444,30.8,0.897,326351.0,99.7387,98.06147,78.49945,723523.0,64.2338027954
2012-01-01,2.91472,2.896013491,33.4265374778,6141933076.67494,1.5001354495,53.9736761965,1.2746210242,0.6804455768,46457.3457770311,46500.0,392030460346.489,4.8649997711,1.389731,1.858179,69.0,103500.0,3436.0,18.2744944354,1.0,1.575873,1.340567,1.0,1.524189,1.448773,30.5,0.899,326955.0,100.59906,97.84332,78.93891,709910.0,65.133102417
2013-01-01,2.95492,2.861178584,34.6806004056,8379185904.99943,1.9483365454,53.4412932967,0.1048919979,0.0255047122,47922.0491207455,48050.0,407466618825.43896,5.3347997665,1.550795,1.851382,69.0,107000.0,3330.0,18.4729790331,1.0,1.588477,1.364101,1.0,1.490679,1.456567,30.8,0.896,327187.0,101.21012,99.19738,79.6554,706501.6083300001,65.7329025269
2014-01-01,3.08429,2.961299866,35.3942733419,10589968447.7841,2.3959414319,53.3865790462,0.3873733617,0.6612728489,48799.7154676985,48860.0,417609480255.935,5.619699955,1.474735,1.952464,72.0,110300.0,3664.4444444444,18.6596177414,1.0,1.572586,1.2707,1.0,1.48773,1.391321,30.5,0.904,327246.83333,101.62819,99.66308,79.1587,697388.41667,71.1013031006
