date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.78231,0.948974071,2.4669355231,7700999844.664909,1.9972977391,74.2828289214,8.7304323344,2.32173738,33177.8909458158,33590.0,352001708926.33704,8.440199852,1.385844,1.268298,74.0000009537,77000.0,2722.0,17.2910563364,1.0,1.711561,0.7958109,1.0,1.272992,1.420762,29.3,0.889,738580.0,100.46234,159.89013,61.08548,1200324.0,31.6945991516
2006-01-01,1.81426,0.926107419,2.8266238874,7553988245.752509,1.8518395366,76.8049970552,14.4199426287,2.552353767,35222.6051497546,35730.0,376869593236.568,8.2459001541,1.309614,1.23609,73.0000019073,77500.0,2678.0,17.3149802603,1.0,1.747101,0.8576542,1.0,1.330316,1.342394,28.1,0.896,732808.0,100.73419,161.01921,61.65359,1218946.0,48.7869987488
2007-01-01,1.84413,0.933294457,3.3290812486,7043546782.48605,1.4975937817,78.3018047028,20.5287381423,3.6769182409,36755.6563289744,37270.0,395987261074.10205,7.4579000473,1.355735,1.330672,70.9999990463,78000.0,2934.0,17.2950927556,1.0,1.60886,0.7574292,1.0,1.419906,1.360771,29.2,0.899,732411.0,101.53422,159.51427,61.20013,1220793.0,34.542301178
2008-01-01,1.92413,0.928618756,3.9117502967,-4300219760.99251,-0.834631875,80.8806199752,36.9532514977,0.4469165453,37883.3319417819,38800.0,415597849908.875,6.9755997658,1.37489,1.345495,73.0000019073,78300.0,2891.0,17.2624990746,1.0,1.389756,0.6212433,1.0,1.40555,1.324988,28.4,0.899,733052.0,102.15756,158.74341,62.08624,1221848.0,36.8214988708
2009-01-01,1.98537,0.96500986,4.8334593536,8777353551.119629,1.8235021872,68.8340037082,16.0704608747,-2.0207258164,37757.2820887917,38460.0,415226929118.109,7.907599926,1.460206,1.384073,70.9999990463,85000.0,2711.0,17.2651506362,1.0,1.571342,0.819909,1.0,1.312602,1.346693,28.6,0.899,731603.0,102.12756,156.63837,65.26769,1206211.0,53.3087997437
2010-01-01,2.05081,0.955351867,5.8373914756,7337927601.44296,1.5257101029,75.8500644792,26.0924149494,2.8642853268,39836.8977087435,40450.0,440708358085.14795,8.2924995422,1.527498,1.393128,70.9999990463,87711.0,2996.0,17.3340272585,1.0,1.575026,0.8106462,1.0,1.28502,1.360687,28.4,0.903,731761.0,101.92424,156.86153,67.82901,1202775.0,57.1237983704
2011-01-01,2.15533,0.914263523,6.6320651484,-10168977415.4153,-1.9456738922,80.6973629125,31.3069519165,1.6944974461,40942.372710454,41010.0,452655752838.94604,7.1395998001,1.575072,1.418426,74.8743104935,88000.0,3385.0,17.433762735,1.0,1.656356,0.9545354,1.0,1.241629,1.325163,28.1,0.904,736062.0,101.9468,156.63317,69.84253,1190846.0,57.2013015747
2012-01-01,2.27334,0.900607177,7.7587290659,-413616611.594275,-0.0833599825,80.4044905065,2.3802334503,0.7392299051,42290.7620520019,43270.0,480620383220.801,7.5416998863,1.608068,1.427129,75.0,90000.0,3507.0,17.5930177447,1.0,1.602476,0.9235997,1.0,1.22858,1.349422,27.5,0.905,744331.0,102.25605,157.79477,71.19202,1191573.0,60.8364982605
2013-01-01,2.33393,0.905390614,8.1294345226,5078944279.8718,0.9736442472,79.3243484015,-5.6822273486,0.4592280501,43671.11959259,44750.0,499349513623.745,8.4252996445,1.673882,1.438435,75.0,92500.0,3924.0,17.787165135,1.0,1.607339,0.9400827,1.0,1.291454,1.373046,27.7,0.908,764137.0,103.82197,160.91923,72.11549,1206574.0,59.7487983704
2014-01-01,2.38729,0.932161882,9.0739950975,4041465918.7495704,0.7558690175,79.8010090736,-2.8439302162,1.5785232295,44929.685593416,45870.0,514186705056.39703,8.5227003098,1.573292,1.523439,76.0,95845.0,4483.5294117647,17.9771720233,1.0,1.381594,0.7012694,1.0,1.157765,1.366339,28.1,0.91,773568.0,103.64806,162.29934,72.9974,1210112.0,63.9160995483
2015-01-01,2.46123,0.918195699,9.2016405308,6363243452.05958,1.3768793394,77.8052821517,-4.2224947299,2.0327889726,46213.2665340101,46870.0,528391165614.716,8.482000351,1.573307,1.463494,77.0,99645.0,4339.0,18.1423094028,1.0,1.438441,0.5870946,1.0,1.287759,1.38744,27.7,0.913,782606.0,103.15581,163.93472,74.55976,1217912.0,60.5872993469
2016-01-01,2.54569,0.785182063,8.5888154148,2646800222.52589,0.555984084,79.3766835722,12.0864458841,1.5111060342,47855.4902282394,48310.0,547413588895.83295,7.8296999931,1.638705,1.390965,77.0,103308.0,4318.0,18.3718587123,1.0,1.326213,0.4413673,1.0,1.340684,1.376962,27.6,0.915,797390.0,103.31777,161.03316,75.89064,1196383.0,62.8790016174
2017-01-01,2.59448,0.9775360119,9.2932584138,6180354945.89861,1.2286877934,82.3114451876,-7.1854459037,1.9641927554,50220.8666703868,50760.0,577433304963.813,7.0862002373,1.497117,1.343427,75.0,106858.0,4099.0,18.5840790883,1.0,1.181693,0.4280707,1.0,1.24425,1.384985,27.4,0.917,814974.0,103.90557,158.54185,79.66173,1186830.0,62.0682983398
2018-01-01,2.3169864266,0.9536716113,9.6001006464,-5250876554.0934105,-0.9674379079,82.5757394527,-11.575318907,1.4584053528,51407.9983373414,51740.0,590957500469.294,5.9482002258,1.510279,1.3679,75.0,110318.0,4242.0,18.7887437383,1.0,1.171748,0.412356,1.0,1.233861,1.397253,28.3835247397,0.919,764579.6571893394,103.6162586913,161.4136857034,72.1925634362,1215448.258505702,62.7667007446
