date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,6232945526.75533,7700999844.664909,-3346998839.5214896,55102457066.3372,-970855828.8013211,-2809704225.91577,133087243134.908,11007384393.5368,-83915470590.1026,-1386395116.61799,7788421393.4192705,-142691013.406228,-49149334300.2486,-18218753983.732,-2478708459.26082,-11181808084.8179,-7144573582.78567,-2653254418.09806,-17000913298.29,,-1919874860.50662,4104514088.98152,-1986928140.8581,-418293151.785524,41570269413.239,49967488000.0408,-7981000000.0,-18936787439.7129,-8540555216.85637,-5125148705.738971,-680500000.0,23583338994.913
2006-01-01,10993883346.6651,7553988245.752509,-5863231595.240029,61581178327.4035,-1278222530.56614,-3996084353.2344,173486477217.384,9461656812.10659,-111532335014.355,-2585466593.62435,7996502344.723141,514325562.52515095,-75847895288.4724,-29576385911.1083,-3246164894.97949,-8422271299.47517,-7862125526.79035,-3974355923.16471,-28764140573.0057,,-3221801193.21659,4211880596.10862,-4520558736.67533,-530459806.469372,57194899544.2723,55913071665.1842,-13893000000.0,-21356231609.2249,-12909857013.7492,-5452492095.42579,-695267588.989618,34468824245.4933
2007-01-01,14749054068.6709,7043546782.48605,-11437006353.762,47930911916.577,-1830417730.9320397,-8945618935.57798,235777197044.803,4841519012.77284,-139287625661.585,-3503236041.50727,9581228389.70195,-8718514442.634441,-103088716343.798,-44579249236.0976,-4351942651.273829,-10209896208.3164,-13848550480.3311,-2955849017.66436,-30521264104.4781,,-6110167739.71175,4990207754.8182,-6426791354.30909,-159302726.4515,50053545967.9086,49732367558.4286,-27429000000.0,-23226935476.2678,-23924307026.9341,-4632972214.12302,-2014619534.78415,39927516579.5256
2008-01-01,19299052401.6221,-4300219760.99251,-11875334885.4618,13187538777.1846,-4021890150.5923705,-4407952631.4357,213250033110.589,10413116838.3802,-145715515235.168,-2216651993.71584,5710387877.20251,-28163013357.7813,-114803011373.054,-51297053502.019005,-6213967989.5737295,-11125011068.8044,-15302982165.932,-4338343637.56777,-66827457034.1413,,-6488341255.22471,4357316567.77322,-4483621315.02016,-77693874.56794742,38962664854.2201,72915061387.0417,-35829000000.0,-31230591785.5068,-24986071300.6904,-6270398054.51731,-2946457396.89484,40802935942.2616
2009-01-01,10303724796.1585,8777353551.119629,-4256328502.85846,40721497989.5006,-1737607775.50751,-4869768332.55461,201134895341.825,11323461379.1277,-60418930687.3382,525703676.23777,4408598035.446529,-22099585073.5784,-79877916831.5849,-35945594305.5771,-3158042324.01581,-892033654.183193,-5007385900.33075,-1257163347.90602,-40358960060.9894,,870122235.311432,3549715834.76283,2059020546.0826,-557609606.52769,50062869721.6387,45169002358.6256,-17867000000.0,-25121217594.4793,-8234134436.181721,-3020735525.6965103,-535417871.29213494,25918197361.0024
2010-01-01,11472431144.4445,7337927601.44296,-964620000.0,85821578272.7864,-2798526225.68996,-7351204483.70952,196171903151.515,21051011384.4253,-52249545356.1328,343686947.10822403,2792204907.56176,-22031068187.7643,-78778924007.3021,-30262611051.7222,-894404541.475575,341646259.646128,2319661324.96392,-881086127.4411321,-72993785933.0447,,72423566.0274165,3583714365.18471,434885510.678211,-419944052.33630097,61803347055.1226,50258127255.8711,-25843000000.0,-24406544935.3535,-8478450856.71902,-4209659221.6365204,-357445846.866522,29195824932.3735
2011-01-01,6798975982.3796,-10168977415.4153,272490000.0,54661211220.7431,-606475259.489323,-5020059122.201261,231971688209.185,22681953273.8671,-39975229877.5027,309074192.337054,-4796921117.25686,-29508603051.6754,-46703872303.8403,-28599315728.5508,-375677421.393464,886554259.9495789,2829018505.41802,-770298543.075026,-68277003214.7862,,-1592642666.40219,3587036822.1696897,-921392612.033279,-13070293.315477801,81373336077.922,66453557988.1617,-27322000000.0,-14719312839.82,-9276545443.60215,-4909247747.63555,-420011482.546151,31438301866.0035
2012-01-01,6141933076.67494,-413616611.594275,-528620000.0,71311683676.6801,-998425002.416898,-3158497435.6835,251550848619.46698,20460990722.6196,735150583.0459,-444602799.656742,-5900574337.39528,-32875102689.5348,-92827543226.9456,-6172097058.75121,-207948363.42988,1989672606.8815,9240448060.17682,-551498813.3439599,-7328074417.53105,,-686066798.88896,3208057139.6205897,-1026550014.5006199,151308332.458471,89514058235.6887,63595359982.8121,-18572000000.0,-3561728369.91936,-8200067935.73753,889408167.6147571,612039460.222181,30417334377.5637
2013-01-01,8379185904.99943,5078944279.8718,678640000.0,79673219972.9709,-349870669.376058,-1105890387.1482198,245280384975.381,26685645940.0187,27588004255.4173,75410518.78007859,-5238728662.00055,-24382747331.6784,-132862845873.011,-4949141208.60395,566902270.930818,4665997538.15975,14436274710.2326,925852693.2656789,21281996590.3629,,791119636.130651,3427890489.66947,-829023257.0283049,270411855.303124,85496733373.1877,53449786436.0721,-6709000000.0,3720882132.09959,-2076328541.87715,1797389174.28443,1593819071.19235,30298382929.3698
2014-01-01,10589968447.7841,4041465918.7495704,747230000.0,60661859383.5493,-957946474.8802401,457719869.135026,278432644859.211,31353332575.5896,22662337678.7699,173055018.043069,-4331080867.71232,-37354496128.6695,-144632005147.975,-3734712056.8720603,448060736.08171105,1604607987.0994198,8918824411.845041,686690283.339159,40172048364.5287,,1651986577.22858,3344743190.08255,-719686383.360026,991367813.0503051,75952978907.9213,54964662112.8759,-11405000000.0,340855577.589982,-1382752069.81905,1198842398.64519,2555789894.9345,26016749095.2257
