date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,1.9726108064,1.9972977391,-11.2934575321,13.4827234307,-5.2668267133,-2.0617038468,4.6766151529,4.1620959855,-7.2762086124,-9.8337567482,3.8027711006,-0.0064973962,-1.9360192817,-7.3527053295,-5.4613031969,-9.8970740728,-3.3756702897,-15.7814108295,-0.9152458022,,-7.3486412883,10.990094845,-11.750458767,-6.5410926149,6.0678317601,16.1767660512,-2.6071034602,-9.6037912922,-8.6747719845,-8.1629748879,-1.8795021563,6.0508508082
2006-01-01,3.2720031407,1.8518395366,-17.1790523073,14.2905891823,-6.3679377055,-2.5704274374,5.7979636318,3.3447014021,-8.8563844662,-15.1976116212,3.6865949201,0.0221826521,-2.7949480135,-10.8212464477,-6.4337952404,-7.2871355081,-3.3876284292,-23.0846860939,-1.4766594558,,-10.6625455745,9.930329606,-21.0878310976,-7.8503836122,7.7992244283,16.1794230027,-4.0298925431,-10.2387851533,-10.5798556644,-7.7112696304,-1.7610161801,8.2024927971
2007-01-01,3.7945404366,1.4975937817,-25.7523668214,9.9874093306,-7.6366796747,-4.7274524967,6.8915932932,1.5157056876,-9.4616317315,-15.6076857082,3.7418990878,-0.3281074428,-3.3244962114,-13.9967152283,-7.2311853445,-7.2945544619,-5.1306520427,-13.7385735982,-1.3808698271,,-15.3760633424,9.8062304949,-20.8000365087,-2.0214775848,5.9061518943,12.4040323379,-6.3927593013,-9.6702018323,-13.7035136097,-5.358881998,-4.1965668388,8.1823231255
2008-01-01,4.4850821792,-0.834631875,-21.8259932306,2.3788617259,-14.4440065671,-1.8700063874,5.7171164075,2.9468774693,-8.9658680708,-9.0953375284,2.0067854754,-0.9650211917,-3.9280219196,-14.4718550354,-8.8406092293,-7.0350762008,-5.5639338248,-24.2294477523,-2.7858045815,,-13.5595956566,7.8018639635,-12.5739566495,-0.8654626294,4.1099959048,15.7739451351,-6.7118659108,-11.9044075658,-11.6586478524,-6.2410955305,-5.3039141976,7.9165413728
2009-01-01,2.5748221082,1.8235021872,-8.2034712252,7.5200414727,-6.6971730107,-2.3619016169,5.9195781083,3.5249083006,-4.0670168236,2.6625847624,1.7460034366,-0.821478032,-3.3131856224,-10.892596012,-5.0394698682,-0.682189905,-2.1189328266,-9.5495366114,-1.8418304507,,2.3240026273,6.9100219955,7.8436186462,-6.5384190985,5.7670985026,11.6960452864,-4.0625638897,-10.3081858997,-4.7294426417,-3.3923205012,-1.0630107811,5.9566426145
2010-01-01,2.9274415629,1.5257101029,-1.9059847669,14.7009282554,-10.875482533,-3.5431272317,5.7759555918,6.5376770192,-3.6776754427,1.7459301854,1.1205520377,-0.8336860887,-3.1826726488,-10.1090498653,-1.4954605437,0.2605290712,1.0441927981,-6.4389513368,-3.4204862047,,0.1956086885,6.7347257257,1.8275481118,-4.7998151175,7.3005716966,11.7218197596,-5.3915799994,-10.2599847579,-5.1005815419,-4.6678566451,-0.7421855536,5.894233393
2011-01-01,1.577048407,-1.9456738922,0.4745690078,7.8134380799,-2.2001267504,-2.2022792135,6.195148896,6.5935309286,-2.7032705242,1.3211210067,-1.7427905367,-1.0312615781,-1.7562402031,-9.9372940075,-0.6024890167,0.6282736288,1.1913043198,-5.0816114625,-2.9789384797,,-3.6680725267,5.9779333831,-3.2619649939,-0.1374370875,9.0006191675,13.3364974349,-5.1664782771,-6.0128593147,-5.0569046756,-4.9589602709,-0.8152971651,5.4890669691
2012-01-01,1.5001354495,-0.0833599825,-0.9806871249,10.6747069952,-3.9971353994,-1.5230744791,7.1314502155,6.2543349473,0.0554905974,-1.9169938065,-2.2843452954,-1.2249345592,-3.4318446555,-2.5123459561,-0.3680864479,1.5525675295,4.106875221,-3.7455574702,-0.351116624,,-1.6019646899,5.6601490923,-3.6440199228,1.6428926307,10.6695017446,12.4817608423,-3.7117214968,-1.6471440197,-4.789863696,0.942004195,1.3139404236,5.5211190564
2013-01-01,1.9483365454,0.9736442472,1.2215604554,11.5719291442,-1.463840567,-0.5281172277,6.5710485735,7.7668388287,2.0363796189,0.2984025308,-1.9310773699,-0.8673807597,-4.768907218,-2.0633284857,0.9764589093,3.4458535865,6.0518405924,5.7744826834,0.9938749477,,1.7031275827,5.5521970459,-2.7381753367,2.6629852679,9.7496225766,10.2245064284,-1.2797712227,1.6437205973,-1.0873729706,1.8206213192,3.292885588,5.1824195155
2014-01-01,2.3959414319,0.7558690175,1.3152090191,8.5537765622,-4.141913354,0.2202499979,7.1688560456,8.8821241426,1.6549114064,0.6463674634,-1.5778231551,-1.3096888212,-4.7206688488,-1.5756312223,0.7773045689,1.1415920892,3.4505975021,3.8669153604,1.860563071,,3.4071997685,5.0598308969,-2.293252478,8.770272028,8.5246433302,11.0280003554,-2.0911674698,0.1484587379,-0.6926685322,1.1849638988,5.1186758088,4.4837188246
2015-01-01,1.7374975348,1.3768793394,0.122247794,11.2607902246,-0.4222139968,0.2467439866,8.5764722258,8.244292108,2.0171774888,1.7496500894,-0.7167931919,-0.374473265,-4.9030135773,-0.8196656554,5.0303442432,2.3492510755,10.8687315237,5.1205817627,1.3823816911,,-2.4519496415,5.1071545016,-0.8901705754,2.8040761394,6.3377941137,8.0625850734,-0.5498591288,0.2361312349,-1.2118723958,-2.0906044334,3.8187114912,4.102666625
2016-01-01,2.7254119874,0.555984084,3.2992461489,9.4697650612,-4.1338571096,1.5459037688,8.4727162051,7.7648506398,3.1896287744,1.6743406277,-0.7418741359,-0.4938797527,-5.2638939082,-1.6704317961,2.6937143716,4.5918188076,4.7748737874,7.6884374044,2.5815162874,,-0.8011996422,4.8730481259,1.4300147509,3.7979430091,8.0304547264,4.0034764234,-0.5192488577,1.0928171247,-2.1011328085,-2.7135961036,4.8256458185,3.7265212718
2017-01-01,1.5383137745,1.2286877934,3.6446487617,6.523401452,-5.0038638441,1.4579939073,8.1038613478,7.7965898632,2.719806124,2.6998079299,-0.6848457899,-0.6368384668,-3.4892355287,-1.7756038362,5.4184300099,2.2261068502,1.0147044089,3.8005210474,2.7309385134,,0.9718494455,5.2101687858,0.9926612532,10.5382247999,10.8406907899,4.6287896611,0.0190035852,1.2976827405,-3.1908362602,-1.9260922193,6.167945543,2.8050154649
2018-01-01,2.3718587637,-0.9674379079,5.3616793653,10.5085409889,-4.2747728092,0.3507169003,7.3436020781,6.9672736743,1.9243005165,1.9926774243,-1.6147816973,-0.68457453,-4.3114810732,-2.8658763348,2.3929728709,-0.4293468973,10.6933051303,2.8258365622,2.5836200151,,1.5302236465,4.8335602046,-0.6130826078,9.8480356452,10.8426830685,7.2260168181,-0.9937441673,0.39758173,-4.5687848154,-2.6064918755,5.690351219,1.7045244547
