date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup
2005-01-01,0.85689,2.758763728,26.8368896995,-2478708459.26082,-5.4613031969,36.7288249648,3.9533945666,4.3140096603,15303.8626234987,14950.0,64431187192.9834,12.5978002548,0.1686195,0.1285327,17.2475330386,2.0,0.4607839,0.4330623,2.0,0.5099912,0.4526123,32.6,0.785,196253.0,103.34599,93.17103,44.76409,400123.0
2006-01-01,0.74081,2.827552068,25.5172157786,-3246164894.97949,-6.4337952404,37.915812375,6.5385882291,5.0010548852,17431.3047095463,16990.0,73251904984.7267,11.1295995712,0.0785967,0.0060766,17.4125561656,2.0,0.5713952,0.5591877,2.0,0.4197808,0.4814937,32.6,0.794,194748.0,100.70325,94.93426,45.58529,395836.0
2007-01-01,0.79187,2.740853821,22.6721558894,-4351942651.273829,-7.2311853445,37.827308906,7.5891515277,5.2663815233,19354.9821889334,18920.0,81555817083.767,9.9092998505,0.0918284,0.0876414,17.4403646045,2.0,0.4742114,0.6047199,2.0,0.4911637,0.517976,32.6,0.801,190693.0,97.72112,96.60086,47.1877,392952.0
2008-01-01,0.88397,3.005884494,24.1559113464,-6213967989.5737295,-8.8406092293,36.4012076074,7.3807442803,1.7595317459,20776.4481468631,20160.0,86870002599.052,8.5303001404,-0.0105806,0.0863836,17.4074974337,2.0,0.5699982,0.5717462,2.0,0.5098007,0.4678069,32.6,0.805,182296.0,93.84366,98.37135,49.1642,391637.0
2009-01-01,0.84323,2.96554821,27.1782564635,-3158042324.01581,-5.0394698682,32.6639775942,5.1045332329,-7.3594980217,19998.6846884633,19270.0,82969234407.5887,9.2020998001,-0.0464476,0.1621467,17.4266296636,2.0,0.5968499,0.6115873,1.0,0.5598809,0.4862779,32.6,0.804,174192.0,91.78289,99.84746,48.78587,391437.0
2010-01-01,0.7422,2.854405622,29.7750473066,-894404541.475575,-1.4954605437,36.177385971,2.3811348398,-1.4962594951,19761.4849126156,19100.0,82032425213.1172,11.620300293,0.0592684,0.2019465,17.5602362664,2.0,0.6223207,0.6084636,1.0,0.5743341,0.4764283,32.4,0.811,167452.0,91.94395,99.901,54.02853,388515.0
2011-01-01,0.75041,2.850664397,27.1862393887,-375677421.393464,-0.6024890167,38.8644501985,2.2734626513,-0.3098472866,20743.5063798886,20080.0,85949505860.5996,13.6780004501,0.063671,0.217893,17.854656246,2.0,0.5612522,0.6237471,1.0,0.5373026,0.5210824,32.3,0.817,162186.0,93.53773,99.19125,57.22782,384008.0
2012-01-01,0.75029,2.842125447,29.4219488728,-207948363.42988,-0.3680864479,39.5251693295,2.5933528034,-2.237705463,21136.4032954146,20390.0,87018293237.0633,15.9345998764,0.0098654,0.2456077,18.2012152114,2.0,0.7066917,0.6068915,1.0,0.4582827,0.5408306,32.5,0.82,159945.0,96.37912,98.91718,60.64715,380753.0
2013-01-01,0.81016,3.060093757,32.8375105988,566902270.930818,0.9764589093,40.4345774316,1.614466042,-0.5485186939,21769.2799583314,21280.0,90578068318.8526,17.2511005402,0.1242202,0.2916495,18.5614359825,2.0,0.7011864,0.6426679,1.0,0.4630746,0.5137413,32.0,0.825,160275.0,99.68901,99.34799,65.53489,379102.0
2014-01-01,0.78252,2.987026194,33.648191269,448060736.08171105,0.7773045689,43.3005334656,6.869639009,-0.1038682488,22062.0257043498,21620.0,91640765973.0788,17.2896995544,0.2190414,0.3196851,18.9064676589,2.0,0.6929633,0.6191124,1.0,0.3950692,0.5149403,32.1,0.827,160819.0,100.99602,98.70238,67.51023,370356.0
2015-01-01,0.84027,3.013220815,33.1274666359,2491562517.05656,5.0303442432,46.379749429,0.3209501944,2.4371393022,23013.6220508491,22870.0,96137727855.8516,16.1751995087,0.2452261,0.2003541,19.2458835297,2.0,0.5138493,0.590728,1.0,0.3640225,0.5555071,31.1,0.83,162355.0,100.57923,98.65387,66.49102,360205.0
2016-01-01,0.8627,3.18354157,32.9688961488,1389873896.6094198,2.6937143716,47.6333169784,3.6132414807,3.4835254217,24511.8948549293,23780.0,99280870469.3597,13.1034002304,0.2033308,0.4091761,19.6156823572,2.0,0.4942868,0.6637695,1.0,0.3562783,0.5245169,30.9,0.832,162519.0,98.20057,98.87111,66.53238,349018.0
2017-01-01,0.8645,3.0071455838,31.527896093,2997454900.01015,5.4184300099,50.0289962969,3.688492663,3.1391959992,26351.9070402821,25970.0,107094758143.83801,11.2081003189,0.1867006,0.3342483,20.0223913942,2.0,0.5713063,0.6918686,1.0,0.424106,0.5114164,30.4,0.835,162955.0,96.47103,99.40242,67.86556,339838.0
2018-01-01,0.789236312,2.9572778744,34.5011406431,1459036223.54372,2.3929728709,50.5166501106,2.1064869314,2.6307856225,27579.7808327382,27180.0,111138143842.784,8.4322004318,0.1316391,0.324786,20.4454330124,2.0,0.4569183,0.7688776,1.0,0.4473468,0.5019643,32.4799615622,0.837,164659.8231873661,101.160634004,99.9762440913,67.8205099989,380689.2884136438
