date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.16835,2.604629537,7.5128473429,-2809704225.91577,-2.0617038468,62.181957291,10.0749157452,6.5334688051,21956.3838583853,20970.0,214084360418.233,7.92689991,0.4873076,0.8675278,1314.0,14.043483597,1.0,0.9252368,0.9360713,1.0,1.110906,0.9056726,26.9,502831.0,99.2147,95.67085,48.34936,975284.0,14.3094997406
2006-01-01,1.23173,2.45435607,7.8582877253,-3996084353.2344,-2.5704274374,65.1862987852,4.5875644886,6.8535223344,23776.4870553843,22340.0,228697026228.795,7.1476998329,0.3565845,0.8726435,1580.0,14.2262347147,1.0,1.09646,1.053972,1.0,1.108626,0.9622927,26.7,473269.0,99.9962,96.03756,50.13669,966280.0,39.2719993591
2007-01-01,1.30228,2.55482699,8.2925802782,-8945618935.57798,-4.7274524967,66.4089661851,7.3010998947,5.6026436837,26124.8954490421,24460.0,251865694517.321,5.3200998306,0.3026025,0.9059033,2218.0,14.4615061996,1.0,0.8953341,1.015041,1.0,1.023206,0.9952838,26.0,462820.0,103.18527,94.95881,54.18236,937026.0,32.7919998169
2008-01-01,1.23933,2.613779695,8.9551013453,-4407952631.4357,-1.8700063874,63.2263674242,3.7397954646,2.6822827258,27844.7953264656,26040.0,270395387186.615,4.3924999237,0.358294,0.914494,2461.0,14.7444966872,1.0,1.013642,1.049845,1.0,1.15504,1.032759,26.3,459899.0,105.73485,94.14958,58.06951,903691.0,30.366399765
2009-01-01,1.29438,2.54668482,10.2141620436,-4869768332.55461,-2.3619016169,58.6842997764,2.5568019002,-4.8025720923,27599.3008601602,25650.0,267930037450.393,6.6620998383,0.3862098,0.9625925,1860.0,15.0703817783,1.0,0.8832404,0.9050642,1.0,1.311661,1.033045,26.2,460486.0,105.97286,93.85027,61.07541,868328.0,40.9273986816
2010-01-01,1.33688,2.441656086,10.9177199802,-7351204483.70952,-3.5431272317,66.0295210253,4.9006840907,2.2734200537,27667.4328953053,25620.0,268403859052.561,7.2790999413,0.3316386,0.9494792,2240.0,15.4402621435,1.0,0.9052177,0.9892337,1.0,1.299505,1.014818,26.6,463357.0,103.80442,94.65642,63.94588,836847.0,33.2752990723
2011-01-01,1.55571,2.543273931,12.1206034598,-5020059122.201261,-2.2022792135,71.3071567311,1.8375814071,1.7778331856,28797.4179611691,26620.0,279370310382.565,6.7111001015,0.3417933,1.036918,2500.0,15.9068025916,1.0,0.9309797,1.109118,1.0,1.201138,1.022664,26.4,468273.0,100.76086,95.79879,65.57001,805253.0,57.8307991028
2012-01-01,1.78231,2.346147422,12.7628160099,-3158497435.6835,-1.5230744791,76.1700746223,4.5488293632,-0.799844281,29047.2464395949,27250.0,286391051564.635,6.9781999588,0.2722682,1.041853,3140.0,16.4195245326,1.0,0.9289219,1.054106,1.0,1.05909,0.9703797,26.1,477413.0,99.36768,96.79181,65.67117,777216.0,40.5541992188
2013-01-01,1.89973,2.508317512,13.9237189142,-1105890387.1482198,-0.5281172277,76.8709518102,3.5136068505,-0.4836710418,30485.7141541113,28670.0,301403153675.82,6.9527001381,0.228799,1.039771,2294.0,16.9583658786,1.0,0.89182,1.084779,1.0,1.085486,0.9845335,26.5,491828.0,98.74181,103.99895,65.08577,801314.0,38.574798584
2014-01-01,1.97285,2.658368397,14.8307420893,457719869.135026,0.2202499979,82.5456924296,3.8921792422,2.7151161333,32263.3157548997,30090.0,316710658172.226,6.1079001427,0.3677951,1.152181,1961.0,17.4908989692,1.0,1.017593,0.9899905,1.0,1.005961,1.026667,25.9,510613.0,98.66823,104.69722,65.6241,781392.0,45.7134017944
2015-01-01,1.92923,2.564365612,14.8285619496,460991643.44860196,0.2467439866,81.0493010658,0.9098726958,5.3092385182,33691.4242392608,31420.0,331373073380.675,5.0464000702,0.4337359,1.148088,1843.0,17.9949774544,1.0,1.046509,0.9791891,1.0,1.098858,1.042761,25.9,534932.0,99.51668,105.0893,64.48163,770437.0,39.1413002014
2016-01-01,1.68015,2.600177566,14.0218102356,3015907873.71519,1.5459037688,79.5556198734,5.5618417949,2.4505423864,35230.5224608776,32950.0,348125885411.157,3.9514000416,0.5367572,1.035502,2351.0,18.5215508599,1.0,1.036739,0.9761155,1.0,0.986401,1.024769,25.4,557455.0,100.20888,104.63481,63.74813,765502.0,43.0632019043
2017-01-01,1.79079,2.5383123707,15.1205708636,3148006331.6242,1.4579939073,79.726077499,5.2033516212,4.3526035198,38019.5805142033,35680.0,378037051129.97205,2.8898000717,0.567677,1.116695,2103.0,18.9967065231,1.0,1.005325,0.9998168,1.0,1.232614,0.9715869,24.9,575980.0,100.67099,103.49158,64.07869,772457.0,53.4012985229
2018-01-01,1.8550445799,2.6270728763,14.5265915379,860048615.269931,0.3507169003,78.3860643927,3.4636002258,2.957784473,39743.5970941416,37530.0,398780149831.938,2.2432999611,0.5037321,1.04966,2261.0,19.4208768932,1.0,0.9222081,1.040143,1.0,1.261501,0.930312,26.6521752477,502118.2930677534,99.0465442365,104.7051340397,64.6829594213,839054.1711057423,61.0196990967
