date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.39337,4.574246169,16.1263978315,11007384393.5368,4.1620959855,47.4521255152,4.857700582,2.3366413248,34150.1594558945,34430.0,186566260237.83603,4.8298997879,2.288495,1.948244,95.0,26800.0,855.0,15.1526955926,1.0,2.119752,1.074679,1.0,1.650685,1.739609,25.2,0.903,414103.0,98.73159,124.09972,80.37451,464952.0,52.2108001709
2006-01-01,2.403,4.400634839,15.2671237359,9461656812.10659,3.3447014021,50.7300470194,0.8431870652,3.9130079413,37295.6593508184,37750.0,205243068258.73398,3.8970000744,2.469991,1.997572,95.0,28040.0,710.0,15.3890519345,1.0,2.22626,1.047865,1.0,1.803423,1.571636,25.9,0.905,415793.0,99.30144,119.99984,79.01963,463617.0,52.2108001709
2007-01-01,2.51541,4.391965519,17.7009281704,4841519012.77284,1.5157056876,51.4825350512,3.6971141163,0.9092389592,38968.5153979593,39160.0,213892593685.525,3.8010001183,2.446026,2.01373,93.9999961853,29110.0,780.0,15.6579775101,1.0,2.353998,1.117682,1.0,1.925144,1.477704,26.2,0.904,415793.0,100.01467,118.75887,78.55219,475140.0,71.7320022583
2008-01-01,2.77346,4.434618125,18.549254688,10413116838.3802,2.9468774693,54.175797414,0.6201067534,-0.5120167348,41278.3268270571,41740.0,229296531979.344,3.4337000847,2.393064,1.966503,93.0000019073,30000.0,850.0,15.9604629475,1.0,2.251272,1.065299,1.0,1.873556,1.538306,25.2,0.909,410400.0,99.61479,117.84123,75.68209,484199.0,58.1576004028
2009-01-01,3.05514,4.654656869,19.3427639308,11323461379.1277,3.5249083006,47.1260734605,1.1739024206,-4.9065477294,40339.6771281296,40740.0,225023089962.946,6.0072999001,2.446495,1.924757,93.0000019073,30000.0,1063.0,16.2972089546,1.0,2.232205,1.000632,1.0,1.88179,1.538261,26.7,0.906,406622.0,99.56537,117.97562,74.28376,493144.0,83.7342987061
2010-01-01,2.91707,4.402261138,21.3548364626,21051011384.4253,6.5376770192,50.5229276396,-3.654669083,1.8709911098,42999.616135066,43700.0,242450184707.942,7.4636001587,2.358993,1.897532,93.0000019073,31500.0,1063.0,16.6677047996,1.0,2.09679,1.040961,1.0,1.876393,1.541957,27.2,0.91,403344.0,99.58201,119.49685,73.59667,504205.0,88.3021011353
2011-01-01,2.94465,4.23083883,23.8989672739,22681953273.8671,6.5935309286,53.8201489281,3.9415031876,1.3367777778,44403.3848413929,45340.0,252568140433.285,7.5727000237,2.404429,1.922708,93.9208030701,31500.0,1063.0,17.032272024,1.0,2.101079,1.100293,1.0,1.905198,1.551707,27.3,0.922,470807.0,100.78067,122.69902,76.75835,519115.0,88.8871002197
2012-01-01,2.98125,4.339683402,27.2819568791,20460990722.6196,6.2543349473,54.6304940173,-4.9976703256,0.226499797,44803.9682421214,45820.0,256181670980.004,7.5258002281,2.381079,1.8739,90.0,35000.0,731.0,17.4897338272,1.0,1.984567,0.9149107,1.0,1.806774,1.674114,27.8,0.924,470711.0,101.35656,123.40579,79.10832,527851.0,89.1128997803
2013-01-01,2.97048,4.261226201,27.3428385983,26685645940.0187,7.7668388287,54.8288189867,0.1980121806,0.9333409571,46726.8541437832,48210.0,270675551874.23398,6.99669981,2.404901,1.900482,91.0,35800.0,809.0,18.0264608306,1.0,1.992455,0.9592335,1.0,1.80997,1.666271,28.5,0.926,469568.0,101.54556,129.33805,80.93104,555278.0,89.4630966187
2014-01-01,2.91404,4.369073034,30.2716312824,31353332575.5896,8.8821241426,54.6131396383,1.863305283,1.6193938166,47901.4473627066,49640.0,280163778604.424,6.5892000198,2.24726,2.096355,92.0,36800.0,870.0,18.5704555421,1.0,1.819007,0.9517797,1.0,1.687075,1.524577,28.4,0.928,467484.0,101.29423,129.32817,81.02908,553791.0,87.6212005615
