date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.92364,9.110103019,18.8612379096,-1386395116.61799,-9.8337567482,65.4743010612,22.1820514677,9.4902967983,16624.9120413037,15870.0,21499500921.8641,8.0331001282,1.032414,0.9697641,64.0000009537,4440.0,16.7550868662,1.0,0.9649968,0.6038897,1.0,1.294085,0.9921685,33.4,0.825,85539.0,98.90731,102.78908,67.9128,124493.0,53.3418998718
2006-01-01,1.11666,9.010195141,17.1630792136,-2585466593.62435,-15.1976116212,63.3059913912,13.0034054877,9.7187592429,19313.2642372794,18260.0,24589142619.2906,5.9147000313,1.020037,1.1409,66.9999980927,4440.0,16.9948338586,1.0,1.157151,0.7364985,1.0,1.294109,1.068222,33.7,0.832,79589.0,97.70077,103.1119,67.86591,120246.0,47.0261001587
2007-01-01,1.06884,9.350229618,18.5652519784,-3503236041.50727,-15.6076857082,62.6084637256,15.2771400665,7.5735809205,22170.2522577934,20450.0,27420515302.2847,4.5920000076,1.003259,1.173005,65.0,4440.0,17.1579771122,1.0,1.037318,0.6338796,1.0,1.359947,1.073011,31.2,0.839,76026.0,98.90848,103.24273,67.67473,114108.0,48.6167984009
2008-01-01,1.25952,9.247507765,20.1889954782,-2216651993.71584,-9.0953375284,66.311557383,7.6867371781,-5.0889422113,22830.0903163589,21470.0,28710497105.7967,5.4548997879,0.9905757,1.199121,65.9999990463,4440.0,17.2712979069,1.0,1.161841,0.5707842,1.0,1.419457,1.091653,31.9,0.841,74629.0,101.61071,102.26793,66.44184,106059.0,52.8772010803
2009-01-01,1.39541,9.317904452,24.0887687041,525703676.23777,2.6625847624,60.5219565724,9.4524235546,-14.4338686354,20597.9334728765,19880.0,26528101753.5309,13.5481996536,1.007584,1.131253,65.9999990463,4440.0,17.3820010703,1.0,1.009114,0.5657759,1.0,1.395184,1.085522,31.4,0.838,73563.0,103.06117,102.73762,66.63192,99562.0,64.5367965698
2010-01-01,1.58162,9.194496668,25.1298919418,343686947.10822403,1.7459301854,74.433383798,13.1686597085,2.7069027528,21796.6100997635,20440.0,27211610932.9907,16.7071990967,0.9951673,1.159709,65.0,4500.0,17.5240466001,1.0,1.085701,0.661367,1.0,1.390466,1.105652,32.0,0.844,72955.0,103.03214,105.28926,68.18451,95331.0,66.7174987793
2011-01-01,2.30655,9.252034604,24.9835417866,309074192.337054,1.3211210067,85.8218638462,4.7837391931,7.4415848189,24780.9787761938,23310.0,30946637998.4363,12.3276996613,1.052501,1.183798,63.5361099243,4600.0,17.7361153687,1.0,1.076737,0.6110413,1.0,1.390989,1.133726,32.5,0.853,73054.0,101.71394,107.36883,70.36909,90717.0,69.0375976562
2012-01-01,2.12265,9.453142346,24.9085588565,-444602799.656742,-1.9169938065,85.5675634123,7.7064801189,3.1102345554,26190.5529510261,24970.0,33031898254.1458,10.0211000443,1.096038,1.157107,64.0,4600.0,17.9847622243,1.0,0.954538,0.6364652,1.0,1.417086,1.111925,32.9,0.859,74249.0,100.95449,107.81157,72.37507,85183.0,69.1324996948
2013-01-01,1.72216,9.465859928,24.4752448868,75410518.78007859,0.2984025308,84.0234024703,4.3446021688,1.3461878358,27642.5853670431,26860.0,35403618516.7603,8.6307001114,1.188761,1.19848,68.0,4900.0,18.2605518164,1.0,0.9747753,0.7482154,1.0,1.447542,1.116849,35.1,0.863,75644.0,99.56826,108.16742,73.92123,80840.0,59.6064987183
2014-01-01,1.42931,9.675013922,25.3260591405,173055018.043069,0.6463674634,81.3308981157,6.6545291193,2.9873258189,29135.7043979166,28140.0,36991781965.8752,7.3517999649,1.303456,1.372891,69.0,5050.0,18.5443489478,1.0,1.01668,0.7802579,1.0,1.676558,1.17031,34.6,0.865,77215.0,98.00723,108.4099,73.30776,77873.0,59.2649993896
2015-01-01,1.46604,10.06299396,27.4768334659,403274473.824457,1.7496500894,76.8734131564,-3.1041231462,1.8448851798,29397.1298449963,28570.0,37581777179.0502,6.1866002083,1.293648,1.33191,70.0,5170.0,18.8220401802,1.0,1.067978,0.6209198,1.0,1.669039,1.186864,32.7,0.871,79594.0,97.14641,111.04143,72.16762,77910.0,91.1780014038
2016-01-01,1.2468,9.522038048,25.1916153967,401782336.637004,1.6743406277,77.4537942698,3.8572029266,2.6315679055,30913.2051238477,30200.0,39736976808.2844,6.7617001534,1.272345,1.226358,70.0,5170.0,19.0581157758,1.0,1.090857,0.6739078,1.0,1.698142,1.207984,31.2,0.875,82824.0,97.1178,115.01412,71.39045,80212.0,87.3817977905
2017-01-01,1.28867,9.423647735,26.283999855,723353000.450201,2.6998079299,76.1376865329,6.3594334094,5.7488020915,33675.4577075001,32790.0,43192606524.7084,5.7603998184,1.242413,1.281881,71.0,5170.0,19.3131674486,1.0,1.109357,0.6496198,1.0,1.642088,1.213267,30.4,0.879,85617.0,97.23017,117.52009,69.63503,82646.0,87.6953964233
