date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,48.6197522047,74.2828289214,42.8633898523,53.7904693849,55.692110256,62.181957291,38.0595723482,47.4521255152,24.9792690409,65.4743010612,40.2733670539,27.0330510418,24.9736083319,21.3122304276,36.7288249648,62.642576041,79.5836674443,30.4021370249,24.6010923818,53.8422373248,161.676408809,43.2089423491,104.3717547306,65.6320852159,43.4025448407,34.6096996571,27.084167546,24.5352206062,72.3018934643,59.8112701649,45.049111482
2006-01-01,50.8416688618,76.8049970552,47.3215443328,56.4911691891,53.4357273848,65.1862987852,41.4329079108,50.7300470194,25.2413025005,63.3059913912,43.0742002464,27.9350550902,27.101075785,21.1740087897,37.915812375,73.8689140152,79.0015708748,30.8192106693,26.1734884331,55.6202710803,176.2468903849,39.9923153037,123.4548188856,68.181118338,44.6445612248,37.8639851041,30.3574044411,24.771226499,81.2398533217,64.870215308,47.5362804971
2007-01-01,52.5608694224,78.3018047028,52.3802470692,61.3035933573,53.2588980126,66.4089661851,43.3227580965,51.4825350512,25.9847388147,62.6084637256,43.8259066028,27.8532575102,25.2397534941,22.520269763,37.827308906,77.9422800396,80.7824180854,33.021693224,27.3610422532,50.3583079477,182.8880010907,38.4552319275,129.5371254885,68.7754574673,43.2984720699,38.5645900784,31.1941845713,24.7108290495,83.380861421,67.8990700666,47.5465198109
2008-01-01,53.2488606164,80.8806199752,52.5433676169,62.6611734238,50.0816009784,63.2263674242,43.799190258,54.175797414,25.6239291743,66.311557383,44.9000077214,28.1193848563,26.9894102323,23.3615691199,36.4012076074,79.2756977026,84.1149719738,40.6301814017,26.8627746948,57.1390059841,187.1118807175,39.4735930522,148.4768384812,69.7936334785,45.9167117361,37.8569890107,31.2610790784,26.1553446185,80.1479953487,66.3132541396,49.1686690846
2009-01-01,45.2074165608,68.8340037082,42.3320120736,57.2304760078,48.7221408292,58.6842997764,38.1199069399,47.1260734605,23.0616941747,60.5219565724,36.0809256824,24.8355472103,26.3730781881,18.9821866964,32.6639775942,74.399620474,93.2367060732,48.6449517163,22.399161734,51.9391992978,164.0695066006,42.4713440337,147.7356400482,62.237013517,39.2356785991,37.1844501708,27.2937427181,26.0236122287,68.0361180943,57.2642886379,43.5397115615
2010-01-01,51.2621603273,75.8500644792,50.1788787944,63.9656232353,50.3797480615,66.0295210253,42.5654734051,50.5229276396,25.9516793464,74.433383798,38.4143975593,26.7882998403,28.2750712111,22.1022051218,36.177385971,81.7504132459,103.0192901823,51.9842849514,25.0740498513,64.1219260013,174.523090008,53.5699534578,153.2555496629,69.8036724777,39.7598437032,40.055130499,30.0693089249,32.3986695618,77.3169750696,64.2748224425,44.732840293
2011-01-01,53.9486708516,80.6973629125,59.0690820837,65.4655141198,53.4951590496,71.3071567311,45.0571362806,53.8201489281,29.5349622049,85.8218638462,38.9003929333,28.4213374764,30.7000187976,25.5354159285,38.8644501985,86.5856413002,103.7910205866,54.7612573417,26.8724634661,73.0757046949,177.9896561644,57.7696038324,160.4955281348,75.5030683054,41.2739648575,42.5631723793,34.4548615995,37.0315825914,85.0149858062,70.2471445909,45.3898994875
2012-01-01,53.9736761965,80.4044905065,60.7991916178,67.033624456,55.3122593814,76.1700746223,46.3071201431,54.6304940173,31.4552724811,85.5675634123,38.808279073,29.2030271868,29.9751039671,28.6839940158,39.5251693295,86.3220792618,104.5096336068,55.0172627742,28.379242836,78.4108732543,186.4443073946,61.1988791144,165.2478341331,79.5033738357,40.6824371899,44.4435920647,37.7780148211,37.4089525955,91.0358772574,72.8915892061,45.2008137088
2013-01-01,53.4412932967,79.3243484015,64.8781363715,71.9249382225,61.3603125807,76.8709518102,45.4186778594,54.8288189867,32.9625774736,84.0234024703,38.0176291228,29.364737867,29.9526011035,30.3534285061,40.4345774316,85.584450772,103.6641476455,53.4930377066,28.6332430797,78.7912371632,190.628582292,60.2606199453,156.98259357,79.880477786,39.1971735048,46.3198331819,39.606504973,39.8731217132,93.6153562017,74.216474411,42.802878124
2014-01-01,53.3865790462,79.8010090736,64.9049620326,64.2737455327,66.109181406,82.5456924296,45.6192633129,54.6131396383,33.4825675914,81.3308981157,36.4814376236,29.6666844981,28.5020548195,32.373040706,43.3005334656,87.4179243002,110.0254967754,51.5209256023,29.1088281864,72.3427034786,212.6070994061,61.2021916139,148.848270712,80.5779081541,38.9963557218,47.5689217231,40.2159680027,41.16417518,91.5183156557,76.1517426713,43.5697767828
2015-01-01,53.0890605588,77.8052821517,64.5380422511,62.2161387251,70.3258965023,81.0493010658,46.8485876564,55.4181749794,33.6265184347,76.8734131564,35.3850299741,30.5926223781,27.651421882,31.5532707138,46.379749429,87.9793891679,121.9650386017,51.9389632181,29.7159823724,68.821633973,221.1965864431,60.7200683502,153.7678248302,82.6588967084,37.8018159097,49.4979519238,40.6151154463,41.0180191129,92.0228927439,77.1486775672,44.2949776765
2016-01-01,52.4510949085,79.3766835722,64.7258047381,65.7442826801,70.7503129359,79.5556198734,46.0231964519,53.425980475,33.8800904977,77.4537942698,34.8158945026,30.2475371834,28.439236895,30.063745934,47.6333169784,87.1517391096,120.8153065824,47.4127506702,29.3312929817,67.5794281301,213.0356929062,60.4015564857,151.8997698381,79.5351647591,35.4599263818,52.1945482056,40.2108236358,41.1855862374,93.7275041002,77.9715078607,43.2560449423
2017-01-01,54.0376710217,82.3114451876,68.1464730188,65.0326216877,73.0152992341,79.726077499,47.3974341986,55.1388663945,35.1783922236,76.1376865329,37.6840799876,30.8198947044,30.3661254439,32.9903963772,50.0289962969,87.1430962116,121.0425885267,46.104187828,30.8424072807,73.6057866057,217.6213606135,62.1263517837,149.7709542642,83.3917680242,36.3329956891,54.3540852705,42.7242663981,41.4700877974,95.1058890456,83.1708095021,44.4335113738
2018-01-01,55.7558550041,82.5757394527,66.9400965297,66.129445852,73.0657600702,78.3860643927,47.4161052754,55.6416285468,35.1166576415,74.2567080765,38.5612468171,31.3374754047,30.0068495775,36.1292311983,50.5166501106,84.9389143286,122.3260852065,47.218218966,31.4534365563,75.6209017869,211.5590487096,61.3040259641,144.8655388325,84.3219786083,38.4416544411,55.590376893,43.5217306698,41.6418648955,96.0902870846,85.3786313506,45.7877169725
