date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,25.6653971471,8.7304323344,13.8279035934,0.6520626752,6.303627116,10.0749157452,2.102577025,4.857700582,2.3418113792,22.1820514677,5.3102270508,3.8766927722,9.9521561263,0.2778577431,3.9533945666,24.3312618249,22.2071618145,18.4010382827,1.9790897389,-7.2951901457,4.9479228507,12.4366626717,4.7893951047,340.9214558594,30.6365606594,3.2564815852,3.6066945626,1.7080491715,6.6007782329,6.2490869673,2.6812941857,5.3322786962
2006-01-01,3.1251494779,14.4199426287,23.0719249764,12.4757781799,9.325550995,4.5875644886,2.9224067675,0.8431870652,2.6146823123,13.0034054877,2.1352939172,3.4053855758,7.5038765224,1.9798946899,6.5385882291,16.1612419143,9.5095372954,22.5166181995,2.9259668581,1114.89414939,7.4772188986,75.9638340719,7.956721236,370.5039175021,51.2048398341,3.4370845255,6.2285958812,6.4217057855,9.0201151149,8.0633433506,1.7527944188,5.2478365323
2007-01-01,17.7173406826,20.5287381423,31.2425335354,10.1452262796,9.5734413677,7.3010998947,1.4862256211,3.6971141163,4.6347547275,15.2771400665,8.5861536376,3.1528368457,6.7566239476,0.6144857525,7.5891515277,50.4631812563,22.2048058801,31.9413497828,2.9849230851,728.8863045818,6.5469165537,-58.3228804791,8.7818445199,451.6393121534,86.5890857692,6.1870281131,5.8338677338,2.5041102075,5.7869088285,5.8507757296,3.925533737,9.4561625947
2008-01-01,1.4643800456,36.9532514977,18.9246161911,0.5395263608,44.1638687211,3.7397954646,0.8298794782,0.6201067534,4.5586695415,7.6867371781,6.8188035227,2.3299700359,8.6720140774,1.617512411,7.3807442803,47.4955847376,8.4670519968,6.722535801,-0.3960878368,319.1002702532,3.6105346839,12.7433353154,4.0223058086,165.2837575705,20.6255899936,4.4517511488,2.7301552872,2.9804578068,6.3774871952,4.6192038204,1.9454419196,8.0394752603
2009-01-01,3.5734768412,16.0704608747,7.5102698403,8.8011110418,249.1080485673,2.5568019002,1.6687876302,1.1739024206,0.6428324861,9.4524235546,-3.4956974967,0.6848106259,0.6033866738,0.8382711278,5.1045332329,-2.1352657146,22.839848732,0.4830217801,0.7578896949,664.5481162405,-0.9621239289,53.0559977522,-0.571493336,16.942269881,11.0417935886,2.236141349,3.1889773635,2.2920770351,2.663748667,1.7081940833,-0.6888718698,2.0594298676
2010-01-01,-5.6156500344,26.0924149494,3.6413710341,3.0269335702,120.5945221969,4.9006840907,2.5332312293,-3.654669083,2.5768123129,13.1686597085,4.9066454784,1.471630163,2.6960793615,0.1780211698,2.3811348398,-15.8387855027,16.9924224381,1.8780248958,0.4653429409,587.8352337298,2.9784458066,73.5326207446,1.9960549246,105.6671275378,13.6734515295,5.0458100326,3.8377167546,3.769497772,1.9333639158,2.3461293239,0.6626570664,0.1261994799
2011-01-01,5.3312132122,31.3069519165,3.6639987679,2.9681378271,146.7265455969,1.8375814071,2.6048280063,3.9415031876,1.8144796872,4.7837391931,-2.1828511256,1.544897075,1.0157540684,0.379499532,2.2734626513,7.6117913332,9.9798360726,7.3025427299,1.5037354484,460.1917525057,4.3329388693,14.7374572299,5.3794846877,82.0914355573,36.7300267334,2.0663586788,3.4954377773,4.0119232671,1.2920063616,5.4865945367,1.7003262899,1.2185817265
2012-01-01,1.2746210242,2.3802334503,3.3172722464,5.9791758694,280.131833141,4.5488293632,1.8553072826,-4.9976703256,1.5736837956,7.7064801189,1.9096983774,1.2275264056,1.7283819251,0.6765522122,2.5933528034,8.4398101807,18.1981700726,6.9557623166,0.0016722446,540.376166319,1.5799513596,44.986412067,3.8365203461,36.0873558917,28.5669993076,5.4754901733,1.4705388097,9.894890439,1.7801612926,1.8816251284,0.0719999144,0.7756983615
2013-01-01,0.1048919979,-5.6822273486,3.5802967822,-3.6203795554,108.6417072591,3.5136068505,1.805645707,0.1980121806,3.4968063417,4.3446021688,-1.8212219604,1.1237428087,1.9552307317,1.2279025874,1.614466042,-2.6487155449,20.9464880059,2.9476223475,0.9121221762,18.0689050892,1.5375663574,25.9206816369,3.2674990677,5.0229911233,37.4807348626,-0.2618033438,0.1516497424,6.9555397347,2.0187683861,1.0168789131,0.2149145475,0.2252732368
2014-01-01,0.3873733617,-2.8439302162,1.9248592578,2.9615932287,223.7059923229,3.8921792422,0.5092549073,1.863305283,2.4056728975,6.6545291193,6.2818842623,0.2035252724,1.9221353539,1.137975798,6.869639009,9.2915604821,33.5842923532,4.3178943722,0.7888692722,140.3009476867,0.7353413789,28.5422075234,3.3173762987,1.3790026578,13.201993757,0.650516595,3.6260348866,5.2465198444,1.9382151851,-0.3585837085,2.0415914847,-1.4863032835
2015-01-01,-2.0888964407,-4.2224947299,4.3415197482,16.828774608,146.4194968433,0.9098726958,1.8592531861,0.6114751875,1.9275959647,-3.1041231462,7.1799995934,1.7564299653,1.5479622484,0.6454701499,0.3209501944,-4.2290598649,80.7911373847,6.6060682938,0.7246279621,1282.6325515228,2.5214210594,21.6379759745,3.0005287173,33.97591855,41.91876291,1.8854478089,3.1544660226,0.6371930252,2.4271446913,1.7187843168,4.0151778847,2.048763636
2016-01-01,-7.3221946059,12.0864458841,2.7732412621,10.7841312935,40.7267692609,5.5618417949,1.8064478619,2.4923742603,3.5917702142,3.8572029266,2.0267420429,1.3273927803,12.0556451918,1.3822922015,3.6132414807,54.6487262911,26.3506786586,-5.1471600848,1.3679323403,976.2415174699,2.2371329818,52.5246911736,1.2013630757,27.4465097655,30.8423746417,-5.0616049214,3.8813375444,3.5308744839,3.3168330185,5.2909807491,3.2390245072,2.6594568063
2017-01-01,3.24001827,-7.1854459037,3.470124027,10.0431170786,81.1006068722,5.2033516212,2.281905253,1.0251176105,1.9077683999,6.3594334094,6.444498683,1.4522512838,4.5477936147,1.6934399594,3.688492663,-8.5016312968,17.4118538088,-28.5832493541,0.5691698602,,2.501289593,-10.6187912515,3.7632628235,31.1976550882,11.5718276919,1.4810979549,2.2352016915,4.4838736413,2.8120162144,4.4367054259,2.4694179628,4.5654969112
2018-01-01,0.9269663228,-11.575318907,1.8770529802,-9.5976955084,20.8587213724,3.4636002258,2.6668444743,0.327884742,3.4582699859,3.8402654097,-1.7627906182,2.1550680648,1.2280478584,1.8462659875,2.1064869314,-41.4575787089,16.8726514149,-1.6793930765,1.9010086177,,1.6239374189,-7.9212914063,1.2990281979,32.5357881872,-26.1954570769,-3.9967608421,2.8509529832,2.6678062594,3.0655324474,2.4096332474,2.8215407325,1.6224814448
