date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,3.32976,13.6156803,31.5133498327,7788421393.4192705,3.8027711006,40.2733670539,5.3102270508,2.7796210866,32051.7940038456,32190.0,168848220995.197,8.383600235,2.325073,1.963109,96.0000038147,50000.0,840.0,16.0270526668,1.0,2.129372,1.595862,1.0,1.662623,1.687097,27.6,0.895,381785.0,98.41798,111.78969,91.67952,430596.0,65.0707015991
2006-01-01,3.33762,13.5085259,31.2432927832,7996502344.723141,3.6865949201,43.0742002464,2.1352939172,4.0274507684,34419.380646761,34730.0,182910783946.793,7.7189002037,2.464972,1.973505,96.0000038147,50710.0,710.0,16.1992696908,1.0,2.170114,1.501351,1.0,1.601978,1.494072,28.0,0.899,372128.0,98.00863,111.45566,93.15745,432565.0,60.8630981445
2007-01-01,3.34577,13.55792773,31.7929483715,9581228389.70195,3.7418990878,43.8259066028,8.5861536376,5.2990053845,37801.784534824,37910.0,200507630487.75302,6.8540000916,2.40055,1.914936,93.9999961853,51600.0,908.0,16.3577707396,1.0,1.974782,1.487837,1.0,1.548008,1.460227,28.3,0.901,364902.0,98.5561,110.11398,93.75906,432607.0,63.7640991211
2008-01-01,3.54708,13.43668903,34.7310270994,5710387877.20251,2.0067854754,44.9000077214,6.8188035227,0.7840168007,40083.6972699668,40150.0,213338084144.16898,6.3685998917,2.33726,1.922676,90.0,52495.0,913.0,16.5460746028,1.0,2.050841,1.445845,1.0,1.610824,1.463081,27.8,0.904,357403.0,98.97755,108.60678,94.69184,431233.0,74.6854019165
2009-01-01,3.74883,13.38255392,32.598731568,4408598035.446529,1.7460034366,36.0809256824,-3.4956974967,-8.0746155742,37980.0651571834,38450.0,205288747966.68103,8.2495002747,2.251192,1.970258,88.9999961853,53695.0,1224.0,16.8251201457,1.0,2.229059,1.459815,1.0,1.812506,1.465268,27.5,0.899,351095.0,99.21357,107.47555,91.29066,428332.0,76.9978027344
2010-01-01,3.72598,13.05876028,33.5820641793,2792204907.56176,1.1205520377,38.4143975593,4.9066454784,3.1859115687,38953.3575952203,39460.0,211623367105.363,8.3943996429,2.159788,1.968725,91.9999980927,54700.0,1366.0,17.2295669112,1.0,2.22934,1.423607,1.0,1.87564,1.486713,27.7,0.903,347060.0,99.48232,107.58606,93.44781,426710.0,77.7356033325
2011-01-01,3.63881,13.08690304,35.2579798551,-4796921117.25686,-1.7427905367,38.9003929333,-2.1828511256,2.5475303208,40916.8385790274,41070.0,221315089725.945,7.7810001373,2.198592,1.949499,94.0392684937,56000.0,1663.0,17.7331402858,1.0,2.241138,1.393471,1.0,1.819748,1.507551,27.6,0.907,345615.0,99.75524,108.09777,94.91993,422872.0,76.1256027222
2012-01-01,3.41948,12.96706279,38.8026670059,-5900574337.39528,-2.2843452954,38.808279073,1.9096983774,-1.3973545403,40873.0953326066,41060.0,222320431042.548,7.6890997887,2.235261,1.951503,90.0,57500.0,1797.0,18.3438447062,1.0,2.220478,1.400765,1.0,1.829249,1.600697,27.1,0.908,347245.0,100.34098,108.24276,92.87735,415505.0,76.6638031006
2013-01-01,3.28719,12.98143152,38.4797058654,-5238728662.00055,-1.9310773699,38.0176291228,-1.8212219604,-0.902018494,41493.1416470359,41660.0,226606741870.88602,8.193400383,2.202126,1.936688,89.0,58500.0,1743.09,19.010781797,1.0,2.174288,1.385172,1.0,1.851513,1.573706,27.2,0.916,348432.0,100.34415,144.28612,90.99419,541021.0,75.0925979614
2014-01-01,3.16931,12.89301884,41.2352406498,-4331080867.71232,-1.5778231551,36.4814376236,6.2818842623,-0.3649402863,41757.4021894413,42180.0,230341376307.58,8.6630001068,2.165775,2.100273,89.0,59900.0,1621.0,19.6588940111,1.0,1.998276,1.282197,1.0,1.884035,1.541917,26.8,0.918,351766.0,100.62072,146.42757,88.88166,536925.0,86.0727005005
2015-01-01,2.89157,12.7060752,43.2352625899,-1681491952.46055,-0.7167931919,35.3850299741,7.1799995934,0.560595415,42535.475165346,42950.0,235365353761.526,9.3759002686,2.275324,2.063105,90.0,61300.0,1715.0,20.2443769725,1.0,1.813011,1.040587,1.0,1.836381,1.543586,27.1,0.919,355231.0,100.56079,150.01986,87.67987,540067.0,84.6082000732
2016-01-01,2.74264,12.62966366,37.3321694038,-1784728818.39047,-0.7418741359,34.8158945026,2.0267420429,2.6279984493,44015.5299223421,44240.0,243105394569.285,8.818400383,2.239528,2.015214,89.0,61800.0,1865.0,20.7909543477,1.0,1.828908,0.9990865,1.0,1.817408,1.531729,27.1,0.922,359635.0,100.41884,152.16286,86.97852,539816.0,86.5640029907
2017-01-01,2.7569,13.1829054086,36.6199655008,-1742487672.31506,-0.6848457899,37.6840799876,6.444498683,3.0512811102,46735.4107423245,46740.0,257468548977.4,8.6401996613,2.215811,2.027073,85.0,63500.0,1886.0,21.2787526008,1.0,1.936857,1.080675,1.0,1.819965,1.553089,27.4,0.924,363990.0,100.15464,153.96358,88.19783,543436.0,88.3240966797
2018-01-01,3.3285848066,13.1431629722,39.5977719324,-4468797258.63879,-1.6147816973,38.5612468171,-1.7627906182,1.6714388807,48416.93602994,48580.0,268065026346.017,7.3611998558,2.21243,2.046279,85.0,65000.0,2034.0,21.7207875455,1.0,1.984208,0.9249202,1.0,1.786545,1.612387,26.9995395198,0.925,348324.4755478278,100.4570606638,151.4510835413,91.1421973111,547850.4586470127,87.1775970459
