date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.05151,2.810656059,8.596912157,-142691013.406228,-0.0064973962,27.0330510418,3.8766927722,1.6632200005,30498.5792943609,31020.0,1959874866060.42,8.4934997559,1.366185,1.418815,75.0,475000.0,11604.0,16.4718996739,1.0,1.671527,0.4015874,1.0,1.246632,1.476771,29.8,0.86,4015490.0,104.63649,106.78168,53.88233,6036192.0,55.1577987671
2006-01-01,2.05094,2.729377147,8.4601128292,514325562.52515095,0.0221826521,27.9350550902,3.4053855758,2.4493236005,32434.8602641227,33080.0,2104837223947.29,8.4477996826,1.463727,1.474472,74.0000009537,485000.0,10702.0,16.5143104596,1.0,1.632802,0.5970889,1.0,1.240273,1.298723,29.7,0.865,4051861.0,104.27885,106.92752,53.87542,5993897.0,55.1577987671
2007-01-01,2.02451,2.677598906,9.3213283152,-8718514442.634441,-0.3281074428,27.8532575102,3.1528368457,2.4247362379,34088.3600835306,34770.0,2225555314506.8,7.6567001343,1.464608,1.472339,73.0000019073,495000.0,11774.0,16.5266199301,1.0,1.471042,0.5636244,1.0,1.287171,1.259767,32.4,0.867,4105628.0,103.85978,106.69353,52.94754,5940366.0,61.9263000488
2008-01-01,2.06117,2.78596689,10.4732303589,-28163013357.7813,-0.9650211917,28.1193848563,2.3299700359,0.2549459458,35095.2629574491,35860.0,2308471504999.58,7.0633997917,1.407428,1.507125,69.0000009537,500000.0,11598.0,16.5495390417,1.0,1.582908,0.54572,1.0,1.284125,1.304794,33.0,0.869,4139284.0,103.62215,106.43284,52.47552,5899298.0,68.054901123
2009-01-01,2.21207,2.822347214,11.2220062136,-22099585073.5784,-0.821478032,24.8355472103,0.6848106259,-2.8733138521,34685.17379693,35480.0,2295992415295.05,8.7363004684,1.438242,1.452676,69.0000009537,500000.0,9484.0,16.6452387082,1.0,1.480974,0.5117519,1.0,1.216958,1.244509,32.7,0.869,4152622.0,103.04114,106.23923,52.7731,5861961.0,64.5428009033
2010-01-01,2.17857,2.77327245,11.8458733048,-22031068187.7643,-0.8336860887,26.7882998403,1.471630163,1.9494376333,35900.0455682618,36730.0,2388529308529.31,8.8712997437,1.46638,1.519731,68.0000019073,520000.0,11497.0,16.8520311777,1.0,1.430301,0.6810876,1.0,1.312381,1.202857,33.7,0.872,4159086.0,102.76151,106.42494,54.88172,5873103.0,74.1014022827
2011-01-01,2.19161,2.654821794,10.9136904355,-29508603051.6754,-1.0312615781,28.4213374764,1.544897075,2.192700652,37440.6386298685,38440.0,2511515271090.53,8.8109998703,1.532394,1.446996,70.0506401062,520000.0,12946.0,17.1352837666,1.0,1.359144,0.6029928,1.0,1.161314,1.170668,33.3,0.876,4171826.0,102.6911,106.61064,55.62573,5888388.0,71.4075012207
2012-01-01,2.22707,2.711619016,12.3729587621,-32875102689.5348,-1.2249345592,29.2030271868,1.2275264056,0.3131347417,37679.1217798605,38500.0,2528097207038.72,9.4001998901,1.455788,1.454164,71.0,527000.0,12799.0,17.5169408589,1.0,1.340279,0.5549415,1.0,1.130379,1.238106,33.1,0.878,4155596.0,102.52316,105.81358,57.90901,5920216.0,73.9498977661
2013-01-01,2.23703,2.619020405,13.4773744348,-24382747331.6784,-0.8673807597,29.364737867,1.1237428087,0.5763266794,39523.8539542181,40410.0,2666950863865.02,9.9205999374,1.329576,1.426773,71.0,535000.0,13707.0,17.9687879171,1.0,1.481829,0.4487441,1.0,1.157089,1.219247,32.5,0.882,4171003.0,102.27644,104.3766,59.84876,5913849.0,72.0286026001
2014-01-01,2.27592,2.700523858,13.3470246385,-37354496128.6695,-1.3096888212,29.6666844981,0.2035252724,0.9561830477,40141.585477622,41010.0,2719730300347.34,10.2922000885,1.314697,1.474639,69.0,545000.0,13198.9473684211,18.4358568735,1.0,1.40317,0.3005685,1.0,1.078786,1.21816,32.3,0.887,4188552.0,101.28035,103.42583,61.51048,5947212.0,74.4149017334
2015-01-01,2.26703,2.719357122,13.4992623167,-9130436716.69977,-0.374473265,30.5926223781,1.7564299653,1.1129123406,40833.2420664584,41720.0,2777946957121.9,10.3593997955,1.305666,1.413305,70.0,550000.0,12564.0,18.8811152899,1.0,1.436796,0.1067064,1.0,1.129694,1.206641,32.7,0.888,4255988.0,101.98964,103.39604,62.78593,5982868.0,71.976600647
2016-01-01,2.24245,2.377594825,13.0405632481,-12205179244.4941,-0.4938797527,30.2475371834,1.3273927803,1.0954643946,42047.2872382377,42940.0,2870740552457.27,10.0567998886,1.400143,1.413082,69.0,560000.0,14200.0,19.2841249271,2.0,1.405252,-0.0953591,1.0,1.070323,1.135574,31.9,0.887,4284172.0,102.26043,103.3081,64.72768,6016608.0,75.235496521
2017-01-01,2.18547,2.750584184,13.4522441762,-16470460330.8823,-0.6368384668,30.8198947044,1.4522512838,2.2602027208,44255.9416401023,45310.0,3029679953170.17,9.3971996307,1.259483,1.438318,70.0,570000.0,15400.0,19.6689967688,2.0,1.35209,0.2789897,1.0,1.15695,1.148534,31.6,0.89,4309942.0,102.51076,103.76003,65.629,6058330.0,77.0113983154
2018-01-01,2.2814164229,2.7419730064,13.7896489911,-19014298810.729,-0.68457453,31.3374754047,2.1550680648,1.7248806271,45342.3957360832,46360.0,3105748565601.54,9.0588998795,1.316893,1.440087,72.0,580000.0,16810.0,20.034624747,2.0,1.480526,0.1091348,1.0,1.173062,1.179415,32.786607933,0.891,4182167.2297159433,101.7347231978,104.2951131798,59.6342020714,5950277.771695197,79.4789962769
