date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,35013.7140443423,33177.8909458158,10211.2798788526,40572.2644828349,27763.2100933612,21956.3838583853,31794.0960095207,34150.1594558945,27606.9340516269,16624.9120413037,32051.7940038456,30498.5792943609,32668.2263161355,25577.5240795599,15303.8626234987,17073.5514251442,40437.7745791191,37233.1962853091,30130.6444569128,,14526.0824049391,68220.0644818574,13836.8435517688,22232.4828863504,37625.5617084958,47797.5299472052,13895.9235416906,22725.2774946084,9602.1261987765,16639.3941239799,23852.6432841831,34029.190292314
2006-01-01,37623.0757580996,35222.6051497546,11313.5508143539,45106.416682867,29984.3650676861,23776.4870553843,34124.8742659227,37295.6593508184,30688.3662172506,19313.2642372794,34419.380646761,32434.8602641227,34767.0011352627,28519.5389434167,17431.3047095463,18342.7152343631,44204.9969040869,39093.9519586874,32419.9361477515,,16484.5920202619,77951.3647387768,15745.1031259517,23223.9771252558,40971.2607605818,54104.2892735293,15142.1848735363,24657.104822569,11544.6827257528,18894.4043480887,25693.7309535734,37435.3757337054
2007-01-01,39392.5405883999,36755.6563289744,12800.8166750994,49746.3893908108,32849.7769235572,26124.8954490421,36252.4119582804,38968.5153979593,32438.1733867257,22170.2522577934,37801.784534824,34088.3600835306,35600.0077931191,29291.9236888183,19354.9821889334,19045.8084134439,46759.714841514,41160.2365118634,34108.2042928282,,19095.436767479,83981.7358747083,18127.1567319641,24893.2011506819,43896.738702196,55876.5039239364,16787.9702463152,25708.2461922016,13686.8309720262,21201.8585290778,27543.4916968252,40592.8001968122
2008-01-01,41316.225176699,37883.3319417819,14328.9898581008,52584.7268100102,34830.3698994386,27844.7953264656,37802.3874303197,41278.3268270571,33263.2723985249,22830.0903163589,40083.6972699668,35095.2629574491,36660.1925635403,30856.0118268477,20776.4481468631,20696.7285678852,44283.7301119233,43318.3527469996,35523.2713104342,,20744.1275295851,86693.8951220862,19466.1450948568,26193.1828466192,46420.2016795592,61716.5997128422,18310.4432086685,26665.8372952939,16782.232098128,23725.8577558996,29604.2912348481,41971.6120485994
2009-01-01,40926.5237645676,37757.2820887917,14146.1068964246,51769.0302897989,33891.6745300468,27599.3008601602,36823.3802837696,40339.6771281296,32098.9750530883,20597.9334728765,37980.0651571834,34685.17379693,35003.497418398,30365.3999269637,19998.6846884633,20678.0683119944,41621.718321539,41905.3660341379,34610.0314472579,,18145.8529229608,82278.1973939736,16924.0311510137,26139.5081810283,44566.0618961764,55375.5762805934,19246.4486754828,26464.3108053655,16635.2297984454,23085.3328910618,27543.3911849112,40156.4103088914
2010-01-01,42006.0468807427,39836.8977087435,14934.132741045,53067.7246365619,33421.0426186656,27667.4328953053,38949.5497636642,42999.616135066,31680.1853932351,21796.6100997635,38953.3575952203,35900.0455682618,36340.7338744538,28148.4224229962,19761.4849126156,21569.8900784948,43295.0179148943,39576.9712388463,35155.6680557794,,20039.0100196939,85613.586610591,17587.3459638947,27809.106496918,45040.3180778936,57915.0193733858,21048.3305213108,27259.7660986177,16966.460609266,25152.76419964,27824.6480738151,42179.3371249669
2011-01-01,44452.7327457999,40942.372710454,15676.1333354642,56183.8216241817,33313.5372341647,28797.4179611691,42541.5310884096,44403.3848413929,31867.9732396862,24780.9787761938,40916.8385790274,37440.6386298685,37161.4906866096,26141.3195918975,20743.5063798886,22894.3476393949,44855.3247012361,40767.2364144887,36598.0149693024,,22823.9183852478,92005.0168361444,19789.4764031104,28585.8204520107,46599.02103045,62076.7406576686,22850.6388460286,26769.5118850004,17907.6746269812,26049.7923842016,28931.3837141518,44503.6732364594
2012-01-01,46457.3457770311,42290.7620520019,16208.2204291165,57849.572038326,31834.4995572679,29047.2464395949,43359.6148271723,44803.9682421214,31720.1199986535,26190.5529510261,40873.0953326066,37679.1217798605,38311.8460772243,25284.4640766238,21136.4032954146,23148.1278813822,46256.5688825764,41926.3419355085,36486.2967870302,,24645.5690883586,91622.1774169388,21291.1197025538,29437.1690292596,47272.1030187972,65354.7792483883,23833.2097049187,26438.0163019973,18931.5324968882,26933.4222167626,29042.8202729641,45304.4157121075
2013-01-01,47922.0491207455,43671.11959259,16571.028761691,60108.520020158,30375.2171825294,30485.7141541113,44993.8927459315,46726.8541437832,32434.0032017704,27642.5853670431,41493.1416470359,39523.8539542181,39971.0253628526,26097.8719008736,21769.2799583314,24498.1791614004,47897.2916625856,44157.5524601264,36314.6971007775,,26680.0341634064,95590.5386984251,22692.8534428152,31080.2683827856,49241.5178406305,66961.2530988205,24719.2475053521,27936.0396644563,19797.3788746757,27967.1723033741,29973.6991074851,46138.4545736846
2014-01-01,48799.7154676985,44929.685593416,17534.3032559292,61902.1295360364,30042.8128905172,32263.3157548997,47011.5510935131,47901.4473627066,33525.7406299089,29135.7043979166,41757.4021894413,40141.585477622,41259.0009441734,26838.4552283268,22062.0257043498,25604.9882089604,51067.9767132391,45714.8938116702,36194.873918843,,28156.1358105285,101297.575745297,23844.2261210006,33391.1106767158,49233.2153954401,65892.6892787813,25612.2578311438,28742.4403783509,20623.3243694339,28991.5658308395,30870.0236667425,47045.6463479824
