date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,2.2440653246,2.32173738,7.1235110764,3.1152019169,4.8530038384,6.5334688051,0.721853765,2.3366413248,3.6520326743,9.4902967983,2.7796210866,1.6632200005,3.1797289241,0.5991420803,4.3140096603,4.2436257682,5.7000892368,6.3300043122,0.8178489737,4.828074952,7.7274079017,3.1724427808,10.7433819978,3.7836522585,2.0508760739,2.6254576263,3.493667637,0.781847554,4.6681480508,6.6234616088,3.7979704906,2.8958935623
2006-01-01,3.4540418361,2.552353767,6.8743583794,3.988722816,4.7138286656,6.8535223344,3.8145879045,3.9130079413,4.1027271154,9.7187592429,4.0274507684,2.4493236005,2.7883245595,5.652433669,5.0010548852,4.0310133213,5.0709010369,5.2488201171,1.7906396808,8.6449698468,7.4064442128,5.1784858633,11.888096689,1.8287168838,3.4609890013,2.3997908212,6.1796413461,1.6250344122,8.028811076,8.4931769493,5.7463969338,4.6024886103
2007-01-01,3.7274153009,3.6769182409,7.3444219091,4.1117677476,5.0980684526,5.6026436837,2.9840772732,0.9092389592,3.6046879713,7.5735809205,5.2990053845,2.4247362379,2.4305532124,3.2737469038,5.2663815233,0.2421777771,5.3242672405,9.3653231156,1.4870729804,3.3259629562,11.086954276,8.3545532772,10.0108514533,3.9864487057,3.7728425178,2.9942518513,7.0348283012,2.5065799889,7.2338077436,10.8320279014,6.9801624282,3.4308839076
2008-01-01,1.4604236757,0.4469165453,6.0218834021,2.1547441185,3.6468119906,2.6822827258,0.9622664417,-0.5120167348,0.8871451825,-5.0889422113,0.7840168007,0.2549459458,-0.2811535895,-0.3351725767,1.7595317459,1.0582916688,-4.4803833346,1.9919808053,-0.9620128406,1.7980876864,2.6280779612,-1.2795855813,-3.3463670793,3.3465127313,2.1703247897,0.4763799995,4.2496085028,0.3192475044,9.3074671708,5.5748863604,3.5098412264,-0.2422932783
2009-01-01,-3.7645781779,-2.0207258164,-3.5861456251,-2.2221119366,-2.0152623591,-4.8025720923,-5.6971516283,-4.9065477294,-3.7632319269,-14.4338686354,-8.0746155742,-2.8733138521,-4.2478217466,-4.3007336611,-7.3594980217,-6.6995547274,-5.0792126729,-6.7772150517,-5.2809372083,-1.1574818224,-14.8141631583,-4.3586069521,-14.2381467273,-2.4622777217,-3.6668840249,-1.7270203095,2.820259759,-3.1220790785,-5.5173944081,-5.4555322375,-7.5484387203,-4.236420514
2010-01-01,1.8370936768,2.8642853268,1.3240878009,3.0027982451,2.014695707,2.2734200537,4.1789690379,1.8709911098,0.1630102308,2.7069027528,3.1859115687,1.9494376333,1.9495214818,-5.4790371021,-1.4962594951,0.6642918248,1.809979744,-3.4358780778,1.7132958392,-0.0224779798,1.4822324414,4.8649684924,-4.4734411978,3.5426832138,1.3427394441,0.7018338239,3.6069282614,1.73762581,-3.9012362802,5.7208447993,1.3437484758,6.1890294347
2011-01-01,2.9227972837,1.6944974461,1.9149058529,1.6927521805,0.4014379411,1.7778331856,3.9241334177,1.3367777778,-0.8143734552,7.4415848189,2.5475303208,2.192700652,1.5401473682,-9.1324941298,-0.3098472866,1.8190799578,0.3434407954,1.8816194866,0.707333347,-0.8854632921,6.0256380911,2.5392348826,6.2851186149,1.3071527494,1.5511892518,0.9814694973,5.0172351999,-1.6961657436,2.0071562436,2.8644429478,0.8613290487,3.0523235295
2012-01-01,0.6804455768,0.7392299051,0.0309698687,1.0060778122,-3.4468220859,-0.799844281,0.4195510801,0.226499797,-2.9594413017,3.1102345554,-1.3973545403,0.3131347417,1.4789239472,-7.3004939607,-2.237705463,-1.4717888511,0.225714843,1.2964360914,-2.9809057682,3.550091556,3.8333027643,-0.3525192291,4.13423165,2.7912054597,-1.0303540066,2.7030738548,1.6079066446,-4.0572938167,2.0771650065,1.8958108123,-2.6394387293,-0.6309743673
2013-01-01,0.0255047122,0.4592280501,0.4939214212,1.8520354531,-6.553078255,-0.4836710418,0.4282432617,0.9333409571,-1.4353942592,1.3461878358,-0.902018494,0.5763266794,2.1394857011,-3.241425056,-0.5485186939,1.9629840486,1.3516340039,4.1338511014,-1.8410654509,3.4064942362,3.5584246313,3.6543702592,2.3280042634,4.6108791149,-0.1301752286,1.0340729135,1.3918923212,-0.9226443477,3.5145518041,0.6708445822,-1.0292838313,1.0878312001
2014-01-01,0.6612728489,1.5785232295,1.8375211479,2.449179525,-1.8637398176,2.7151161333,2.2256887491,1.6193938166,1.3839079427,2.9873258189,-0.3649402863,0.9561830477,2.6074759063,0.7397771386,-0.1038682488,4.1950824095,8.5566879851,2.0802871961,-0.0045475424,0.8877242782,3.5079712171,4.2967863499,1.9151903779,8.706315221,1.4233954099,1.9695443008,3.318447537,0.7921911093,3.4108091002,2.7524343314,2.7681580196,2.747287716
