date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,287476798281.967,352001708926.33704,78428266854.0298,327059401274.082,19438172686.1818,214084360418.233,2643689105682.11,186566260237.83603,1188490567999.29,21499500921.8641,168848220995.197,1959874866060.42,1999826177646.45,281471978035.928,64431187192.9834,161419505675.344,145668071091.729,10526296722.7951,1749401793158.77,,47618024251.7978,29304952011.0148,30655803769.0831,8691938430.874409,605553877381.32,223283670197.81,521089422492.56396,235520718575.13397,198699781185.12,86800343536.12,47268194743.7862,311479619232.968
2006-01-01,311818314868.547,376869593236.568,83850192576.6362,362758817325.49896,21269250117.108997,228697026228.795,2858630098237.38,205243068258.73398,1337283053798.99,24589142619.2906,182910783946.793,2104837223947.29,2117541174766.32,308462945667.322,73251904984.7267,173654404713.145,165676630536.90198,11028043033.0308,1892502452361.07,,52874509649.8103,29989597043.7305,34049617652.4262,9072563907.17065,674915016939.327,252226786011.118,565363690053.952,252079949002.92,236508609925.97897,98320841108.7014,50917015256.0063,348814878843.415
2007-01-01,326450890545.42,395987261074.10205,89548973887.1928,377924536160.99,23585381535.145,251865694517.321,3025660024364.26,213892593685.525,1431073851685.54,27420515302.2847,200507630487.75302,2225555314506.8,2172784692445.95,315293003593.82,81555817083.767,177609966438.237,177850339150.471,12073945245.9316,1994764146518.48,,59379807157.0296,34893624479.4315,38694949241.8428,9806477135.54573,718773191673.703,262412431409.036,618483086700.698,263254571065.825,276574212275.463,110380551616.639,54308490827.6873,382544343920.748
2008-01-01,346680570770.484,415597849908.875,102780473274.18301,375881421641.219,26949463379.0258,270395387186.615,3133424995825.21,229296531979.344,1486151637639.11,28710497105.7967,213338084144.16898,2308471504999.58,2244862767229.45,331637075588.565,86870002599.052,194072486578.888,172166895124.87198,10807260433.594,2070619017116.37,,64082503156.1784,34990188934.9977,41843403068.0053,10452895795.4743,741916192385.952,293138235484.347,685875316122.792,272098077805.79398,336011491107.522,125077405429.544,58273321247.2921,400366853301.73706
2009-01-01,341315238549.098,415226929118.109,103337469669.589,408518497645.87396,27309424258.7043,267930037450.393,3083919895429.99,225023089962.946,1459708879063.31,26528101753.5309,205288747966.68103,2295992415295.05,2163634903821.23,329782253257.55,82969234407.5887,198206648653.355,157804241154.413,10700033108.4016,2044004906868.06,,58465191778.0941,27740237256.596,38785626347.1369,10046578422.8121,729474044118.514,269175461487.219,712241133620.83,270338987023.29898,333674337444.989,123364618193.176,55247729111.076,382175651021.111
2010-01-01,354252259996.34296,440708358085.14795,108145989420.48,439637085444.54706,27325125552.3111,268403859052.561,3249066891896.09,242450184707.942,1454059385239.25,27211610932.9907,211623367105.363,2388529308529.31,2282589039711.01,306635432541.958,82032425213.1172,205914719887.432,165411181538.896,10229377123.8514,2079521851032.73,,61661776427.2107,31304552603.8336,37263160219.0827,10922702218.5833,750559058860.995,286431243846.263,772129450031.8291,279049859428.85803,338277804966.1,131564298602.343,56246012624.7941,406318851261.387
2011-01-01,374289188740.567,452655752838.94604,111573377338.563,449676395959.06396,29092501622.955,279370310382.565,3502470398953.27,252568140433.285,1463308449873.9,30946637998.4363,221315089725.945,2511515271090.53,2360144861851.54,282370859957.681,85949505860.5996,217312698268.97897,166937837412.043,11022605832.7629,2167673493812.34,,67086582717.6793,32928110626.5723,40718161792.4694,11513228958.232,788764031504.728,310701643205.307,838395069678.21,278041334782.043,354761282313.91,134396744120.836,58585332628.1712,429144502027.46704
2012-01-01,392030460346.489,480620383220.801,116829002919.851,472965119580.052,27312569435.9114,286391051564.635,3570904139239.83,256181670980.004,1471780320471.5,33031898254.1458,222320431042.548,2528097207038.72,2415126689983.67,281120340956.062,87018293237.0633,219987870432.76102,171626952198.59302,11766282593.5493,2169728284637.12,,71326513424.6408,33825803107.6655,43009430938.9659,11862318928.1043,805602323121.5609,331152578513.979,873340912431.354,271411027125.957,373163303549.911,141334374541.664,58814142549.4361,441172311031.33
2013-01-01,407466618825.43896,499349513623.745,117730183198.039,496497257704.326,25872264232.253,301403153675.82,3712581829258.22,270675551874.23398,1501976882039.12,35403618516.7603,226606741870.88602,2666950863865.02,2510996076220.28,285824079577.24396,90578068318.8526,235501990439.515,187172886537.447,13631427233.6515,2183586713124.53,,77165476224.9392,34690043272.6355,45570221790.6118,12659908145.3617,838682680044.001,344244308199.849,908857038270.8729,288230115471.542,387063057031.335,149610025166.76,60918129358.2224,452932249986.944
2014-01-01,417609480255.935,514186705056.39703,125570609961.756,509076701038.649,24927071188.1656,316710658172.226,3883389666513.64,280163778604.424,1552593080187.63,36991781965.8752,230341376307.58,2719730300347.34,2611439141863.92,294315512120.89,91640765973.0788,241704812304.023,201368611217.265,14240759323.4076,2200447377386.96,,81588223672.8481,37434314552.7056,47389146198.3771,13947928382.6205,828263670286.029,349842613934.341,937591885654.9159,292835641286.096,405392396057.786,154769445337.15698,63069203941.5599,465812418766.259
2015-01-01,426846890617.193,528391165614.716,127919416245.63,542121799886.034,26713761857.6786,331373073380.675,3983765536763.11,287382159288.342,1621139938786.75,37581777179.0502,235365353761.526,2777946957121.9,2705282618272.15,291510428686.154,96137727855.8516,250589735184.10898,249135028148.082,15376113336.7176,2226028747655.71,,80707951345.2788,38500383076.5302,48824913952.2686,15255099147.4281,852766433552.616,327034783599.997,983155799784.999,299068874296.75604,418649239798.438,156995390879.84302,63269913868.7162,484243010173.511
2016-01-01,452608429064.411,547413588895.83295,138633362134.689,541546466635.944,28105641758.2215,348125885411.157,4177975506656.76,297792837721.213,1703402099443.64,39736976808.2844,243105394569.285,2870740552457.27,2787659311339.88,293914047364.1,99280870469.3597,259849549919.673,275448712001.61,16880864403.5238,2382109166402.84,,83815311561.9158,40080661354.2617,50575602839.8837,16004165626.3758,861382557874.013,317190195930.174,1011641270292.15,312752279559.50604,457927383912.33795,164646665730.209,66801877982.1031,493799644354.864
