date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.42253,1.724871007,6.7645510087,133087243134.908,4.6766151529,38.0595723482,2.102577025,0.721853765,31794.0960095207,32060.0,2643689105682.11,11.1667003632,1.885013,1.663715,81.9999980927,631000.0,11450.0,18.8683245334,1.0,1.505681,0.8901936,1.0,1.516365,1.485834,32.1,0.9,3306136.0,103.10638,102.27959,61.38684,8267636.0,46.6397018433
2006-01-01,2.45604,1.689113428,7.7532246562,173486477217.384,5.7979636318,41.4329079108,2.9224067675,3.8145879045,34124.8742659227,34700.0,2858630098237.38,10.2502002716,1.803052,1.783433,80.0,650000.0,9644.0,19.3231838295,1.0,1.650243,1.026523,1.0,1.569094,1.365231,31.3,0.91,3329349.0,104.21326,103.05829,61.38684,8184604.0,46.6397018433
2007-01-01,2.44633,1.664524977,9.4065879033,235777197044.803,6.8915932932,43.3227580965,1.4862256211,2.9840772732,36252.4119582804,36780.0,3025660024364.26,8.6583003998,1.73584,1.772996,78.0000019073,660000.0,11914.0,19.7049478314,1.0,1.637844,0.9960085,1.0,1.615169,1.336478,31.3,0.914,3311285.0,104.78634,102.24229,61.38684,7981848.0,58.7303009033
2008-01-01,2.59712,1.748526496,8.5922482567,213250033110.589,5.7171164075,43.799190258,0.8298794782,0.9622664417,37802.3874303197,38160.0,3133424995825.21,7.5244998932,1.759813,1.745706,79.0000009537,670000.0,12202.0,20.0235137521,1.0,1.522836,0.9458345,1.0,1.488769,1.336778,31.1,0.916,3236158.0,104.02398,103.30832,61.38684,7907105.0,57.1057014465
2009-01-01,2.72644,1.77569889,9.6300615697,201134895341.825,5.9195781083,38.1199069399,1.6687876302,-5.6971516283,36823.3802837696,37650.0,3083919895429.99,7.7416000366,1.755258,1.655951,80.0,680000.0,12114.0,20.3006080559,1.0,1.578987,0.8605308,1.0,1.519109,1.334962,30.5,0.916,3150822.0,103.39642,103.15825,61.38684,7740935.0,60.6697998047
2010-01-01,2.71367,1.704741904,10.2935196369,196171903151.515,5.7759555918,42.5654734051,2.5332312293,4.1789690379,38949.5497636642,39730.0,3249066891896.09,6.9664001465,1.77627,1.631237,79.0000009537,690000.0,13406.0,20.5527504286,1.0,1.571172,0.7968345,1.0,1.573053,1.297783,30.2,0.92,3067521.0,102.99588,103.97484,61.38684,7663755.0,60.8899993896
2011-01-01,2.79562,1.600632444,11.3943559061,231971688209.185,6.195148896,45.0571362806,2.6048280063,3.9241334177,42541.5310884096,43630.0,3502470398953.27,5.8243999481,1.743273,1.616171,80.461435318,650000.0,15314.0,20.7054506729,1.0,1.554961,0.8422185,1.0,1.554825,1.349211,30.5,0.925,2989678.0,102.46656,103.76242,61.38684,7528270.0,60.3056983948
2012-01-01,2.86813,1.661753462,12.0151357258,251550848619.46698,7.1314502155,46.3071201431,1.8553072826,0.4195510801,43359.6148271723,44400.0,3570904139239.83,5.3793997765,1.829577,1.664948,79.0,657000.0,16730.0,20.8249891556,1.0,1.593369,0.7756213,1.0,1.536132,1.393738,30.8,0.927,2936751.0,101.6142,102.16761,61.38684,7392963.0,60.8166999817
2013-01-01,2.82105,1.688121838,12.0890787546,245280384975.381,6.5710485735,45.4186778594,1.805645707,0.4282432617,44993.8927459315,46040.0,3712581829258.22,5.2305998802,1.813811,1.6495,78.0,690000.0,18451.0,20.9365796471,1.0,1.54252,0.9279839,1.0,1.553044,1.406184,31.1,0.927,2890468.0,100.83825,100.81089,61.38684,7289386.58066,57.2658004761
2014-01-01,2.86691,1.756875301,13.3788782317,278432644859.211,7.1688560456,45.6192633129,0.5092549073,2.2256887491,47011.5510935131,47950.0,3883389666513.64,4.9805998802,1.83838,1.856834,79.0,704900.0,20432.5,21.064162526,1.0,1.731392,0.9251865,1.0,1.703043,1.43633,31.4,0.93,2862690.0,100.53864,99.71072,65.50391,7201072.059239999,60.0499000549
