date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,1.684595,1.711561,0.1818574,1.851264,1.157761,0.9252368,1.505681,2.119752,1.50673,0.9649968,2.129372,1.671527,1.766596,0.715305,0.4607839,0.7717035,1.735597,1.973407,0.5618377,1.558452,0.7792079,1.777105,0.5684978,0.8227611,1.942671,1.864108,0.4783568,1.056517,-0.3068253,0.9271799,0.8928185,1.892862
2006-01-01,1.831036,1.747101,-0.0573758,2.078077,1.267324,1.09646,1.650243,2.22626,0.8372024,1.157151,2.170114,1.632802,1.670994,0.636948,0.5713952,0.8729004,1.536329,1.893597,0.3647408,1.800742,0.7263384,1.571362,0.6851262,1.025022,1.788718,1.879103,0.3737843,0.8745383,-0.2101832,0.8825375,0.96356,1.804315
2007-01-01,1.870187,1.60886,-0.0075428,2.042494,1.427616,0.8953341,1.637844,2.353998,0.9933218,1.037318,1.974782,1.471042,1.648174,0.5579451,0.4742114,0.7084755,1.560755,1.795479,0.1976259,1.763524,0.7018702,1.592555,0.4800134,1.20634,1.728333,2.024723,0.3872338,0.9007416,-0.3190752,0.7320563,0.936191,2.025398
2008-01-01,1.78084,1.389756,-0.0473091,2.037171,1.532571,1.013642,1.522836,2.251272,0.9203469,1.161841,2.050841,1.582908,1.643775,0.5852923,0.5699982,0.707319,1.500238,1.83181,0.2796266,1.795092,0.6169906,1.625627,0.5584953,1.279612,1.696206,1.84209,0.4732433,1.085485,-0.3241724,0.864835,1.187827,1.956433
2009-01-01,1.66658,1.571342,0.1661583,1.948745,1.418329,0.8832404,1.578987,2.232205,0.9458322,1.009114,2.229059,1.480974,1.512003,0.6194866,0.5968499,0.6731957,1.33617,1.635219,0.421652,1.802307,0.6935584,1.74732,0.6238099,1.173995,1.739726,1.841375,0.5317568,1.156265,-0.3597497,0.8689756,1.154734,2.045359
2010-01-01,1.841763,1.575026,0.1148352,1.876344,1.53183,0.9052177,1.571172,2.09679,0.9947988,1.085701,2.22934,1.430301,1.568379,0.5560393,0.6223207,0.6666696,1.349588,1.585732,0.4419097,1.783509,0.7432536,1.721774,0.70881,1.192727,1.729366,1.878928,0.640949,1.010235,-0.2655292,0.8371224,1.026441,2.004213
2011-01-01,1.617761,1.656356,0.1100856,1.867497,1.563668,0.9309797,1.554961,2.101079,1.027235,1.076737,2.241138,1.359144,1.558901,0.5121977,0.5612522,0.6749275,1.455905,1.58326,0.3775406,1.770325,0.7037992,1.748484,0.6981383,1.195341,1.788899,1.837559,0.6207488,0.9471941,-0.3289806,0.8325479,0.9895115,1.965064
2012-01-01,1.575873,1.602476,0.1418881,1.891962,1.391172,0.9289219,1.593369,1.984567,1.120682,0.954538,2.220478,1.340279,1.547542,0.3198002,0.7066917,0.6288418,1.547128,1.491028,0.4206704,1.789564,0.833409,1.672072,0.8384485,1.247961,1.8134,1.909127,0.6756304,1.035028,-0.3119501,0.8363792,1.03165,1.95701
2013-01-01,1.588477,1.607339,0.1573445,1.824577,1.366624,0.89182,1.54252,1.992455,1.154523,0.9747753,2.174288,1.481829,1.495451,0.4592025,0.7011864,0.6549682,1.485336,1.490049,0.4584835,1.754486,0.8317371,1.629902,0.8890268,1.257873,1.783959,1.884967,0.7225148,1.230732,-0.0744246,0.7891342,1.013163,1.909026
2014-01-01,1.572586,1.381594,0.0787379,2.112258,1.140384,1.017593,1.731392,1.819007,1.159705,1.01668,1.998276,1.40317,1.62673,0.3985864,0.6929633,0.5334437,1.597105,1.4914,0.374144,1.705179,0.9826534,1.654433,0.9585503,1.028362,1.817106,1.828457,0.8273836,0.9885908,-0.0259938,0.8762358,1.00516,1.803889
2015-01-01,1.479127,1.438441,0.2086831,1.998052,1.04862,1.046509,1.73683,1.847929,1.174035,1.067978,1.813011,1.436796,1.743745,0.256061,0.5138493,0.497252,1.533082,1.492079,0.4479527,1.689049,1.184934,1.724078,1.089444,0.8504284,1.832507,1.864499,0.7987829,1.220341,-0.0561306,0.8377234,0.9724185,1.815902
2016-01-01,1.511905,1.326213,0.2958971,2.008593,0.9609431,1.036739,1.734568,1.876054,1.115842,1.090857,1.828908,1.405252,1.601618,0.2266778,0.4942868,0.4643016,1.331621,1.385732,0.5347704,1.705849,1.070065,1.692346,1.005264,0.9557845,1.833539,1.869375,0.7065664,1.209821,-0.1690356,0.8940681,1.127259,1.773643
2017-01-01,1.461261,1.181693,0.2601942,2.056261,0.9199778,1.005325,1.719291,1.796943,1.033854,1.109357,1.936857,1.35209,1.414133,0.3133734,0.5713063,0.5221342,1.290977,1.450544,0.5021274,1.764887,0.965337,1.683147,0.9037945,1.004372,1.851793,1.983223,0.6430409,1.332028,-0.1721281,0.8006557,1.170688,1.837576
2018-01-01,1.453342,1.171748,0.2718757,2.039621,0.9209022,0.9222081,1.619633,1.871631,1.002136,1.191938,1.984208,1.480526,1.341884,0.3382609,0.4569183,0.4873109,1.420338,1.465655,0.4138835,1.739037,1.072398,1.778221,1.043452,0.968796,1.850466,1.887119,0.6626508,1.208909,-0.2534418,0.7074615,1.125806,1.830975
