date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.57896,1.652623719,7.72374229,-18218753983.732,-7.3527053295,21.3122304276,0.2778577431,0.5991420803,25577.5240795599,25620.0,281471978035.928,9.9938001633,0.3582354,0.7945819,43.0000019073,308000.0,8475.0,17.9131174915,2.0,0.715305,0.5069851,1.0,0.9607569,1.097569,34.6,0.845,650242.0,97.83578,100.81749,85.31207,715537.0,31.6553993225
2006-01-01,0.56118,1.494547437,8.2116801391,-29576385911.1083,-10.8212464477,21.1740087897,1.9798946899,5.652433669,28519.5389434167,27990.0,308462945667.322,9.0076999664,0.3637859,0.8736634,44.0000009537,317000.0,8000.0,18.2225252807,2.0,0.636948,0.6321899,1.0,0.8585035,0.9654828,35.1,0.851,645324.0,97.67706,100.76952,90.09834,704515.0,29.7488002777
2007-01-01,0.57655,1.477331099,7.918628933,-44579249236.0976,-13.9967152283,22.520269763,0.6144857525,3.2737469038,29291.9236888183,28540.0,315293003593.82,8.3964996338,0.2673829,0.8723755,45.9999990463,325000.0,8500.0,18.4514203589,2.0,0.5579451,0.5241894,1.0,0.8947076,0.9838739,34.0,0.849,639083.0,96.7938,98.19933,87.39504,682012.0,34.4505996704
2008-01-01,0.66183,1.516976393,8.1099586504,-51297053502.019005,-14.4718550354,23.3615691199,1.617512411,-0.3351725767,30856.0118268477,29940.0,331637075588.565,7.7596998215,0.1335602,0.8622125,46.9999980927,400000.0,7100.0,18.6426303829,2.0,0.5852923,0.2700586,1.0,0.880909,0.9282115,33.6,0.857,640268.3333333334,97.3672833333,100.90543,92.86212,693541.6666666666,30.8756008148
2009-01-01,0.62557,1.506481619,8.920028783,-35945594305.5771,-10.892596012,18.9821866964,0.8382711278,-4.3007336611,30365.3999269637,29690.0,329782253257.55,9.6159000397,0.0674696,0.6528149,37.9999995232,405000.0,5000.0,18.8625029108,2.0,0.6194866,-0.2077363,1.0,0.8366709,0.8914437,33.6,0.859,641453.6666666666,97.9407666667,103.61153,98.3292,705071.3333333334,32.334400177
2010-01-01,0.59838,1.469889465,11.0929826096,-30262611051.7222,-10.1090498653,22.1022051218,0.1780211698,-5.4790371021,28148.4224229962,27570.0,306635432541.958,12.7131004333,-0.0577769,0.6305012,35.0,409000.0,4000.0,19.151823302,2.0,0.5560393,-0.1272069,1.0,0.6446643,0.8977181,34.1,0.857,642639.0,98.51425,106.31763,103.79628,716601.0,34.6757011414
2011-01-01,0.67196,1.446285718,11.0883158079,-28599315728.5508,-9.9372940075,25.5354159285,0.379499532,-9.1324941298,26141.3195918975,25430.0,282370859957.681,17.8647003174,-0.0988188,0.5728871,33.889670372,411900.0,2900.0,19.3970327486,2.0,0.5121977,-0.0986952,2.0,0.4964582,0.820455,34.8,0.853,637020.0,98.29024,103.18358,109.15926,692302.0,50.3461990356
2012-01-01,0.69957,1.5458547,13.8593777474,-6172097058.75121,-2.5123459561,28.6839940158,0.6765522122,-7.3004939607,25284.4640766238,25450.0,281120340956.062,24.4393005371,-0.1892218,0.4265072,36.0,415100.0,1560.0,19.7240176698,2.0,0.3198002,-0.2172487,2.0,0.5269415,0.7007905,36.3,0.856,636713.0,99.16412,104.5624,113.7406,692957.0,60.7568016052
2013-01-01,0.81131,1.369562089,16.2938175121,-4949141208.60395,-2.0633284857,30.3534285061,1.2279025874,-3.241425056,26097.8719008736,26070.0,285824079577.24396,27.4661998749,-0.0453114,0.4650219,40.0,415100.0,1830.0,20.1018760765,2.0,0.4592025,-0.1713417,2.0,0.6334165,0.6872375,36.1,0.858,633534.0,98.9243,105.76723,116.37682,694933.0,58.1260986328
2014-01-01,0.8333,1.519601725,16.0857927243,-3734712056.8720603,-1.5756312223,32.373040706,1.137975798,0.7397771386,26838.4552283268,27020.0,294315512120.89,26.491399765,-0.1223881,0.3625999,43.0,416200.0,1105.0,20.4772789796,2.0,0.3985864,-0.140446,2.0,0.3293375,0.6187572,35.8,0.866,628753.0,97.87486,102.28946,122.402,667718.0,69.9177017212
2015-01-01,0.96121,1.430483804,17.1700475461,-1611391808.2657099,-0.8196656554,31.5532707138,0.6454701499,-0.4378339378,26902.525319841,26940.0,291510428686.154,24.8971004486,-0.0766138,0.2671453,46.0,417255.0,1055.0,20.8210042449,2.0,0.256061,-0.2302524,2.0,0.409623,0.6515437,36.0,0.868,643762.0,99.5263,102.2004,126.97143,662741.0,68.318397522
2016-01-01,0.99394,1.557888094,16.5765505176,-3261057769.58007,-1.6704317961,30.063745934,1.3822922015,-0.1909522958,27273.9345786637,27270.0,293914047364.1,23.539100647,-0.0920857,0.1073458,44.0,420000.0,2745.0,21.1299567553,2.0,0.2266778,-0.1215992,2.0,0.1483869,0.6684951,35.0,0.866,646577.0,99.27773,102.95685,131.54086,662446.0,70.0885009766
2017-01-01,1.12808,1.4000836985,16.281208695,-3605994841.9399204,-1.7756038362,32.9903963772,1.6934399594,1.5050993394,28579.7945258539,28640.0,307963982617.23804,21.4876003265,-0.1383459,0.0839193,48.0,421700.0,2935.0,21.399353798,2.0,0.3133734,-0.0735961,2.0,0.2381997,0.7086233,34.4,0.871,649246.0,99.55348,104.49627,136.60257,667797.0,67.1862030029
2018-01-01,0.7849023107,1.5294089933,16.4403716316,-6248523036.36721,-2.8658763348,36.1292311983,1.8462659875,1.9343708275,29592.1524196167,29670.0,318258948564.402,19.2915992737,-0.0660259,0.1529743,45.0,422100.0,3018.0,21.6552720778,2.0,0.3382609,0.0925857,1.0,0.2950006,0.8573366,36.1158934951,0.872,632087.4098427743,98.0587667764,104.1595763425,116.1631626217,687458.4576681852,67.8127975464
