date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.92094,2.619567863,4.6647689511,-11181808084.8179,-9.8970740728,62.642576041,24.3312618249,4.2436257682,17073.5514251442,16000.0,161419505675.344,7.1884999275,0.6543485,0.8648534,50.0,32950.0,1000.0,15.6187372576,1.0,0.7717035,1.00302,1.0,1.068541,1.175189,34.7,0.802,430561.0,98.16444,96.26466,64.99212,960215.0,48.0337982178
2006-01-01,0.98097,2.50048245,5.3641286359,-8422271299.47517,-7.2871355081,73.8689140152,16.1612419143,4.0310133213,18342.7152343631,17240.0,173654404713.145,7.4938998222,0.6587242,0.9977335,51.9999980927,33760.0,1117.0,15.7201327452,1.0,0.8729004,0.9865795,1.0,1.21221,1.015041,28.3,0.811,415858.0,99.58309,96.09009,67.54416,948856.0,37.5486984253
2007-01-01,0.95674,2.180553386,6.140332595,-10209896208.3164,-7.2945544619,77.9422800396,50.4631812563,0.2421777771,19045.8084134439,17660.0,177609966438.237,7.4059000015,0.6228059,0.9641744,53.0000019073,34249.0,1558.0,15.8380227588,1.0,0.7084755,0.747174,1.0,1.19106,1.041056,27.9,0.814,399250.0,99.00732,96.16716,68.28498,937323.0,48.7092018127
2008-01-01,0.9796,2.797627145,6.7551894128,-11125011068.8044,-7.0350762008,79.2756977026,47.4955847376,1.0582916688,20696.7285678852,19330.0,194072486578.888,7.8169999123,0.471792,0.9260617,50.9999990463,35288.0,1463.0,15.9524140984,1.0,0.707319,0.7502059,1.0,1.195643,0.9657084,27.5,0.818,394246.0,100.64125,96.04281,66.48384,924414.0,46.818901062
2009-01-01,1.13212,2.443146143,8.3991547888,-892033654.183193,-0.682189905,74.399620474,-2.1352657146,-6.6995547274,20678.0683119944,19780.0,198206648653.355,10.0304002762,0.4338323,0.7964902,50.9999990463,36000.0,1250.0,16.0386041824,1.0,0.6731957,0.5356742,1.0,1.081764,0.909685,27.0,0.823,389510.0,101.07377,96.24977,64.60789,913392.0,49.6143989563
2010-01-01,1.13945,2.23879247,13.45602883,341646259.646128,0.2605290712,81.7504132459,-15.8387855027,0.6642918248,21569.8900784948,20590.0,205914719887.432,11.1718997955,0.3656501,0.7802678,46.9999980927,36800.0,1000.0,16.0923990946,1.0,0.6666696,0.6857837,1.0,1.016507,0.8942028,29.4,0.826,387969.0,100.85631,97.08149,63.72239,904848.0,53.2529983521
2011-01-01,1.18897,2.381729664,14.742991742,886554259.9495789,0.6282736288,86.5856413002,7.6117913332,1.8190799578,22894.3476393949,21790.0,217312698268.97897,11.0291004181,0.3995961,0.764692,45.5544805527,37300.0,800.0,16.3513270437,2.0,0.6749275,0.7432541,1.0,1.032593,0.8369731,29.2,0.823,387262.0,100.0155,96.79927,62.59323,882609.0,54.1197013855
2012-01-01,1.26362,2.178939382,16.465204619,1989672606.8815,1.5525675295,86.3220792618,8.4398101807,-1.4717888511,23148.1278813822,22180.0,219987870432.76102,11.0030002594,0.3563344,0.6152842,55.0,37300.0,590.0,16.5823563987,2.0,0.6288418,0.6757948,1.0,0.9879707,0.7493677,30.8,0.826,384834.0,99.69793,98.06066,61.46318,864391.0,58.6441001892
2013-01-01,1.38884,2.424600995,17.196388709,4665997538.15975,3.4458535865,85.584450772,-2.6487155449,1.9629840486,24498.1791614004,23800.0,235501990439.515,10.1765003204,0.3216026,0.5826928,54.0,36430.0,654.0,16.8192490423,2.0,0.6549682,0.7966461,1.0,0.9061847,0.7371929,31.5,0.835,385466.0,99.98496,104.71535,57.06502,890759.0,50.1579017639
2014-01-01,1.35373,2.684294038,15.6745498209,1604607987.0994198,1.1415920892,87.4179243002,9.2915604821,4.1950824095,25604.9882089604,24500.0,241704812304.023,7.7252998352,0.1645602,0.5019311,54.0,36950.0,601.3333333333,17.1076648617,2.0,0.5334437,0.6699048,2.0,0.7519903,0.5532663,30.9,0.833,393020.0,101.85692,104.18991,52.01587,857807.0,63.3339004517
