date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.19281,3.608380265,2.8899064015,-7144573582.78567,-3.3756702897,79.5836674443,22.2071618145,5.7000892368,40437.7745791191,35020.0,145668071091.729,4.342400074,1.593498,1.595653,74.0000009537,30000.0,0.0,10.5132710796,1.0,1.735597,1.29988,1.0,1.489262,1.623855,33.8,0.893,454060.0,103.07785,109.7843,58.86932,317337.0,47.326499939
2006-01-01,1.19836,3.5530258,3.2036526383,-7862125526.79035,-3.3876284292,79.0015708748,9.5095372954,5.0709010369,44204.9969040869,38770.0,165676630536.90198,4.4145998955,1.71035,1.722037,74.0000009537,30000.0,0.0,10.5839730933,1.0,1.536329,1.191983,1.0,1.837013,1.396541,32.7,0.895,461588.0,102.99924,109.60344,58.44118,313479.0,50.4565010071
2007-01-01,1.23325,3.472362586,3.556367276,-13848550480.3311,-5.1306520427,80.7824180854,22.2048058801,5.3242672405,46759.714841514,40430.0,177850339150.471,4.9801001549,1.748592,1.745495,75.0,30000.0,0.0,10.6530923607,1.0,1.560755,1.214467,1.0,1.849392,1.397142,31.9,0.899,475836.0,103.30853,111.2345,58.30199,316015.0,57.1078987122
2008-01-01,1.38766,3.461109604,4.1533712191,-15302982165.932,-5.5639338248,84.1149719738,8.4670519968,-4.4803833346,44283.7301119233,38350.0,172166895124.87198,6.7736001015,1.749867,1.715704,76.9999980927,30000.0,0.0,10.7345049857,1.0,1.500238,1.18624,1.0,1.91417,1.42259,30.9,0.9,486921.0,102.4756,111.29397,54.01747,318382.0,52.2672996521
2009-01-01,1.6082,3.32222477,5.2467564791,-5007385900.33075,-2.1189328266,93.2367060732,22.839848732,-5.0792126729,41621.718321539,34790.0,157804241154.413,12.6089000702,1.759452,1.750502,80.0,30000.0,0.0,10.8494327385,1.0,1.33617,1.056545,1.0,1.698822,1.353574,32.7,0.896,498838.0,102.79597,114.39266,56.50398,326543.0,54.677898407
2010-01-01,1.59153,3.387963338,5.2735381431,2319661324.96392,1.0441927981,103.0192901823,16.9924224381,1.809979744,43295.0179148943,36270.0,165411181538.896,14.5327997208,1.688269,1.768064,80.0,30000.0,0.0,11.0098958769,1.0,1.349588,1.020165,1.0,1.620827,1.324432,32.3,0.89,506400.0,103.23549,118.09691,63.12644,336464.0,52.6841011047
2011-01-01,1.56058,3.442107368,6.7093646071,2829018505.41802,1.1913043198,103.7910205866,9.9798360726,0.3434407954,44855.3247012361,36450.0,166937837412.043,15.3528003693,1.562963,1.755929,75.3603887558,30000.0,0.0,11.3134637522,1.0,1.455905,0.9489989,1.0,1.600839,1.305361,32.9,0.894,511466.0,103.37868,115.83373,67.79859,331047.0,57.356300354
2012-01-01,1.56119,3.313234977,6.6185486106,9240448060.17682,4.106875221,104.5096336068,18.1981700726,0.225714843,46256.5688825764,37310.0,171626952198.59302,15.4506998062,1.463658,1.734317,69.0,30000.0,0.0,11.6553368584,1.0,1.547128,0.9410727,1.0,1.571007,1.322521,33.2,0.899,518223.0,102.11834,117.75219,68.19725,340829.0,62.2271995544
2013-01-01,1.5658,3.380374056,7.404766881,14436274710.2326,6.0518405924,103.6641476455,20.9464880059,1.3516340039,47897.2916625856,40480.0,187172886537.447,13.7348003387,1.538592,1.731723,72.0,30000.0,246.0,12.0257909244,1.0,1.485336,0.9010757,1.0,1.582879,1.311735,33.5,0.908,527768.0,101.95834,117.245645,71.69955,344472.5,56.3069992065
2014-01-01,1.49955,3.419455983,8.5206697909,8918824411.845041,3.4505975021,110.0254967754,33.5842923532,8.5566879851,51067.9767132391,43230.0,201368611217.265,11.8572998047,1.60488,1.779153,74.0,30000.0,598.0,12.4074206954,1.0,1.597105,1.052991,1.0,1.764863,1.317501,31.9,0.92,536471.0,101.54224,116.7391,73.81323,348116.0,63.0773010254
