date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.04709,1.070105637,6.7026390786,-17000913298.29,-0.9152458022,24.6010923818,1.9790897389,0.8178489737,30130.6444569128,30180.0,1749401793158.77,7.7305002213,0.4105245,0.5182708,50.0,790000.0,17900.0,19.6597661696,1.0,0.5618377,0.490133,1.0,0.998329,1.057029,33.8,0.857,2771247.0,102.29095,99.2878,64.43843,4507408.0,41.9602012634
2006-01-01,1.08696,1.015043613,7.5125640415,-28764140573.0057,-1.4766594558,26.1734884331,2.9259668581,1.7906396808,32419.9361477515,32550.0,1892502452361.07,6.776599884,0.4838046,0.3876202,49.0000009537,850000.0,13743.0,19.8455504698,1.0,0.3647408,0.5318275,1.0,0.9774947,1.064524,33.7,0.862,2790254.0,103.10948,100.05312,66.1078,4531571.0,44.4093017578
2007-01-01,1.1327,1.009891178,8.7317297475,-30521264104.4781,-1.3808698271,27.3610422532,2.9849230851,1.4870729804,34108.2042928282,34130.0,1994764146518.48,6.0753998756,0.3368244,0.4787489,51.9999980927,870000.0,26594.0,19.9759868704,1.0,0.1976259,0.4476521,1.0,0.9405472,1.111907,32.9,0.866,2820150.0,104.11291,100.46998,66.68297,4553163.0,43.0998001099
2008-01-01,1.16367,1.021170042,10.8233492991,-66827457034.1413,-2.7858045815,26.8627746948,-0.3960878368,-0.9620128406,35523.2713104342,35200.0,2070619017116.37,6.7231998444,0.2701409,0.4551162,48.0000019073,885000.0,25016.0,20.0835547146,2.0,0.2796266,0.5492006,1.0,0.9747458,1.032024,33.8,0.868,2830056.0,104.2742,101.10097,66.3436,4575124.0,44.4609985352
2009-01-01,1.22126,0.959578752,12.5397527301,-40358960060.9894,-1.8418304507,22.399161734,0.7578896949,-5.2809372083,34610.0314472579,34590.0,2044004906868.06,7.7486000061,0.1990607,0.4047396,43.0000019073,900000.0,17452.0,20.2215745117,2.0,0.421652,0.3482109,1.0,0.9684786,1.03418,33.8,0.868,2819193.0,103.4859,101.41655,66.54997,4575921.0,42.6031990051
2010-01-01,1.22311,0.960272594,12.7940929983,-72993785933.0447,-3.4204862047,25.0740498513,0.4653429409,1.7132958392,35155.6680557794,35080.0,2079521851032.73,8.3625001907,0.1269229,0.4303287,39.0000009537,915000.0,19270.0,20.426838976,2.0,0.4419097,0.4739237,1.0,0.8963356,0.9627974,34.7,0.871,2822146.0,102.99371,102.90382,65.7743,4626426.0,42.2899017334
2011-01-01,1.20984,0.956884594,11.904940268,-68277003214.7862,-2.9789384797,26.8724634661,1.5037354484,0.707333347,36598.0149693024,36510.0,2167673493812.34,8.359000206,0.1818639,0.4665138,39.0691304207,915000.0,12677.0,20.663772333,1.0,0.3775406,0.5012074,1.0,0.7177325,0.9118239,35.1,0.875,2827564.0,102.50435,103.33157,65.56312,4630305.0,39.0561981201
2012-01-01,1.27087,0.944539285,14.391648965,-7328074417.53105,-0.351116624,28.379242836,0.0016722446,-2.9809057682,36486.2967870302,36440.0,2169728284637.12,10.6545000076,0.066175,0.4033195,42.0,932000.0,10267.0,20.9621591346,1.0,0.4206704,0.5082175,2.0,0.7499914,0.9168093,35.2,0.874,2818734.0,101.29194,102.03334,64.13355,4572722.0,32.9487991333
2013-01-01,1.30768,0.930459399,16.3208850423,21281996590.3629,0.9938749477,28.6332430797,0.9121221762,-1.8410654509,36314.6971007775,36250.0,2183586713124.53,12.1486997604,0.0516357,0.4029013,43.0,940000.0,8275.0,21.2992939798,1.0,0.4584835,0.4954992,1.0,0.7847136,0.9542174,34.9,0.873,2860957.0,101.89729,102.40899,62.29616,4594302.0,33.9874992371
2014-01-01,1.34301,0.932199574,17.0903588439,40172048364.5287,1.860563071,29.1088281864,0.7888692722,-0.0045475424,36194.873918843,36200.0,2200447377386.96,12.682800293,-0.0296416,0.3773912,43.0,946000.0,7564.0,21.6353388748,1.0,0.374144,0.4581654,1.0,0.6418828,0.9992626,34.7,0.874,2862666.0,101.15142,102.28106,61.70275,4596916.0,35.9706993103
