date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.52959,6.656543009,36.3005004373,-1986928140.8581,-11.750458767,43.2089423491,4.7893951047,10.7433819978,13836.8435517688,13690.0,30655803769.0831,10.0329999924,0.3796195,0.6184816,41.9999980927,6460.0,16.8578232703,1.0,0.5684978,0.8141941,1.0,0.9258149,0.7818131,39.0,0.802,84369.0,104.84398,102.68632,75.4192,271631.0,32.1745986938
2006-01-01,0.65063,6.617630519,33.9989639036,-4520558736.67533,-21.0878310976,39.9923153037,7.956721236,11.888096689,15745.1031259517,15350.0,34049617652.4262,7.0296998024,0.3698641,0.669318,46.9999980927,6460.0,17.2033998093,1.0,0.6851262,0.8386412,1.0,0.9998425,0.8466991,35.6,0.809,78796.0,104.26199,103.9654,74.59651,258432.0,49.6133995056
2007-01-01,0.55379,6.983786507,33.0753863668,-6426791354.30909,-20.8000365087,38.4552319275,8.7818445199,10.0108514533,18127.1567319641,17590.0,38694949241.8428,6.0515999794,0.352404,0.7592566,48.0000019073,6460.0,17.5130306371,1.0,0.4800134,0.5622184,2.0,1.007933,0.8289153,37.5,0.818,121345.0,104.21336,103.92124,73.0433,195745.0,32.7226982117
2008-01-01,0.58139,7.091772872,33.704935582,-4483621315.02016,-12.5739566495,39.4735930522,4.0223058086,-3.3463670793,19466.1450948568,19220.0,41843403068.0053,7.7389001846,0.2548864,0.8092072,50.0,6460.0,17.7799147868,1.0,0.5584953,0.2045949,2.0,1.024673,0.7807863,37.2,0.821,117129.0,103.5486,104.89757,72.36354,182805.0,32.3035011292
2009-01-01,0.45271,7.175544527,38.3941409606,2059020546.0826,7.8436186462,42.4713440337,-0.571493336,-14.2381467273,16924.0311510137,18110.0,38785626347.1369,17.5146999359,0.2262741,0.8143532,45.0,6460.0,17.9999860126,1.0,0.6238099,0.3484597,2.0,0.9855881,0.8499379,36.0,0.819,114236.0,102.9181,99.4204,73.05489,158325.0,44.4677009583
2010-01-01,0.61078,7.184419467,33.0640004053,434885510.678211,1.8275481118,53.5699534578,1.9960549246,-4.4734411978,17587.3459638947,17770.0,37263160219.0827,19.4822998047,0.2283071,0.7878038,43.0000019073,6500.0,18.1786346532,2.0,0.70881,0.527854,2.0,0.9836758,0.7942439,35.0,0.817,113691.0,102.9586,102.82216,69.05104,147375.0,58.3841018677
2011-01-01,0.69662,7.220645295,35.5339217998,-921392612.033279,-3.2619649939,57.7696038324,5.3794846877,6.2851186149,19789.4764031104,19770.0,40718161792.4694,16.2063999176,0.2866477,0.7470232,41.9430017471,5770.0,18.4855345551,2.0,0.6981383,0.3200021,2.0,0.9598081,0.7367753,35.8,0.822,113668.0,102.28565,105.56579,67.95347,136448.0,57.6290016174
2012-01-01,0.66424,7.745641061,40.3656247937,-1026550014.5006199,-3.6440199228,61.1988791144,3.8365203461,4.13423165,21291.1197025538,21140.0,43009430938.9659,15.0466995239,0.245459,0.7854767,49.0,5770.0,18.7641371551,2.0,0.8384485,0.4536267,2.0,1.016595,0.7755156,35.2,0.825,113410.0,101.04871,106.3448,66.64355,124802.0,63.6870994568
2013-01-01,0.6122,7.716841553,39.6030380303,-829023257.0283049,-2.7381753367,60.2606199453,3.2674990677,2.3280042634,22692.8534428152,22640.0,45570221790.6118,11.8674001694,0.3284156,0.7678499,53.0,6000.0,19.0245076058,2.0,0.8890268,0.5936353,2.0,1.043866,0.7704234,35.5,0.834,114091.0,100.38803,114.77681,69.0766,126942.0,46.4198989868
2014-01-01,0.6893,7.875882186,40.2360616037,-719686383.360026,-2.293252478,61.2021916139,3.3173762987,1.9151903779,23844.2261210006,23770.0,47389146198.3771,10.8463001251,0.4153654,0.8723829,55.0,6150.0,19.2751008179,2.0,0.9585503,0.4872684,2.0,1.171654,0.8494349,35.1,0.836,114623.0,99.8206,113.70693,70.89794,121580.0,69.6568984985
