date,Secondary_education_pup,Renewable_enrg_cons,FDI_net_inflows,GDP_growth,Control_Of_Corruption,Rule_Of_Law,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert
2005-01-01,3142.0,54.4758497276,-7.2951901457,4.828074952,1.278153,0.9762172,1.0,1.558452,1.384696,1.0,1.607823,1.532292,0.886,2242.0,106.81277,107.8243,24.58022
2006-01-01,3190.0,54.4758497276,1114.89414939,8.6449698468,1.259531,1.07046,1.0,1.800742,1.348995,1.0,1.350138,1.244855,0.89,2247.0,107.51196,107.01107,29.81716
2007-01-01,3169.0,54.4758497276,728.8863045818,3.3259629562,1.093163,1.41055,1.0,1.763524,1.340644,1.0,1.377706,1.297656,0.893,2244.0,107.11217,106.34228,31.62594
2008-01-01,3213.0,54.2002602521,319.1002702532,1.7980876864,1.186626,1.43109,1.0,1.795092,1.337765,1.0,1.398468,1.317131,0.899,2158.0,105.52567,107.56612,36.73095
2009-01-01,3142.0,58.99002935,664.5481162405,-1.1574818224,1.688023,1.618515,1.0,1.802307,1.553991,1.0,1.515809,1.545567,0.899,2133.0,105.69871,105.68449,34.44495
2010-01-01,3274.0,58.6944666541,587.8352337298,-0.0224779798,1.846567,1.623811,1.0,1.783509,1.544087,1.0,1.527577,1.586912,0.904,2067.0,105.45918,108.87928,36.01831
2011-01-01,3298.0,61.4328821753,460.1917525057,-0.8854632921,1.811492,1.619368,1.0,1.770325,1.49058,1.0,1.502858,1.563959,0.909,2014.0,104.9505,111.45657,43.6751
2012-01-01,3277.0,61.9217246881,540.376166319,3.550091556,1.80148,1.601889,1.0,1.789564,1.3892,1.0,1.559538,1.50603,0.91,1980.0,103.828,110.37386,42.49668
2013-01-01,3332.0,60.4687924108,18.0689050892,3.4064942362,1.8412,1.585438,1.0,1.754486,1.397172,1.0,1.580631,1.486974,0.912,1954.5,103.244495,112.965845,39.992695
2014-01-01,3387.0,62.5920262737,140.3009476867,0.8877242782,2.081461,1.743713,1.0,1.705179,1.458862,1.0,1.428384,1.395747,0.911,1929.0,102.66099,115.55783,37.48871
2015-01-01,3349.0,63.1344414422,1282.6325515228,2.8826599381,2.064388,1.685901,1.0,1.689049,1.45784,1.0,1.389856,1.38767,0.912,1977.0,105.66542,116.12344,33.54204
2016-01-01,3272.0,59.7047265559,976.2415174699,3.0330984946,2.042704,1.688664,1.0,1.705849,1.477927,2.0,1.372598,1.250291,0.915,1998.0,105.49102,116.02837,35.02262
2017-01-01,3240.0,59.7123980202,211.763594278,3.9312215935,2.056443,1.674109,1.0,1.764887,1.481056,2.0,1.493829,1.277913,0.916,2005.0,104.69974,117.09433,35.62193
2018-01-01,3313.8061810732,61.3207104539,372.6031540493,2.1198044902,2.00771,1.678037,1.0,1.739037,1.484191,2.0,1.532828,1.319968,0.917,2008.4189420342,103.6116369707,111.945882978,38.6449060043
