date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.74741,3.496688176,17.5096091951,-1919874860.50662,-7.3486412883,53.8422373248,4.9479228507,7.7274079017,14526.0824049391,14330.0,47618024251.7978,8.3246002197,0.3280523,0.6287229,8000.0,0.0,15.985830083,1.0,0.7792079,0.7771922,1.0,1.003807,0.9021329,35.3,0.81,158105.0,102.84456,104.49724,79.72981,423706.0,35.1932983398
2006-01-01,0.79119,3.117779727,17.4624281847,-3221801193.21659,-10.6625455745,55.6202710803,7.4772188986,7.4064442128,16484.5920202619,16170.0,52874509649.8103,5.7803997993,0.161695,0.7163033,8000.0,0.0,16.3197495864,1.0,0.7263384,0.8703759,1.0,0.9738994,0.8612876,34.4,0.819,150422.0,102.02875,107.00485,82.45318,410507.0,30.2689990997
2007-01-01,0.80093,3.703652301,17.0621308376,-6110167739.71175,-15.3760633424,50.3583079477,6.5469165537,11.086954276,19095.436767479,18380.0,59379807157.0296,4.25,0.1301493,0.7266968,8000.0,0.0,16.6143394559,1.0,0.7018702,0.8172772,1.0,1.084034,0.8865519,34.8,0.826,143814.0,101.10445,106.92929,82.51583,393889.0,37.9704017639
2008-01-01,0.78844,3.827380219,18.3338324622,-6488341255.22471,-13.5595956566,57.1390059841,3.6105346839,2.6280779612,20744.1275295851,20040.0,64082503156.1784,5.8259000778,0.1396623,0.7224829,8000.0,0.0,16.8686514995,1.0,0.6169906,0.7462569,1.0,1.123981,0.8496562,35.7,0.831,135719.0,99.49927,106.10878,85.74509,376683.0,40.7030982971
2009-01-01,0.82967,4.068911119,20.08648269,870122235.311432,2.3240026273,51.9391992978,-0.9621239289,-14.8141631583,18145.8529229608,18480.0,58465191778.0941,13.7849998474,0.2315532,0.7280318,8000.0,160.0,17.0855612019,1.0,0.6935584,0.6312088,1.0,0.953743,0.9021598,37.2,0.821,129496.0,99.94983,104.75588,89.25217,358395.0,36.1870994568
2010-01-01,0.78348,3.790375149,21.4576523593,72423566.0274165,0.1956086885,64.1219260013,2.9784458066,1.4822324414,20039.0100196939,19910.0,61661776427.2107,17.8141002655,0.3767319,0.7823634,8000.0,90.0,17.2713117546,1.0,0.7432536,0.7152606,1.0,0.962145,0.9156346,33.6,0.824,122458.0,100.4215,105.06827,86.57257,342905.0,38.9954986572
2011-01-01,0.9039,3.994987097,22.7382726124,-1592642666.40219,-3.6680725267,73.0757046949,4.3329388693,6.0256380911,22823.9183852478,22150.0,67086582717.6793,15.3903999329,0.3271061,0.7749577,8100.0,100.0,17.5653004165,1.0,0.7037992,0.6712003,1.0,0.9313331,0.8605259,32.5,0.831,115581.0,101.25184,106.00816,84.05559,325215.0,45.9227981567
2012-01-01,0.89469,4.646998954,23.9225824954,-686066798.88896,-1.6019646899,78.4108732543,1.5799513596,3.8333027643,24645.5690883586,23870.0,71326513424.6408,13.3648004532,0.3939939,0.8504152,8400.0,94.0,17.8460388743,1.0,0.833409,0.7862099,1.0,1.123943,0.9295096,35.1,0.835,111389.0,101.85441,106.17351,79.75163,304753.0,53.3456001282
2013-01-01,0.95088,4.534840142,26.3425134741,791119636.130651,1.7031275827,78.7912371632,1.5375663574,3.5584246313,26680.0341634064,26090.0,77165476224.9392,11.769900322,0.4260329,0.8360037,8500.0,106.0,18.12213229,1.0,0.8317371,0.9645323,1.0,1.154193,0.9400197,35.3,0.84,109028.0,101.75458,108.99441,73.5332,294274.0,48.5892982483
2014-01-01,1.03048,4.879503706,27.7050524829,1651986577.22858,3.4071997685,72.3427034786,0.7353413789,3.5079712171,28156.1358105285,27820.0,81588223672.8481,10.69810009,0.558858,0.9391773,8580.0,80.0,18.4012637401,1.0,0.9826534,0.7421364,1.0,1.193723,0.9615911,37.7,0.852,108115.0,101.57557,108.18478,70.40061,277349.0,56.7683982849
