date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.57171,1.695063265,1.8910725573,4104514088.98152,10.990094845,161.676408809,12.4366626717,3.1724427808,68220.0644818574,63000.0,29304952011.0148,4.4882001877,1.656579,1.83068,85.0,500.0,14.4206953491,1.0,1.777105,1.332353,1.0,1.639679,1.581918,30.8,0.88,35016.0,100.80898,95.36266,10.3312,35946.0,66.5721969604
2006-01-01,1.66674,1.674457139,2.0922703686,4211880596.10862,9.930329606,176.2468903849,75.9638340719,5.1784858633,77951.3647387768,63450.0,29989597043.7305,4.730700016,1.882664,1.699838,86.0000038147,0.0,14.3334550375,1.0,1.571362,1.400937,1.0,1.674969,1.547201,30.9,0.884,35431.0,101.46625,95.90557,10.3312,37009.0,64.4394989014
2007-01-01,1.59123,1.619489536,3.6350150806,4990207754.8182,9.8062304949,182.8880010907,-58.3228804791,8.3545532772,83981.7358747083,72700.0,34893624479.4315,4.065199852,1.971466,1.765278,83.9999961853,419.0,14.2294936989,1.0,1.592555,1.482909,1.0,1.7364,1.537699,31.1,0.888,35668.0,101.52278,96.71695,10.46927,38209.0,65.9853973389
2008-01-01,1.62293,1.659820588,3.9663521564,4357316567.77322,7.8018639635,187.1118807175,12.7433353154,-1.2795855813,86693.8951220862,71610.0,34990188934.9977,5.0601000786,1.971972,1.801214,83.0000019073,423.0,14.125936074,1.0,1.625627,1.512313,1.0,1.65793,1.545579,32.6,0.89,35630.0,100.57301,97.48297,10.60734,39349.0,73.3835983276
2009-01-01,1.6775,1.624640211,3.7371623658,3549715834.76283,6.9100219955,164.0695066006,53.0559977522,-4.3586069521,82278.1973939736,55730.0,27740237256.596,5.122399807,1.973333,1.827186,81.9999980927,378.0,14.0425394792,1.0,1.74732,1.450533,1.0,1.646159,1.555082,31.2,0.885,35408.5,99.06926,99.386815,14.436275,40942.5,75.693397522
2010-01-01,1.50257,1.534753413,3.6596830259,3583714365.18471,6.7347257257,174.523090008,73.5326207446,4.8649684924,85613.586610591,61750.0,31304552603.8336,4.3607997894,2.046461,1.851443,85.0,459.0,13.9930181595,1.0,1.721774,1.461219,1.0,1.676335,1.574836,30.5,0.893,35187.0,97.56551,101.29066,18.26521,42536.0,74.3890991211
2011-01-01,1.46277,1.434081155,3.7332960152,3587036822.1696897,5.9779333831,177.9896561644,14.7374572299,2.5392348826,92005.0168361444,63530.0,32928110626.5723,4.9015002251,2.159844,1.83319,85.0702953339,492.0,13.9557140574,1.0,1.748484,1.317427,1.0,1.865481,1.604539,32.1,0.892,35099.0,96.55315,101.02246,18.848705,43177.0,66.3307037354
2012-01-01,1.27267,1.402536564,4.1478568322,3208057139.6205897,5.6601490923,186.4443073946,44.986412067,-0.3525192291,91622.1774169388,63710.0,33825803107.6655,5.1401000023,2.122712,1.798904,80.0,512.0,13.9397238804,1.0,1.672072,1.331919,1.0,1.767417,1.649901,34.3,0.892,35397.0,97.17509,100.36072,19.4322,44237.0,66.552696228
2013-01-01,1.30266,1.410811591,5.7231994512,3427890489.66947,5.5521970459,190.628582292,25.9206816369,3.6543702592,95590.5386984251,63840.0,34690043272.6355,5.8475999832,2.123356,1.816299,80.0,662.0,13.9426054261,1.0,1.629902,1.335248,1.0,1.780547,1.631096,32.0,0.892,35250.0,96.83534,102.73632,19.5469033333,46256.0,59.3342018127
2014-01-01,1.26404,1.369609015,6.8832319447,3344743190.08255,5.0598308969,212.6070994061,28.5422075234,4.2967863499,101297.575745297,67290.0,37434314552.7056,5.852399826,2.073182,1.906488,82.0,601.0,13.9610038304,1.0,1.654433,1.378324,1.0,1.630896,1.554682,31.2,0.895,35435.0,97.52305,102.70839,19.6616066667,46872.0,70.1421966553
2015-01-01,1.28405,1.35211397,9.031313661,2949098683.87573,5.1071545016,221.1965864431,21.6379759745,4.3064325379,103750.775104054,67590.0,38500383076.5302,6.6686000824,2.096687,1.874649,85.0,734.0,13.9942231107,1.0,1.724078,1.439398,1.0,1.658029,1.54681,33.8,0.899,35920.0,98.97225,102.31936,19.77631,47027.0,72.0839004517
2016-01-01,1.29524,1.237705805,6.1369236378,2957525196.52385,4.8730481259,213.0356929062,52.5246911736,4.5746002828,108165.761406173,68870.0,40080661354.2617,6.2906999588,2.096854,1.760356,81.0,782.0,14.0423019556,1.0,1.692346,1.419485,1.0,1.722079,1.500211,33.0,0.904,36626.0,100.78979,103.66516,19.56393,47715.0,78.2488021851
2017-01-01,1.25607,1.5601807507,5.5931742685,3335727845.34828,5.2101687858,217.6213606135,-10.6187912515,1.8011817033,110589.192416989,71310.0,42522310028.1371,5.5215997696,1.985497,1.737713,82.0,703.0,14.1067054113,1.0,1.683147,1.325734,1.0,1.691277,1.520515,34.9,0.908,37452.0,102.28595,103.65505,19.15177,48211.0,77.0680007935
2018-01-01,1.3005559204,1.4553861594,6.6668257055,3426284902.8119,4.8335602046,211.5590487096,-7.9212914063,3.1108362656,113337.420494703,72200.0,43877541657.491,5.5854001045,2.087755,1.810886,81.0,705.0,14.1831541841,1.0,1.778221,1.373404,1.0,1.757206,1.566906,31.8390375376,0.909,35786.0219236314,98.0130828466,102.5411125035,18.8896182949,46274.577917099,65.2789001465
