date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.77388,0.895482877,2.7716305227,41570269413.239,6.0678317601,65.6320852159,30.6365606594,2.0508760739,37625.5617084958,37110.0,605553877381.32,5.8724999428,1.970572,1.764358,86.0000038147,14.1336632786,1.0,1.942671,0.9889213,1.0,1.655154,1.66602,29.0,0.891,1277990.0,106.73933,118.37361,58.68984,1410547.0,57.6344985962
2006-01-01,1.74067,0.878594422,3.1518382813,57194899544.2723,7.7992244283,68.181118338,51.2048398341,3.4609890013,40971.2607605818,41290.0,674915016939.327,5.0023999214,2.050479,1.783092,86.9999980927,14.3288448967,1.0,1.788718,0.9029117,1.0,1.682698,1.539821,30.0,0.897,1277478.0,107.04435,118.60428,59.65945,1423262.0,63.9776000977
2007-01-01,1.6703,0.870737319,3.721633781,50053545967.9086,5.9061518943,68.7754574673,86.5890857692,3.7728425178,43896.738702196,43880.0,718773191673.703,4.1526999474,2.169937,1.78735,90.0,14.5357069618,1.0,1.728333,0.7785201,1.0,1.799105,1.523433,29.6,0.904,1280571.0,107.72906,119.47656,59.94198,1444057.0,65.2089004517
2008-01-01,1.62269,0.893305355,3.9739847955,38962664854.2201,4.1099959048,69.7936334785,20.6255899936,2.1703247897,46420.2016795592,45110.0,741916192385.952,3.6542000771,2.118235,1.761363,88.9999961853,14.7737121882,1.0,1.696206,0.8650271,1.0,1.775021,1.483086,29.3,0.906,1285543.0,108.27075,120.44203,60.33618,1460503.0,69.2611999512
2009-01-01,1.6657,0.908718502,4.4101316676,50062869721.6387,5.7670985026,62.237013517,11.0417935886,-3.6668840249,44566.0618961764,44130.0,729474044118.514,4.3470001221,2.134323,1.814506,88.9999961853,15.0692577389,1.0,1.739726,0.9449179,1.0,1.699952,1.464389,27.9,0.906,1290029.0,108.4438,120.60619,61.16703,1462461.0,68.0878982544
2010-01-01,1.70404,0.890324296,3.8731627418,61803347055.1226,7.3005716966,69.8036724777,13.6734515295,1.3427394441,45040.3180778936,45170.0,750559058860.995,4.9889998436,2.143759,1.819352,88.0000019073,15.437474154,1.0,1.729366,0.9407501,1.0,1.731538,1.450569,27.8,0.911,1294015.0,108.27608,122.07911,63.71602,1474983.0,70.1473999023
2011-01-01,1.88131,0.861264085,4.6967140569,81373336077.922,9.0006191675,75.5030683054,36.7300267334,1.5511892518,46599.02103045,47250.0,788764031504.728,4.9773001671,2.120604,1.822074,88.9449691772,15.8889552773,1.0,1.788899,1.113631,1.0,1.811241,1.537048,27.8,0.922,1291665.0,107.49659,128.17912,75.87855,1538898.0,67.5436019897
2012-01-01,1.91627,0.856050224,4.9622987425,89514058235.6887,10.6695017446,79.5033738357,28.5669993076,-1.0303540066,47272.1030187972,48080.0,805602323121.5609,5.8208999634,2.117599,1.861233,84.0,16.3940104241,1.0,1.8134,1.187465,1.0,1.753006,1.605585,27.6,0.921,1277199.0,105.83011,128.99249,76.60667,1550175.0,71.4997024536
2013-01-01,1.92987,0.856334917,5.0249763245,85496733373.1877,9.7496225766,79.880477786,37.4807348626,-0.1301752286,49241.5178406305,49910.0,838682680044.001,7.2430000305,2.046002,1.835081,83.0,16.925001701,1.0,1.783959,1.143815,1.0,1.770449,1.566973,28.1,0.924,1254145.3333333333,104.78594,130.5102766667,77.9277533333,1571282.3333333333,83.1065979004
2014-01-01,1.97568,0.860316495,5.6596277366,75952978907.9213,8.5246433302,80.5779081541,13.201993757,1.4233954099,49233.2153954401,49110.0,828263670286.029,7.4158000946,1.990494,1.980403,83.0,17.441544996,1.0,1.817106,1.045115,1.0,1.769266,1.547281,28.6,0.925,1231091.6666666667,103.74177,132.0280633333,79.2488366667,1592389.6666666667,80.1551971436
