date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.48317,8.330049302,58.5918095313,49967488000.0408,16.1767660512,43.4025448407,3.2564815852,2.6254576263,47797.5299472052,48300.0,223283670197.81,4.3807001114,2.010046,1.924565,88.9999961853,28500.0,1051.0,14.8150490765,1.0,1.864108,1.296116,1.0,1.479817,1.640593,30.6,0.932,429652.0,98.5115,113.75949,78.52335,403026.0,64.6940002441
2006-01-01,1.45598,8.220334686,57.0596904305,55913071665.1842,16.1794230027,44.6445612248,3.4370845255,2.3997908212,54104.2892735293,54120.0,252226786011.118,3.3986001015,2.133688,1.979785,88.0000019073,29390.0,1002.0,14.7689682461,1.0,1.879103,1.253358,1.0,1.22142,1.54218,26.4,0.936,429680.0,98.59501,113.94465,77.67086,412311.0,70.7967987061
2007-01-01,1.56401,8.149271545,57.390065525,49732367558.4286,12.4040323379,43.2984720699,6.1870281131,2.9942518513,55876.5039239364,55720.0,262412431409.036,2.4934000969,1.992581,1.946529,86.9999980927,35300.0,1451.0,14.7338794195,1.0,2.024723,1.145414,1.0,1.329298,1.549855,27.1,0.938,430747.0,99.07673,113.58016,75.48997,419698.0,70.4850006104
2008-01-01,1.55346,8.097107421,58.4937325341,72915061387.0417,15.7739451351,45.9167117361,4.4517511488,0.4763799995,61716.5997128422,61480.0,293138235484.347,2.5499000549,1.906427,1.970247,79.0000009537,35900.0,1111.0,14.7250513989,1.0,1.84209,1.28515,1.0,1.372778,1.548039,27.0,0.938,429585.0,99.26473,112.57491,72.59347,423598.0,79.3514022827
2009-01-01,1.72279,7.910070165,56.7709250909,45169002358.6256,11.6960452864,39.2356785991,2.236141349,-1.7270203095,55375.5762805934,55740.0,269175461487.219,3.1029000282,1.994785,1.881072,86.0000038147,36500.0,752.0,14.7697213585,1.0,1.841375,1.27541,1.0,1.467539,1.54888,26.2,0.938,426769.0,99.15568,111.31356,73.17962,425141.0,80.2126998901
2010-01-01,1.64855,7.854990948,56.4245557828,50258127255.8711,11.7218197596,39.7598437032,5.0458100326,0.7018338239,57915.0193733858,58580.0,286431243846.263,3.5213999748,2.085211,1.897269,86.0000038147,36800.0,1072.0,14.887334477,1.0,1.878928,1.332312,1.0,1.514319,1.595088,25.7,0.942,424052.0,99.08012,112.60663,73.49386,435085.0,81.8686981201
2011-01-01,1.62534,7.662680464,56.5293289729,66453557988.1617,13.3364974349,41.2739648575,2.0663586788,0.9814694973,62076.7406576686,62730.0,310701643205.307,3.2149000168,2.149326,1.873944,89.8985385895,37700.0,1211.0,15.1103705695,1.0,1.837559,1.337977,1.0,1.609021,1.626358,25.3,0.943,423333.0,99.40241,112.18761,73.66792,437010.0,82.6115036011
2012-01-01,1.61858,7.563170836,58.2758503901,63595359982.8121,12.4817608423,40.6824371899,5.4754901733,2.7030738548,65354.7792483883,65990.0,331152578513.979,3.1228001118,2.256409,1.958513,85.0,38500.0,1598.0,15.403985353,1.0,1.909127,1.32747,1.0,1.546811,1.728163,25.7,0.942,423351.0,99.88345,110.57043,73.57134,432546.0,81.6110992432
2013-01-01,1.65004,7.439618422,57.7259495348,53449786436.0721,10.2245064284,39.1971735048,-0.2618033438,1.0340729135,66961.2530988205,67770.0,344244308199.849,3.4230999947,2.294475,1.98001,86.0,38800.0,1673.0,15.7314711913,1.0,1.884967,1.352092,1.0,1.666547,1.737975,26.4,0.946,424993.0,100.22356,113.18486,76.50003,442563.0,79.4991989136
2014-01-01,1.71187,7.418493302,57.1964019487,54964662112.8759,11.0280003554,38.9963557218,0.650516595,1.9695443008,65892.6892787813,68100.0,349842613934.341,3.4837999344,2.226566,2.029048,86.0,37050.0,1544.7368421053,16.0400523894,1.0,1.828457,1.119959,1.0,1.646469,1.684087,26.8,0.945,425917.0,99.82749,112.76671,77.5435,439250.0,84.6941986084
