date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.56281,1.941205864,7.2147164502,-7981000000.0,-2.6071034602,34.6096996571,3.6066945626,3.493667637,13895.9235416906,13650.0,521089422492.56396,17.7458992004,0.2669164,0.4808049,34.0000009537,70000.0,2000.0,13.0771343255,1.0,0.4783568,0.3616216,1.0,0.8279473,0.9443723,35.8,0.808,2723661.0,94.52988,99.58298,63.59458,3444903.0,35.7291984558
2006-01-01,0.55082,1.794443254,7.1839650546,-13893000000.0,-4.0298925431,37.8639851041,6.2285958812,6.1796413461,15142.1848735363,14820.0,565363690053.952,13.8404998779,0.2741507,0.404506,37.0000004768,72644.0,2600.0,13.1797118718,1.0,0.3737843,0.3536567,1.0,0.7275952,0.8035325,34.7,0.813,2602020.0,94.56269,98.65075,65.36472,3316939.0,34.8204994202
2007-01-01,0.56189,2.011540509,7.275764524,-27429000000.0,-6.3927593013,38.5645900784,5.8338677338,7.0348283012,16787.9702463152,16220.0,618483086700.698,9.6016998291,0.2991638,0.4286534,41.9999980927,72670.0,3214.0,13.2117418307,1.0,0.3872338,0.6827373,1.0,0.7722009,0.8795024,34.0,0.819,2484820.0,94.68037,98.08262,67.212,3205849.0,33.9118003845
2008-01-01,0.59921,1.954348608,8.0105401956,-35829000000.0,-6.7118659108,37.8569890107,2.7301552872,4.2496085028,18310.4432086685,17990.0,685875316122.792,7.1175999641,0.4613512,0.5465031,45.9999990463,76120.0,3410.0,13.2251565603,1.0,0.4732433,0.9104813,1.0,0.8322434,0.9534822,33.5,0.824,2375205.0,94.79737,97.14995,70.22705,3085019.0,40.7532997131
2009-01-01,0.66097,2.041332122,8.8420626923,-17867000000.0,-4.0625638897,37.1844501708,3.1889773635,2.820259759,19246.4486754828,18670.0,712241133620.83,8.1667995453,0.4450843,0.6284057,50.0,80776.0,4971.0,13.2964621637,1.0,0.5317568,0.9380806,1.0,0.9520382,1.026881,33.4,0.828,2294369.0,95.52591,96.24036,72.31267,2958193.0,41.8036003113
2010-01-01,0.7207,1.98800844,9.4886238582,-25843000000.0,-5.3915799994,40.055130499,3.8377167546,3.6069282614,21048.3305213108,20300.0,772129450031.8291,9.6372003555,0.4970796,0.6835747,53.0000019073,83937.0,3161.0,13.4726258937,1.0,0.640949,1.01733,1.0,0.9808911,1.037602,33.2,0.835,2234937.0,96.52896,95.94371,74.75525,2841629.0,45.0397987366
2011-01-01,0.74588,1.915478037,10.4378791792,-27322000000.0,-5.1664782771,42.5631723793,3.4954377773,5.0172351999,22850.6388460286,22030.0,838395069678.21,9.6316995621,0.5570222,0.766174,54.824180603,87488.0,5163.0,13.7781160316,1.0,0.6207488,1.072063,1.0,0.9282178,1.027628,33.2,0.84,2191659.0,97.48154,95.89886,74.65851,2726279.0,42.4813995361
2012-01-01,0.88086,1.958315587,10.9151432473,-18572000000.0,-3.7117214968,44.4435920647,1.4705388097,1.6079066446,23833.2097049187,22940.0,873340912431.354,10.0876998901,0.6632341,0.7804115,58.0,91348.0,5599.0,14.1871236499,1.0,0.6756304,1.049479,1.0,0.9604836,1.064276,33.0,0.836,2187172.0,99.98213,96.21341,73.96146,2611081.0,48.4916992188
2013-01-01,0.87053,1.942916136,11.4133798111,-6709000000.0,-1.2797712227,46.3198331819,0.1516497424,1.3918923212,24719.2475053521,23890.0,908857038270.8729,10.3259000778,0.5960163,0.8194907,60.0,96544.0,5196.0,14.6752083001,1.0,0.7225148,0.973355,1.0,1.04645,0.9981389,33.1,0.851,2160861.0,100.33445,107.35098,71.8564,2777727.0,34.771900177
2014-01-01,0.93978,2.072696332,11.5693155276,-11405000000.0,-2.0911674698,47.5689217231,3.6260348866,3.318447537,25612.2578311438,24670.0,937591885654.9159,8.9898004532,0.635148,0.840596,61.0,98810.0,5580.0,15.1989196213,1.0,0.8273836,0.8429408,1.0,1.054908,1.105113,32.8,0.853,2152655.0,100.14114,106.9047,68.44717,2641287.0,38.8927001953
