date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,16.197318762,17.2910563364,17.3507687432,15.7835662889,10.765699228,14.043483597,18.8683245334,15.1526955926,16.6780219588,16.7550868662,16.0270526668,16.4718996739,16.0356213117,17.9131174915,17.2475330386,15.6187372576,10.5132710796,11.808637225,19.6597661696,15.985830083,14.4206953491,16.8578232703,13.6929665664,14.1336632786,14.8150490765,13.0771343255,17.2039764019,15.2293023427,11.6376793099,15.5025925124,17.3066074335
2006-01-01,16.4899751284,17.3149802603,17.4807089807,15.9539380619,10.8813236066,14.2262347147,19.3231838295,15.3890519345,16.700254077,16.9948338586,16.1992696908,16.5143104596,16.1098282649,18.2225252807,17.4125561656,15.7201327452,10.5839730933,11.7870012011,19.8455504698,16.3197495864,14.3334550375,17.2033998093,13.9599043138,14.3288448967,14.7689682461,13.1797118718,17.4497359817,15.4293677142,11.7743193559,15.7716374605,17.3959465335
2007-01-01,16.8229160966,17.2950927556,17.5905067555,16.1490633784,10.989806461,14.4615061996,19.7049478314,15.6579775101,16.7403668963,17.1579771122,16.3577707396,16.5266199301,16.1732370016,18.4514203589,17.4403646045,15.8380227588,10.6530923607,11.7880091617,19.9759868704,16.6143394559,14.2294936989,17.5130306371,14.2414405225,14.5357069618,14.7338794195,13.2117418307,17.7010374304,15.5126446758,11.9217766081,16.024109918,17.5487035328
2008-01-01,17.1735120119,17.2624990746,17.7039021479,16.3701207204,11.1055944037,14.7444966872,20.0235137521,15.9604629475,16.8106422369,17.2712979069,16.5460746028,16.5495390417,16.2508781666,18.6426303829,17.4074974337,15.9524140984,10.7345049857,11.8183338909,20.0835547146,16.8686514995,14.125936074,17.7799147868,14.596657802,14.7737121882,14.7250513989,13.2251565603,17.9761071734,15.5297311983,12.0821851286,16.2592459314,17.7487552547
2009-01-01,17.5052310119,17.2651506362,17.8583351631,16.6176555614,11.2454158748,15.0703817783,20.3006080559,16.2972089546,16.9156289348,17.3820010703,16.8251201457,16.6452387082,16.3770772859,18.8625029108,17.4266296636,16.0386041824,10.8494327385,11.8878574457,20.2215745117,17.0855612019,14.0425394792,17.9999860126,15.077803048,15.0692577389,14.7697213585,13.2964621637,18.2934907171,15.5642862719,12.2575494529,16.4787265636,17.9744052643
2010-01-01,17.7983837952,17.3340272585,18.078674124,16.8913676136,11.4175471773,15.4402621435,20.5527504286,16.6677047996,17.0541804817,17.5240466001,17.2295669112,16.8520311777,16.5697444278,19.151823302,17.5602362664,16.0923990946,11.0098958769,12.0051946755,20.426838976,17.2713117546,13.9930181595,18.1786346532,15.6916184071,15.437474154,14.887334477,13.4726258937,18.6627234392,15.6672201418,12.4523388254,16.6889749464,18.2185664836
2011-01-01,18.0531001298,17.433762735,18.4120672481,17.0997517134,11.6674208527,15.9068025916,20.7054506729,17.032272024,17.3290574511,17.7361153687,17.7331402858,17.1352837666,16.8081294158,19.3970327486,17.854656246,16.3513270437,11.3134637522,12.264355095,20.663772333,17.5653004165,13.9557140574,18.4855345551,16.2194707384,15.8889552773,15.1103705695,13.7781160316,19.0425266193,15.8245199643,12.7161029977,16.9008042268,18.501306156
2012-01-01,18.2744944354,17.5930177447,18.8141864682,17.3301938109,11.9400447207,16.4195245326,20.8249891556,17.4897338272,17.6427924576,17.9847622243,18.3438447062,17.5169408589,17.1061412303,19.7240176698,18.2012152114,16.5823563987,11.6553368584,12.5778438333,20.9621591346,17.8460388743,13.9397238804,18.7641371551,16.8417459087,16.3940104241,15.403985353,14.1871236499,19.4519388944,16.0438362308,12.9961666804,17.1057471901,18.809759639
2013-01-01,18.4729790331,17.787165135,19.2492875257,17.5721104695,12.2323768693,16.9583658786,20.9365796471,18.0264608306,17.9808804733,18.2605518164,19.010781797,17.9687879171,17.4298656017,20.1018760765,18.5614359825,16.8192490423,12.0257909244,12.9338879601,21.2992939798,18.12213229,13.9426054261,19.0245076058,17.5221928378,16.925001701,15.7314711913,14.6752083001,19.8826966928,16.3187927984,13.3031830275,17.3364968421,19.1200971177
2014-01-01,18.6596177414,17.9771720233,19.661890741,17.8004465512,12.5336179851,17.4908989692,21.064162526,18.5704555421,18.3192777362,18.5443489478,19.6588940111,18.4358568735,17.72802939,20.4772789796,18.9064676589,17.1076648617,12.4074206954,13.316433045,21.6353388748,18.4012637401,13.9610038304,19.2751008179,18.1891087107,17.441544996,16.0400523894,15.1989196213,20.3216999299,16.6299592782,13.6510571483,17.632073318,19.3946718219
