date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,0.75707,1.217687816,18.0728003933,-18936787439.7129,-9.6037912922,27.084167546,1.7080491715,0.781847554,22725.2774946084,22420.0,235520718575.13397,7.5816998482,1.069998,1.2349,65.0,106700.0,4737.0,17.2039764019,1.0,1.056517,1.01761,1.0,1.280887,1.430305,38.5,0.8,752739.0,118.08152,97.93074,55.43176,669529.0,43.7616996765
2006-01-01,0.95455,1.274718966,22.3317513696,-21356231609.2249,-10.2387851533,30.3574044411,6.4217057855,1.6250344122,24657.104822569,23960.0,252079949002.92,7.6473999023,1.016922,0.98591,65.9999990463,110500.0,4100.0,17.4497359817,1.0,0.8745383,0.9529556,1.0,1.065522,1.232662,38.1,0.803,750493.0,118.0026,98.4939,55.39792,661748.0,46.379699707
2007-01-01,1.12427,1.223624849,23.148136068,-23226935476.2678,-9.6702018323,31.1941845713,2.5041102075,2.5065799889,25708.2461922016,24970.0,263254571065.825,7.9636998177,1.036281,1.016893,65.0,130000.0,3894.0,17.7010374304,1.0,0.9007416,0.8218185,1.0,1.08139,1.231421,36.8,0.81,753646.0,117.00543,101.96286,57.79474,680338.0,49.0276985168
2008-01-01,1.4452,1.255643594,23.1891693538,-31230591785.5068,-11.9044075658,31.2610790784,2.9804578068,0.3192475044,26665.8372952939,25770.0,272098077805.79398,7.5517001152,1.070165,1.020404,60.9999990463,140000.0,3579.0,17.9761071734,1.0,1.085485,0.9884541,1.0,1.100412,1.201864,36.6,0.814,754142.0,115.68991,103.69304,61.6109,691701.0,42.1449012756
2009-01-01,1.57973,1.239313056,24.8945429909,-25121217594.4793,-10.3081858997,27.2937427181,2.2920770351,-3.1220790785,26464.3108053655,25580.0,270338987023.29898,9.4319000244,1.092931,1.064921,58.0000019073,143000.0,2789.0,18.2934907171,1.0,1.156265,0.7876344,1.0,0.9914032,1.128243,34.9,0.817,743662.0,113.17334,105.90389,62.64161,709519.0,43.7070999146
2010-01-01,1.53257,1.227018042,27.8279775695,-24406544935.3535,-10.2599847579,30.0693089249,3.769497772,1.73762581,27259.7660986177,26390.0,279049859428.85803,10.769900322,1.090371,1.056598,60.0,145000.0,2450.0,18.6627234392,1.0,1.010235,0.717687,1.0,0.7198218,1.107203,35.8,0.822,733515.0,111.58922,106.75214,65.60205,720688.0,48.9096984863
2011-01-01,1.45683,1.217952272,27.2191030249,-14719312839.82,-6.0128593147,34.4548615995,4.0119232671,-1.6961657436,26769.5118850004,26340.0,278041334782.043,12.6772003174,1.112964,1.023857,60.9760904312,147000.0,2066.0,19.0425266193,1.0,0.9471941,0.7417393,1.0,0.6259704,1.107911,36.3,0.827,720740.0,110.76992,106.58557,68.42896,725804.0,63.2061004639
2012-01-01,1.37777,1.216505047,25.517440892,-3561728369.91936,-1.6471440197,37.7780148211,9.894890439,-4.0572938167,26438.0163019973,25810.0,271411027125.957,15.5268001556,0.9602379,1.065502,63.0,148500.0,1092.0,19.4519388944,1.0,1.035028,0.7752726,1.0,0.8269463,1.028528,36.0,0.829,703525.0,109.61748,108.7159,68.51029,734003.0,61.047000885
2013-01-01,1.32641,1.252510013,30.1720552112,3720882132.09959,1.6437205973,39.606504973,6.9555397347,-0.9226443477,27936.0396644563,27560.0,288230115471.542,16.1833992004,0.9504781,1.058802,62.0,149400.0,940.0,19.8826966928,1.0,1.230732,0.7487634,1.0,0.8041509,1.066935,36.2,0.837,693045.0,109.51831,119.45542,66.13674,798925.0,58.3768005371
2014-01-01,1.28973,1.253744089,30.4570080786,340855577.589982,0.1484587379,40.2159680027,5.2465198444,0.7921911093,28742.4403783509,28150.0,292835641286.096,13.8941001892,0.9476263,1.137531,63.0,150000.0,804.0,20.3216999299,1.0,0.9885908,0.8062744,1.0,0.7499732,1.107446,35.6,0.84,674038.0,108.10259,116.0811,65.50357,768631.0,61.7761001587
