date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,1.606079,1.272992,0.6437926,1.551834,1.221836,1.110906,1.516365,1.650685,1.305955,1.294085,1.662623,1.246632,1.614293,0.9607569,0.5099912,1.068541,1.489262,1.603446,0.998329,1.607823,1.003807,1.639679,0.9258149,1.062275,1.655154,1.479817,0.8279473,1.280887,0.2342906,1.161917,0.8854151,1.534101
2006-01-01,1.644535,1.330316,0.5968993,1.495726,1.27707,1.108626,1.569094,1.803423,1.177149,1.294109,1.601978,1.240273,1.839874,0.8585035,0.4197808,1.21221,1.837013,1.526913,0.9774947,1.350138,0.9738994,1.674969,0.9998425,1.115418,1.682698,1.22142,0.7275952,1.065522,0.4625684,1.133783,0.7956023,1.439837
2007-01-01,1.690031,1.419906,0.6287009,1.644415,1.331325,1.023206,1.615169,1.925144,1.21499,1.359947,1.548008,1.287171,1.866609,0.8947076,0.4911637,1.19106,1.849392,1.509135,0.9405472,1.377706,1.084034,1.7364,1.007933,1.144283,1.799105,1.329298,0.7722009,1.08139,0.507854,1.021248,0.7999157,1.57208
2008-01-01,1.606344,1.40555,0.6973,1.561896,1.367876,1.15504,1.488769,1.873556,1.25476,1.419457,1.610824,1.284125,1.785171,0.880909,0.5098007,1.195643,1.91417,1.310709,0.9747458,1.398468,1.123981,1.65793,1.024673,1.201846,1.775021,1.372778,0.8322434,1.100412,0.5807096,1.115403,0.8341884,1.635778
2009-01-01,1.452587,1.312602,0.6694661,1.551713,1.362604,1.311661,1.519109,1.88179,1.189271,1.395184,1.812506,1.216958,1.584341,0.8366709,0.5598809,1.081764,1.698822,1.01575,0.9684786,1.515809,0.953743,1.646159,0.9855881,1.366899,1.699952,1.467539,0.9520382,0.9914032,0.6027623,1.050077,0.9156417,1.652537
2010-01-01,1.452815,1.28502,0.6495608,1.623263,1.423306,1.299505,1.573053,1.876393,1.160325,1.390466,1.87564,1.312381,1.732978,0.6446643,0.5743341,1.016507,1.620827,0.9226791,0.8963356,1.527577,0.962145,1.676335,0.9836758,1.430892,1.731538,1.514319,0.9808911,0.7198218,0.6428855,1.00123,0.7612643,1.658656
2011-01-01,1.382634,1.241629,0.5438341,1.621409,1.236406,1.201138,1.554825,1.905198,1.065844,1.390989,1.819748,1.161314,1.655506,0.4964582,0.5373026,1.032593,1.600839,1.057036,0.7177325,1.502858,0.9313331,1.865481,0.9598081,1.339909,1.811241,1.609021,0.9282178,0.6259704,0.6582558,1.004638,0.6972604,1.898798
2012-01-01,1.524189,1.22858,0.5632586,1.65837,1.130751,1.05909,1.536132,1.806774,0.9529905,1.417086,1.829249,1.130379,1.645116,0.5269415,0.4582827,0.9879707,1.571007,1.119306,0.7499914,1.559538,1.123943,1.767417,1.016595,1.327936,1.753006,1.546811,0.9604836,0.8269463,0.5546572,1.046938,0.63064,1.907862
2013-01-01,1.490679,1.291454,0.5389014,1.628784,0.9171373,1.085486,1.553044,1.80997,0.9390443,1.447542,1.851513,1.157089,1.77062,0.6334165,0.4630746,0.9061847,1.582879,1.14007,0.7847136,1.580631,1.154193,1.780547,1.043866,1.298451,1.770449,1.666547,1.04645,0.8041509,0.6117656,0.9341252,0.6301469,1.905513
2014-01-01,1.48773,1.157765,0.568319,1.806558,1.098858,1.005961,1.703043,1.687075,0.750495,1.676558,1.884035,1.078786,1.825786,0.3293375,0.3950692,0.7519903,1.764863,1.217898,0.6418828,1.428384,1.193723,1.630896,1.171654,1.083089,1.769266,1.646469,1.054908,0.7499732,0.5813455,0.8897797,0.6616281,1.81139
2015-01-01,1.403266,1.287759,0.5637681,1.741087,1.062325,1.098858,1.723078,1.734574,0.8076367,1.669039,1.836381,1.129694,1.845658,0.409623,0.3640225,0.7662329,1.818874,1.273735,0.7288107,1.389856,1.277035,1.658029,1.0888,1.168855,1.799031,1.606871,1.000138,0.9568518,0.5967953,0.788662,0.6263494,1.815066
2016-01-01,1.440436,1.340684,0.6585177,1.911901,1.052626,0.986401,1.817016,1.575408,1.008604,1.698142,1.817408,1.070323,1.760709,0.1483869,0.3562783,0.6034219,1.740965,1.276847,0.7105919,1.372598,1.136219,1.722079,1.080243,1.156792,1.976167,1.697963,0.9519957,0.844399,0.5874754,0.8890519,0.6402694,1.854203
2017-01-01,1.437395,1.24425,0.6258,1.883794,1.030003,1.232614,1.783135,1.621354,0.9428412,1.642088,1.819965,1.15695,1.714478,0.2381997,0.424106,0.6497676,1.585116,1.432059,0.7040223,1.493829,1.15609,1.691277,1.154456,1.28226,2.047448,1.813414,0.8816792,0.9087492,0.4881749,0.8238245,0.5781539,1.798393
2018-01-01,1.544717,1.233861,0.5765803,1.780406,1.017323,1.261501,1.749248,1.67705,0.9452896,1.562708,1.786545,1.173062,1.761863,0.2950006,0.4473468,0.6022686,1.595356,1.417764,0.6714953,1.532828,1.113281,1.757206,1.189894,1.336778,2.01824,1.75844,0.8819272,0.8900307,0.4453986,0.8107936,0.6948206,1.800021
