date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,24.1744174208,2.4669355231,9.8913304396,19.3109091541,3.3648509735,7.5128473429,6.7645510087,16.1263978315,7.2898164726,18.8612379096,31.5133498327,8.596912157,1.3522797381,7.72374229,26.8368896995,4.6647689511,2.8899064015,62.4655995725,6.7026390786,,17.5096091951,1.8910725573,36.3005004373,0.1812219537,2.7716305227,58.5918095313,7.2147164502,18.0728003933,18.510169965,6.3064654823,14.5662547123,39.9918953271
2006-01-01,26.2542625151,2.8266238874,10.0037633097,18.6568106777,3.5142383272,7.8582877253,7.7532246562,15.2671237359,8.4722072104,17.1630792136,31.2432927832,8.4601128292,1.553919991,8.2116801391,25.5172157786,5.3641286359,3.2036526383,64.015845753,7.5125640415,,17.4624281847,2.0922703686,33.9989639036,0.2131773338,3.1518382813,57.0596904305,7.1839650546,22.3317513696,17.4105082489,6.5676163277,14.4143715723,41.1265877684
2007-01-01,28.6009320733,3.3290812486,8.8704861729,19.9300516867,4.3553113255,8.2925802782,9.4065879033,17.7009281704,9.0053879295,18.5652519784,31.7929483715,9.3213283152,1.8396507717,7.918628933,22.6721558894,6.140332595,3.556367276,66.7515975966,8.7317297475,54.4758497276,17.0621308376,3.6350150806,33.0753863668,0.2652769601,3.721633781,57.390065525,7.275764524,23.148136068,18.1794263239,8.2321767272,14.0899770794,42.9246551712
2008-01-01,29.3561662009,3.9117502967,9.9506988374,20.2420204736,5.4936639968,8.9551013453,8.5922482567,18.549254688,9.7372029348,20.1889954782,34.7310270994,10.4732303589,2.782791914,8.1099586504,24.1559113464,6.7551894128,4.1533712191,73.4615703076,10.8233492991,54.2002602521,18.3338324622,3.9663521564,33.704935582,0.2500475822,3.9739847955,58.4937325341,8.0105401956,23.1891693538,20.3889961715,7.629430259,13.8524951998,44.8655881318
2009-01-01,30.5143889874,4.8334593536,11.6601737928,20.7538728903,5.9785161672,10.2141620436,9.6300615697,19.3427639308,12.2179472923,24.0887687041,32.598731568,11.2220062136,3.3830316631,8.920028783,27.1782564635,8.3991547888,5.2467564791,74.1238775545,12.5397527301,58.99002935,20.08648269,3.7371623658,38.3941409606,0.2634774057,4.4101316676,56.7709250909,8.8420626923,24.8945429909,22.1822696766,9.9991415643,19.0283649811,47.0773641962
2010-01-01,30.6592165744,5.8373914756,14.3675277985,21.4603638355,6.3532255992,10.9177199802,10.2935196369,21.3548364626,14.3957857927,25.1298919418,33.5820641793,11.8458733048,3.6389182619,11.0929826096,29.7750473066,13.45602883,5.2735381431,75.4196918407,12.7940929983,58.6944666541,21.4576523593,3.6596830259,33.0640004053,1.3872071343,3.8731627418,56.4245557828,9.4886238582,27.8279775695,24.0957070448,10.2797356631,19.5047538485,45.9778059302
2011-01-01,30.9885937244,6.6320651484,13.277029358,21.5570329142,7.4157519845,12.1206034598,11.3943559061,23.8989672739,14.7459265298,24.9835417866,35.2579798551,10.9136904355,4.4011186214,11.0883158079,27.1862393887,14.742991742,6.7093646071,76.4508536593,11.904940268,61.4328821753,22.7382726124,3.7332960152,35.5339217998,2.0266206929,4.6967140569,56.5293289729,10.4378791792,27.2191030249,21.1127362059,10.3575669305,18.5864329328,46.4870296536
2012-01-01,33.4265374778,7.7587290659,15.7514521625,22.958502787,8.3389001717,12.7628160099,12.0151357258,27.2819568791,15.7709502104,24.9085588565,38.8026670059,12.3729587621,4.7512576185,13.8593777474,29.4219488728,16.465204619,6.6185486106,77.3446814179,14.391648965,61.9217246881,23.9225824954,4.1478568322,40.3656247937,2.595071855,4.9622987425,58.2758503901,10.9151432473,25.517440892,21.5509591718,10.4725845421,19.704625755,49.9485495007
2013-01-01,34.6806004056,8.1294345226,18.1570190693,22.9925196663,9.4959303608,13.9237189142,12.0890787546,27.3428385983,16.9499656957,24.4752448868,38.4797058654,13.4773744348,6.0157809493,16.2938175121,32.8375105988,17.196388709,7.404766881,76.219495946,16.3208850423,60.4687924108,26.3425134741,5.7231994512,39.6030380303,2.580532947,5.0249763245,57.7259495348,11.4133798111,30.1720552112,23.0902321977,10.6783822105,22.0056325887,48.8252222639
2014-01-01,35.3942733419,9.0739950975,16.9666248124,23.418147229,9.3632956837,14.8307420893,13.3788782317,30.2716312824,17.3517358032,25.3260591405,41.2352406498,13.3470246385,7.3952204555,16.0857927243,33.648191269,15.6745498209,8.5206697909,76.3388709816,17.0903588439,62.5920262737,27.7050524829,6.8832319447,40.2360616037,3.9301008626,5.6596277366,57.1964019487,11.5693155276,30.4570080786,24.3318800957,12.2427515458,22.3004865571,49.6934146904
2015-01-01,34.3949917478,9.2016405308,17.6500779274,25.2919836825,9.9420660164,14.8285619496,14.2062526978,33.1702771731,16.2540977372,27.4768334659,43.2352625899,13.4992623167,8.7116855744,17.1700475461,33.1274666359,15.5593620508,9.0813990134,77.0296892056,16.5168505774,63.1344414422,28.9611792544,9.031313661,38.0980171667,5.3550047464,5.8894630788,57.7720015985,11.9114882088,27.1572983859,23.6977940316,13.409168221,20.8773961433,53.2477697984
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
