date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,6630.1110471272,1129.3373613033,2783.175518446,5350.2018310668,733.2804995332,1276.8443166543,1300.6529569579,1098.6117575627,2458.7190034193,9480.2637467554,20231.7384924897,3124.2079644653,2364.5495126313,5249.5942199433,8746.6593909309,596.6717648954,11139.0420696613,545630.7812790871,3122.9513652944,,4784.460962079,2083.3637157208,7698.862668015,124.1628229463,671.4811457861,81118.6215440441,1406.0653883364,3604.2995119778,2029.403655091,2344.3509143527,9251.1751023972,18692.4224198882
2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,6524.3248776897,1080.406362441,2874.3939135119,5051.9822715438,687.1968184549,1251.0958981655,1330.4184652235,1073.0435018989,2377.437180445,9609.161893587,19763.6817781255,3046.0033778045,2276.2844131032,5251.239677353,8834.0920029675,604.8166387477,10653.2554500642,530063.981840632,3065.1808439063,,5174.4225548594,1883.4307067009,8327.110939828,120.2300798994,656.5219306376,76117.2548451522,1408.1856148375,3613.9385425024,2112.8689824302,2330.063046698,9075.6232260122,17963.3660784837
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,6435.4913368926,1070.5628493102,2907.0016935361,4933.6587757028,676.9158671683,1249.3649853064,1321.2731145618,1063.1747283367,2392.3814526583,9668.7446987361,19591.6442186706,3015.8588939941,2244.1248810614,5324.8072764042,8894.8890722395,608.1203526936,10520.123493368,519264.721154845,3002.1809816688,,5272.1913730444,1797.5298345014,8496.4153553398,116.2100341036,652.2380540822,74359.1101200024,1410.0908574681,3653.4730780376,2128.6877644504,2325.302856856,9054.4040194376,17635.9385361759
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
