date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup
2005-01-01,0.41262,2.462870217,18.510169965,-8540555216.85637,-8.6747719845,24.5352206062,6.6007782329,4.6681480508,9602.1261987765,9320.0,198699781185.12,7.1743998528,-0.2416546,-0.1382283,30.0,29847.0,0.0,15.2293023427,2.0,-0.3068253,0.0845609,2.0,0.2342906,0.4089088,39.6,0.755,970295.0,109.73966,82.47559,46.38265,2089646.0
2006-01-01,0.45682,2.353499768,17.4105082489,-12909857013.7492,-10.5798556644,24.771226499,9.0201151149,8.028811076,11544.6827257528,11160.0,236508609925.97897,7.2694997787,-0.1638925,-0.1178744,30.9999990463,29847.0,0.0,15.4293677142,2.0,-0.2101832,0.1478715,2.0,0.4625684,0.5179734,39.6,0.766,938095.0,105.84921,83.8186,52.47506,2013016.0
2007-01-01,0.51148,1.912871013,18.1794263239,-23924307026.9341,-13.7035136097,24.7108290495,5.7869088285,7.2338077436,13686.8309720262,13240.0,276574212275.463,6.4130997658,-0.1827063,-0.09074,37.0000004768,29847.0,0.0,15.5126446758,2.0,-0.3190752,0.1983791,2.0,0.507854,0.4989977,37.5,0.78,917829.0,104.44129,87.30476,58.27953,1954077.0
2008-01-01,0.55215,2.430026197,20.3889961715,-24986071300.6904,-11.6586478524,26.1553446185,6.3774871952,9.3074671708,16782.232098128,16360.0,336011491107.522,5.7874999046,-0.1428367,-0.0136101,37.9999995232,29847.0,0.0,15.5297311983,2.0,-0.3241724,0.1799604,2.0,0.5807096,0.5141512,36.4,0.795,865175.0,99.51621,92.8913,65.79338,1934151.0
2009-01-01,0.44395,2.322019293,22.1822696766,-8234134436.181721,-4.7294426417,26.0236122287,2.663748667,-5.5173944081,16635.2297984454,16380.0,333674337444.989,6.8589000702,-0.26255,0.0454078,37.9999995232,30936.0,1749.0,15.5642862719,2.0,-0.3597497,0.3602153,2.0,0.6027623,0.4642873,35.6,0.798,855707.0,99.84015,95.29491,68.59246,1861830.0
2010-01-01,0.45688,2.483247153,24.0957070448,-8478450856.71902,-5.1005815419,32.3986695618,1.9333639158,-3.9012362802,16966.460609266,16710.0,338277804966.1,6.9591999054,-0.2265265,0.0482135,37.0000004768,43000.0,1224.0,15.6672201418,2.0,-0.2655292,0.2736004,2.0,0.6428855,0.432124,35.5,0.797,842238.0,99.96772,97.66126,63.99544,1821782.0
2011-01-01,0.49832,2.681182713,21.1127362059,-9276545443.60215,-5.0569046756,37.0315825914,1.2920063616,2.0071562436,17907.6746269812,17610.0,354761282313.91,7.1774001122,-0.2132552,0.0569546,36.1214590073,43500.0,1224.0,15.8245199643,2.0,-0.3289806,0.1860907,2.0,0.6582558,0.3761372,35.9,0.798,825962.0,99.60194,98.26016,58.18541,1777771.0
2012-01-01,0.48383,2.293749015,21.5509591718,-8200067935.73753,-4.789863696,37.4089525955,1.7801612926,2.0771650065,18931.5324968882,18600.0,373163303549.911,6.7937002182,-0.2633975,0.0421296,44.0,43500.0,1308.0,16.0438362308,2.0,-0.3119501,0.0823416,2.0,0.5546572,0.3185296,36.5,0.796,807047.0,98.58544,97.51628,49.71394,1714307.0
2013-01-01,0.38787,2.723838128,23.0902321977,-2076328541.87715,-1.0873729706,39.8731217132,2.0187683861,3.5145518041,19797.3788746757,19370.0,387063057031.335,7.0960001945,-0.1879764,0.125016,43.0,44000.0,1262.0,16.3187927984,2.0,-0.0744246,0.1791331,2.0,0.6117656,0.3115235,36.9,0.8,853766.3333333334,95.44764,96.64545,46.84502,1669005.0
2014-01-01,0.38225,2.821499405,24.3318800957,-1382752069.81905,-0.6926685322,41.16417518,1.9382151851,3.4108091002,20623.3243694339,20360.0,405392396057.786,6.8021001816,-0.1126162,0.165362,43.0,44000.0,731.6666666667,16.6299592782,2.0,-0.0259938,0.0491361,2.0,0.5813455,0.4281268,36.0,0.803,900485.6666666666,92.30984,94.41653,47.1371,1609259.0
2015-01-01,0.48793,2.715829687,23.6977940316,-2155841636.64956,-1.2118723958,41.0180191129,2.4271446913,3.8715223231,21631.7701541759,21130.0,418649239798.438,6.8118000031,-0.0176464,0.1575437,46.0,44609.0,1450.0,16.9654269034,2.0,-0.0561306,0.1891144,2.0,0.5967953,0.4861361,35.9,0.806,947205.0,89.17204,92.92757,46.72669,1562960.0
2016-01-01,0.48033,2.871524336,22.9213823281,-3960512149.96554,-2.1011328085,41.1855862374,3.3168330185,4.8007999063,23868.0691960307,23240.0,457927383912.33795,5.9014000893,-0.0187149,0.3609889,48.0,45759.1,1643.0,17.4217132154,2.0,-0.1690356,0.2771966,2.0,0.5874754,0.5397747,34.4,0.808,939147.0,86.90768,91.14482,48.24061,1515238.0
2017-01-01,0.5039,2.7276397359,24.7219901092,-6754854304.8770895,-3.1908362602,41.4700877974,2.8120162144,7.1114406325,26631.8794803569,25970.0,508768833844.75,4.92689991,-0.0314776,0.3875409,48.0,47087.0,1897.0,17.8817265866,2.0,-0.1721281,0.056355,2.0,0.4881749,0.5175482,36.0,0.813,928245.0,85.15087,91.25939,49.38187,1502438.0
2018-01-01,0.3884104071,2.9202892605,24.9636524573,-10944639009.8913,-4.5687848154,41.6418648955,3.0655324474,3.9538105417,28206.3570497561,27520.0,535861487256.414,4.1869001389,-0.1216504,0.3254628,47.0,48346.0,1798.0,18.3387013938,2.0,-0.2534418,0.0593082,2.0,0.4453986,0.4577805,36.7823570609,0.816,901394.349760294,98.0157275535,98.5190597414,46.7809597576,1779438.3826727867
