date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,100.83262,100.46234,103.3586,102.30718,100.85795,99.2147,103.10638,98.73159,103.05699,98.90731,98.41798,104.63649,106.38617,97.83578,103.34599,98.16444,103.07785,96.863,102.29095,106.81277,102.84456,100.80898,104.84398,100.24047,106.73933,98.5115,94.52988,118.08152,109.73966,98.21761,100.53746,95.80499
2006-01-01,101.55929,100.73419,103.41791,101.98685,102.38691,99.9962,104.21326,99.30144,103.72332,97.70077,98.00863,104.27885,105.06858,97.67706,100.70325,99.58309,102.99924,97.30983,103.10948,107.51196,102.02875,101.46625,104.26199,101.10113,107.04435,98.59501,94.56269,118.0026,105.84921,100.58846,101.84752,95.64809
2007-01-01,101.67125,101.53422,106.84427,102.10811,102.47384,103.18527,104.78634,100.01467,104.15159,98.90848,98.5561,103.85978,103.2406,96.7938,97.72112,99.00732,103.30853,98.13413,104.11291,107.11217,101.10445,101.52278,104.21336,100.89629,107.72906,99.07673,94.68037,117.00543,104.44129,103.00017,98.27503,96.69781
2008-01-01,100.72594,102.15756,108.87175,102.54068,103.35171,105.73485,104.02398,99.61479,104.6608,101.61071,98.97755,103.62215,105.06189,,93.84366,100.64125,102.4756,99.24107,104.2742,105.52567,99.49927,100.57301,103.5486,101.00736,108.27075,99.26473,94.79737,115.68991,99.51621,103.95,98.6131,98.71492
2009-01-01,100.20248,102.12756,109.68893,102.83444,105.36476,105.97286,103.39642,99.56537,104.58888,103.06117,99.21357,103.04114,104.25979,,91.78289,101.07377,102.79597,99.88292,103.4859,105.69871,99.94983,,102.9181,96.80634,108.4438,99.15568,95.52591,113.17334,99.84015,102.94312,99.13549,99.90296
2010-01-01,99.78978,101.92424,108.33101,102.84946,101.62433,103.80442,102.99588,99.58201,103.97558,103.03214,99.48232,102.76151,104.55491,98.51425,91.94395,100.85631,103.23549,99.30812,102.99371,105.45918,100.4215,97.56551,102.9586,101.73046,108.27608,99.08012,96.52896,111.58922,99.96772,101.44802,99.49639,101.43764
2011-01-01,99.7387,101.9468,103.58486,103.11392,101.20054,100.76086,102.46656,100.78067,104.55565,101.71394,99.75524,102.6911,104.42571,98.29024,93.53773,100.0155,103.37868,98.81152,102.50435,104.9505,101.25184,96.55315,102.28565,101.215,107.49659,99.40241,97.48154,110.76992,99.60194,100.30396,99.85341,100.42846
2012-01-01,100.59906,102.25605,100.32917,103.15372,100.17535,99.36768,101.6142,101.35656,105.24018,100.95449,100.34098,102.52316,106.24608,99.16412,96.37912,99.69793,102.11834,98.2153,101.29194,103.828,101.85441,97.17509,101.04871,100.78259,105.83011,99.88345,99.98213,109.61748,98.58544,100.52924,100.29448,101.92393
2013-01-01,101.21012,103.82197,98.05494,103.60148,99.76198,98.74181,100.83825,101.54556,108.19378,99.56826,100.34415,102.27644,107.112,98.9243,99.68901,99.98496,101.95834,98.11584,101.89729,,101.75458,96.83534,100.38803,101.70694,,100.22356,100.33445,109.51831,,100.58761,99.94418,120.42475
2014-01-01,101.62819,103.64806,96.66216,103.48743,99.15272,98.66823,100.53864,101.29423,107.15204,98.00723,100.62072,101.28035,102.25555,97.87486,100.99602,101.85692,101.54224,98.18361,101.15142,102.66099,101.57557,97.52305,99.8206,102.82346,,99.82749,100.14114,108.10259,,99.76804,99.71509,120.85811
2015-01-01,101.99748,103.15581,94.19827,104.1842,99.30012,99.51668,101.66745,101.45644,106.36399,97.14641,100.56079,101.98964,101.92527,99.5263,100.57923,102.32512,101.18464,98.62543,100.38675,105.66542,102.08926,98.97225,99.39332,103.5492,102.6976,99.90493,,106.96263,89.17204,98.493,99.94983,122.93745
2016-01-01,102.26436,103.31777,91.08322,104.62911,98.54551,100.20888,102.67756,101.80483,104.21417,97.1178,100.41884,102.26043,101.33521,99.27773,98.20057,101.87881,101.34149,99.53414,99.42546,105.49102,102.8918,100.78979,99.19855,103.97274,103.28676,100.22588,,105.73752,86.90768,97.85217,99.83801,124.85105
2017-01-01,103.11315,103.90557,89.33377,105.19068,99.30669,100.67099,104.02236,101.26809,102.71029,97.23017,100.15464,102.51076,101.15456,99.55348,96.47103,100.80547,100.85278,100.35144,101.87936,104.69974,103.87475,102.28595,99.36784,104.99837,104.22962,100.26021,100.0159,106.18313,85.15087,98.73205,100.39674,126.57538
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
