date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,63.04729,61.08548,45.36802,45.80415,33.22082,48.34936,61.38684,80.37451,67.15335,67.9128,91.67952,53.88233,58.9661,85.31207,44.76409,64.99212,58.86932,69.88068,64.43843,24.58022,79.72981,10.3312,75.4192,32.34327,58.68984,78.52335,63.59458,55.43176,46.38265,40.35344,79.24755,81.95384
2006-01-01,63.04729,61.65359,47.15087,46.5378,33.41991,50.13669,61.38684,79.01963,68.53449,67.86591,93.15745,53.87542,59.03244,90.09834,45.58529,67.54416,58.44118,72.1246,66.1078,29.81716,82.45318,10.3312,74.59651,30.63242,59.65945,77.67086,65.36472,55.39792,52.47506,44.77801,82.57848,79.3248
2007-01-01,63.04729,61.20013,50.58833,47.24253,36.17381,54.18236,61.38684,78.55219,68.75185,67.67473,93.75906,52.94754,58.49451,87.39504,47.1877,68.28498,58.30199,71.1184,66.68297,31.62594,82.51583,10.46927,73.0433,33.60277,59.94198,75.48997,67.212,57.79474,58.27953,50.18767,84.57386,74.83711
2008-01-01,65.8869,62.08624,51.91331,48.83328,42.618,58.06951,61.38684,75.68209,69.74542,66.44184,94.69184,52.47552,56.64391,92.86212,49.1642,66.48384,54.01747,73.74512,66.3436,36.73095,85.74509,10.60734,72.36354,32.41837,60.33618,72.59347,70.22705,61.6109,65.79338,53.75125,85.51545,70.73696
2009-01-01,68.11265,65.26769,54.23545,50.14809,52.00389,61.07541,61.38684,74.28376,71.58433,66.63192,91.29066,52.7731,57.90053,98.3292,48.78587,64.60789,56.50398,74.41502,66.54997,34.44495,89.25217,14.436275,73.05489,35.51165,61.16703,73.17962,72.31267,62.64161,68.59246,56.04681,86.44243,70.74316
2010-01-01,75.62378,67.82901,57.79518,52.93773,48.31158,63.94588,61.38684,73.59667,75.91095,68.18451,93.44781,54.88172,58.92335,103.79628,54.02853,63.72239,63.12644,78.81844,65.7743,36.01831,86.57257,18.26521,69.05104,37.38576,63.71602,73.49386,74.75525,65.60205,63.99544,57.06673,89.15319,73.67311
2011-01-01,78.49945,69.84253,59.02869,54.48452,46.53973,65.57001,61.38684,76.75835,80.03797,70.36909,94.91993,55.62573,59.14593,109.15926,57.22782,62.59323,67.79859,81.47075,65.56312,43.6751,84.05559,18.848705,67.95347,39.9993,75.87855,73.66792,74.65851,68.42896,58.18541,56.24748,86.01755,72.8254
2012-01-01,78.93891,71.19202,61.35998,55.52047,45.86359,65.67117,61.38684,79.10832,82.27033,72.37507,92.87735,57.90901,59.40212,113.7406,60.64715,61.46318,68.19725,81.95589,64.13355,42.49668,79.75163,19.4322,66.64355,42.4792,76.60667,73.57134,73.96146,68.51029,49.71394,56.14001,87.01796,68.81765
2013-01-01,79.6554,72.11549,64.19198,56.27015,47.52524,65.08577,61.38684,80.93104,83.72564,73.92123,90.99419,59.84876,57.03876,116.37682,65.53489,57.06502,71.69955,80.29685,62.29616,39.992695,73.5332,19.5469033333,69.0766,43.89137,77.9277533333,76.50003,71.8564,66.13674,46.84502,54.36053,85.28806,63.21716
2014-01-01,79.1587,72.9974,67.56356,57.22972,53.10435,65.6241,65.50391,81.02908,85.44627,73.30776,88.88166,61.51048,56.5645,122.402,67.51023,52.01587,73.81323,81.43798,61.70275,37.48871,70.40061,19.6616066667,70.89794,44.33584,79.2488366667,77.5435,68.44717,65.50357,47.1371,52.68478,82.23113,62.18059
2015-01-01,80.71942,74.55976,70.30154,57.70735,60.10123,64.48163,67.74687,82.12949,85.61178,72.16762,87.67987,62.78593,56.45849,126.97143,66.49102,48.96214,77.23215,75.76606,60.93946,33.54204,69.74054,19.77631,74.29988,47.12258,80.56992,77.95894,66.94615,61.75633,46.72669,50.70005,80.26099,62.28248
2016-01-01,83.45495,75.89064,71.24574,58.04695,67.17111,63.74813,69.58059,81.05675,86.51608,71.39045,86.97852,64.72768,58.42562,131.54086,66.53238,48.03886,77.55714,73.60044,60.93733,35.02262,71.11852,19.56393,80.60481,48.60341,80.36484,80.54654,67.00455,63.25565,48.24061,47.79592,77.84908,63.54802
2017-01-01,85.05714,79.66173,71.03066,59.56299,75.94081,64.07869,70.24665,80.61602,88.85301,69.63503,88.19783,65.629,59.99557,136.60257,67.86556,48.50038,77.78062,71.84501,61.933,35.62193,72.41746,19.15177,88.05743,54.25992,84.98045,81.99235,67.82744,63.93581,49.38187,46.63439,78.589,66.98824
2018-01-01,78.6701033484,71.259607152,65.5450363773,56.1231116542,50.1670857501,64.6829594213,65.538075957,81.6169837026,82.9934577713,72.5741386324,91.1421973111,59.6342020714,56.7707284266,116.1631626217,67.8205099989,57.7292460623,72.967658976,81.025938487,62.72504727,38.6449060043,74.6321364005,18.8896182949,69.8947266018,42.5204146287,75.8437480748,76.4230886643,71.5575103744,66.0233164569,46.7809597576,55.3677002775,84.9596496157,61.3264861136
