date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.41229,2.358751431,14.5662547123,-680500000.0,-1.8795021563,59.8112701649,2.6812941857,3.7979704906,23852.6432841831,23630.0,47268194743.7862,6.5055999756,0.9099379,0.8933845,9340.0,0.0,15.5025925124,1.0,0.8928185,1.091757,1.0,0.8854151,1.09229,24.6,0.861,93156.0,100.53746,97.18781,79.24755,181299.0,41.1011009216
2006-01-01,1.53291,2.321713378,14.4143715723,-695267588.989618,-1.7610161801,64.870215308,1.7527944188,5.7463969338,25693.7309535734,25370.0,50917015256.0063,5.9502000809,1.034196,0.9102269,9340.0,0.0,15.7716374605,1.0,0.96356,1.084757,1.0,0.7956023,1.069615,24.4,0.868,93274.0,101.84752,96.97823,82.57848,174330.0,59.8619995117
2007-01-01,1.42382,2.323192734,14.0899770794,-2014619534.78415,-4.1965668388,67.8990700666,3.925533737,6.9801624282,27543.4916968252,26910.0,54308490827.6873,4.8180999756,1.009254,0.9238243,9340.0,0.0,16.024109918,1.0,0.936191,1.097749,1.0,0.7999157,1.062971,24.4,0.873,107848.0,98.27503,98.65697,84.57386,152720.0,56.2022018433
2008-01-01,1.62564,2.325839415,13.8524951998,-2946457396.89484,-5.3039141976,66.3132541396,1.9454419196,3.5098412264,29604.2912348481,28830.0,58273321247.2921,4.3706002235,0.9819186,1.008982,9340.0,0.0,16.2592459314,1.0,1.187827,1.147953,1.0,0.8341884,1.017365,23.7,0.878,107295.0,98.6131,98.79871,85.51545,147463.0,60.0241012573
2009-01-01,1.81629,2.285219504,19.0283649811,-535417871.29213494,-1.0630107811,57.2642886379,-0.6888718698,-7.5484387203,27543.3911849112,27090.0,55247729111.076,5.8569002151,1.058566,1.075426,9500.0,75.0,16.4787265636,1.0,1.154734,0.9348058,1.0,0.9156417,1.055124,24.8,0.877,107104.0,99.13549,98.74992,86.44243,142349.0,55.198600769
2010-01-01,2.05763,2.30349708,19.5047538485,-357445846.866522,-0.7421855536,64.2748224425,0.6626570664,1.3437484758,27824.6480738151,27460.0,56246012624.7941,7.2361998558,0.9228679,1.008394,9775.0,275.0,16.6889749464,1.0,1.026441,0.8665088,1.0,0.7612643,1.048638,24.9,0.881,106883.0,99.49639,98.94939,89.15319,138354.0,63.4188995361
2011-01-01,2.42358,2.294365286,18.5864329328,-420011482.546151,-0.8152971651,70.2471445909,1.7003262899,0.8613290487,28931.3837141518,28540.0,58585332628.1712,8.1660003662,0.9488065,1.052852,10195.0,222.0,16.9008042268,1.0,0.9895115,0.9692097,1.0,0.6972604,1.056918,24.9,0.883,106946.0,99.85341,98.89345,86.01755,134861.0,65.7561035156
2012-01-01,2.57319,2.271191209,19.704625755,612039460.222181,1.3139404236,72.8915892061,0.0719999144,-2.6394387293,29042.8202729641,28590.0,58814142549.4361,8.8402004242,0.8397469,1.014999,10195.0,101.0,17.1057471901,1.0,1.03165,0.9351107,1.0,0.63064,0.9997781,25.6,0.876,107965.0,100.29448,98.36042,87.01796,132221.0,68.8820037842
2013-01-01,2.5801,2.200648613,22.0056325887,1593819071.19235,3.292885588,74.216474411,0.2149145475,-1.0292838313,29973.6991074851,29570.0,60918129358.2224,10.1022996902,0.7293216,1.000792,10195.0,115.0,17.3364968421,1.0,1.013163,0.8822517,1.0,0.6301469,1.001897,26.2,0.884,109218.0,99.94418,111.06486,85.28806,147563.0,69.7682037354
2014-01-01,2.36743,2.264713207,22.3004865571,2555789894.9345,5.1186758088,76.1517426713,2.0415914847,2.7681580196,30870.0236667425,30590.0,63069203941.5599,9.667599678,0.7267765,1.001514,10195.0,115.0,17.632073318,1.0,1.00516,0.9657734,1.0,0.6616281,0.9561069,25.7,0.886,111648.0,99.71509,110.48546,82.23113,145179.0,71.8705978394
