date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.09577,1.204376965,7.2898164726,-83915470590.1026,-7.2762086124,24.9792690409,2.3418113792,3.6520326743,27606.9340516269,27230.0,1188490567999.29,9.1463003159,1.336209,1.127902,70.0,680873.0,27322.0,16.6780219588,1.0,1.50673,0.1952135,1.0,1.305955,1.131404,32.4,0.844,2484903.0,103.05699,117.34223,67.15335,3107816.0,50.9606018066
2006-01-01,1.17217,1.375332417,8.4722072104,-111532335014.355,-8.8563844662,25.2413025005,2.6146823123,4.1027271154,30688.3662172506,30120.0,1337283053798.99,8.4521999359,1.185721,1.131011,68.0000019073,711160.0,30291.0,16.700254077,1.0,0.8372024,-0.1502582,1.0,1.177149,1.078725,33.5,0.848,2501205.0,103.72332,117.33755,68.53449,3091036.0,50.9606018066
2007-01-01,1.23448,1.524926851,9.0053879295,-139287625661.585,-9.4616317315,25.9847388147,4.6347547275,3.6046879713,32438.1733867257,31640.0,1431073851685.54,8.2320995331,1.086643,1.168316,66.9999980927,745736.0,34571.0,16.7403668963,1.0,0.9933218,-0.2753482,1.0,1.21499,1.123087,34.1,0.853,2555757.0,104.15159,116.35605,68.75185,3080161.0,49.7881011963
2008-01-01,1.31706,1.437509234,9.7372029348,-145715515235.168,-8.9658680708,25.6239291743,4.5586695415,0.8871451825,33263.2723985249,32340.0,1486151637639.11,11.2545003891,1.190226,1.193509,65.0,779572.0,33836.0,16.8106422369,1.0,0.9203469,-0.3808494,1.0,1.25476,1.185326,34.2,0.856,2625414.0,104.6608,115.52629,69.74542,3069321.0,53.1246986389
2009-01-01,1.35134,1.320448865,12.2179472923,-60418930687.3382,-4.0670168236,23.0616941747,0.6428324861,-3.7632319269,32098.9750530883,31480.0,1459708879063.31,17.8567008972,1.0622,1.162589,60.9999990463,802962.0,23390.0,16.9156289348,1.0,0.9458322,-0.4737767,1.0,1.189271,1.176973,34.9,0.858,2684078.0,104.58888,115.02879,71.58433,3065017.0,55.1049995422
2010-01-01,1.34961,1.378472574,14.3957857927,-52249545356.1328,-3.6776754427,25.9516793464,2.5768123129,0.1630102308,31680.1853932351,31220.0,1454059385239.25,19.8596992493,1.084354,1.188944,60.9999990463,833533.0,30571.0,17.0541804817,1.0,0.9947988,-0.3180437,1.0,1.160325,1.122543,35.2,0.865,2720989.0,103.97558,119.11595,75.91095,3185008.0,58.1809005737
2011-01-01,1.32508,1.406266471,14.7459265298,-39975229877.5027,-2.7032705242,29.5349622049,1.8144796872,-0.8143734552,31867.9732396862,31310.0,1463308449873.9,21.390499115,1.104124,1.198052,62.295999527,857283.0,23750.0,17.3290574511,1.0,1.027235,0.0211045,1.0,1.065844,1.085866,35.7,0.87,2772909.0,104.55565,120.93325,80.03797,3248018.0,55.7659988403
2012-01-01,1.28788,1.169093871,15.7709502104,735150583.0459,0.0554905974,31.4552724811,1.5736837956,-2.9594413017,31720.1199986535,31470.0,1471780320471.5,24.7872009277,1.128226,1.064827,65.0,1014953.0,12528.0,17.6427924576,1.0,1.120682,-0.0295164,1.0,0.9529905,1.064179,35.4,0.873,2816584.0,105.24018,122.83753,82.27033,3296129.0,60.993598938
2013-01-01,1.26859,1.506264558,16.9499656957,27588004255.4173,2.0363796189,32.9625774736,3.4968063417,-1.4353942592,32434.0032017704,32220.0,1501976882039.12,26.0935993195,0.9030925,1.020516,59.0,1021953.0,12331.0,17.9808804733,1.0,1.154523,0.0120178,1.0,0.9390443,0.9888706,36.2,0.875,2934648.0,108.19378,123.1873,83.72564,3296359.0,59.3730010986
2014-01-01,1.23535,1.313388803,17.3517358032,22662337678.7699,1.6549114064,33.4825675914,2.4056728975,1.3839079427,33525.7406299089,33400.0,1552593080187.63,24.4412994385,0.6298417,0.9526442,60.0,1030312.0,13273.0,18.3192777362,1.0,1.159705,0.2431217,1.0,0.750495,0.9937256,36.1,0.88,2960626.0,107.15204,123.37487,85.44627,3288424.0,63.353099823
