date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,3.38312,10.55324104,39.9918953271,23583338994.913,6.0508508082,45.049111482,5.3322786962,2.8958935623,34029.190292314,34500.0,311479619232.968,7.4857001305,2.022613,1.809585,91.9999980927,108300.0,1328.0,17.3066074335,1.0,1.892862,1.301027,1.0,1.534101,1.584473,26.8,0.899,658461.0,95.80499,104.05971,81.95384,735494.0,63.5792999268
2006-01-01,3.49609,10.34961556,41.1265877684,34468824245.4933,8.2024927971,47.5362804971,5.2478365323,4.6024886103,37435.3757337054,38410.0,348814878843.415,7.06580019,2.196596,1.864799,91.9999980927,101799.0,1248.0,17.3959465335,1.0,1.804315,1.294893,1.0,1.439837,1.485718,26.4,0.902,626847.0,95.64809,103.56905,79.3248,750567.0,64.5946502686
2007-01-01,3.25273,10.39879645,42.9246551712,39927516579.5256,8.1823231255,47.5465198109,9.4561625947,3.4308839076,40592.8001968122,41820.0,382544343920.748,6.160900116,2.244637,1.90989,93.0000019073,103623.0,2202.0,17.5487035328,1.0,2.025398,1.271177,1.0,1.57208,1.510136,27.1,0.905,601120.0,96.69781,102.3869,74.83711,760491.0,65.6100006104
2008-01-01,3.49104,10.25702797,44.8655881318,40802935942.2616,7.9165413728,49.1686690846,8.0394752603,-0.2422932783,41971.6120485994,43430.0,400366853301.73706,6.2347998619,2.227349,1.931482,93.0000019073,103933.0,1871.0,17.7487552547,1.0,1.956433,1.129976,1.0,1.635778,1.520167,28.1,0.901,584726.0,98.71492,101.3035,70.73696,764264.0,65.9832992554
2009-01-01,3.44598,10.16680299,47.0773641962,25918197361.0024,5.9566426145,43.5397115615,2.0594298676,-4.236420514,40156.4103088914,41100.0,382175651021.111,8.3508996964,2.253191,1.965965,91.9999980927,10325.0,1714.0,17.9744052643,1.0,2.045359,1.085468,1.0,1.652537,1.546039,27.3,0.899,573416.0,99.90296,99.48973,70.74316,751826.0,71.0942001343
2010-01-01,3.21262,9.973156843,45.9778059302,29195824932.3735,5.894233393,44.732840293,0.1261994799,6.1890294347,42179.3371249669,43330.0,406318851261.387,8.6097002029,2.274587,1.955097,91.9999980927,107425.0,1376.0,18.2185664836,1.0,2.004213,1.09417,1.0,1.658656,1.542726,27.7,0.906,576110.0,101.43764,98.12031,73.67311,731273.0,74.2108001709
2011-01-01,3.24522,9.896775911,46.4870296536,31438301866.0035,5.4890669691,45.3898994875,1.2185817265,3.0523235295,44503.6732364594,45420.0,429144502027.46704,7.8041000366,2.196957,1.941077,92.9848766327,109575.0,2314.0,18.501306156,1.0,1.965064,1.230688,1.0,1.898798,1.612955,27.6,0.906,578486.0,100.42846,96.97975,72.8254,698968.0,78.3822021484
2012-01-01,3.27772,9.850132507,49.9485495007,30417334377.5637,5.5211190564,45.2008137088,0.7756983615,-0.6309743673,45304.4157121075,46340.0,441172311031.33,7.9756999016,2.312869,1.951555,88.0,111400.0,2168.0,18.809759639,1.0,1.95701,1.170597,1.0,1.907862,1.690358,27.6,0.908,602295.0,101.92393,98.14225,68.81765,675782.0,83.3581008911
2013-01-01,3.30252,9.747945568,48.8252222639,30298382929.3698,5.1824195155,42.802878124,0.2252732368,1.0878312001,46138.4545736846,47180.0,452932249986.944,8.0521001816,2.291621,1.972878,89.0,113220.0,2600.0,19.1200971177,1.0,1.909026,1.127778,1.0,1.905513,1.65811,28.8,0.927,733412.0,120.42475,128.55638,63.21716,838671.0,82.0515975952
2014-01-01,3.14261,9.742974826,49.6934146904,26016749095.2257,4.4837188246,43.5697767828,-1.4863032835,2.747287716,47045.6463479824,48040.0,465812418766.259,7.953499794,2.153375,1.992006,87.0,115189.0,2461.25,19.3946718219,1.0,1.803889,1.065415,1.0,1.81139,1.611089,28.4,0.929,757164.0,120.85811,132.94213,62.18059,826694.0,86.8991012573
