date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,2.71472,1.206915282,19.3109091541,55102457066.3372,13.4827234307,53.7904693849,0.6520626752,3.1152019169,40572.2644828349,43980.0,327059401274.082,4.4366998672,2.019937,1.913729,91.0000038147,164900.0,6791.0,15.7835662889,1.0,1.851264,1.19764,1.0,1.551834,1.586438,33.9,0.906,524222.0,102.30718,95.45322,45.80415,574783.0,74.6144714355
2006-01-01,2.71472,1.188791782,18.6568106777,61581178327.4035,14.2905891823,56.4911691891,12.4757781799,3.988722816,45106.416682867,48470.0,362758817325.49896,3.9999001026,2.093455,1.817233,91.0000038147,170670.0,6129.0,15.9539380619,1.0,2.078077,1.269325,1.0,1.495726,1.518006,33.9,0.912,517056.0,101.98685,96.02689,46.5378,584073.0,74.6144714355
2007-01-01,2.71472,1.190290383,19.9300516867,47930911916.577,9.9874093306,61.3035933573,10.1452262796,4.1117677476,49746.3893908108,50050.0,377924536160.99,3.651900053,2.150764,1.8457,90.0,178000.0,5606.0,16.1490633784,1.0,2.042494,1.234161,1.0,1.644415,1.503815,34.3,0.915,510804.0,102.10811,95.91104,47.24253,592454.0,74.6144714355
2008-01-01,2.71472,1.159810221,20.2420204736,13187538777.1846,2.3788617259,62.6611734238,0.5395263608,2.1547441185,52584.7268100102,49150.0,375881421641.219,3.3496999741,2.124064,1.816634,90.0,184000.0,5860.0,16.3701207204,1.0,2.037171,1.223261,1.0,1.561896,1.51683,33.8,0.917,505382.0,102.54068,95.88605,48.83328,598957.0,74.6144714355
2009-01-01,2.8325975,1.152973555,20.7538728903,40721497989.5006,7.5200414727,57.2304760078,8.8011110418,-2.2221119366,51769.0302897989,52750.0,408518497645.87396,4.1160998344,2.070191,1.750544,90.0,189000.0,5747.0,16.6176555614,1.0,1.948745,1.307553,1.0,1.551713,1.553312,32.9,0.927,499435.0,102.83444,95.60131,50.14809,601033.0,74.6144714355
2010-01-01,2.950475,1.126085446,21.4603638355,85821578272.7864,14.7009282554,63.9656232353,3.0269335702,3.0027982451,53067.7246365619,56180.0,439637085444.54706,4.8028998375,2.072074,1.757034,86.9999980927,192000.0,5770.0,16.8913676136,1.0,1.876344,1.258594,1.0,1.623263,1.584912,32.6,0.932,492508.0,102.84946,96.11023,52.93773,605184.0,74.6144714355
2011-01-01,3.0683525,1.129523019,21.5570329142,54661211220.7431,7.8134380799,65.4655141198,2.9681378271,1.6927521805,56183.8216241817,56830.0,449676395959.06396,4.402200222,2.035801,1.73154,88.0167388916,198000.0,7467.0,17.0997517134,1.0,1.867497,1.300342,1.0,1.621409,1.584808,31.7,0.932,487436.0,103.11392,96.41895,54.48452,605000.0,75.5728607177
2012-01-01,3.18623,1.095540933,22.958502787,71311683676.6801,10.6747069952,67.033624456,5.9791758694,1.0060778122,57849.572038326,59140.0,472965119580.052,4.4846000671,2.14676,1.819054,86.0,203000.0,8814.0,17.3301938109,1.0,1.891962,1.418336,1.0,1.65837,1.640122,31.6,0.935,483466.0,103.15372,96.48052,55.52047,606162.0,76.53125
2013-01-01,3.24802,1.058173919,22.9925196663,79673219972.9709,11.5719291442,71.9249382225,-3.6203795554,1.8520354531,60108.520020158,61380.0,496497257704.326,4.74669981,2.13242,1.804692,85.0,220000.0,9375.0,17.5721104695,1.0,1.824577,1.40114,1.0,1.628784,1.628098,32.5,0.938,483707.0,103.60148,98.89136,56.27015,617000.0,77.4896392823
2014-01-01,3.30981,1.081466182,23.418147229,60661859383.5493,8.5537765622,64.2737455327,2.9615932287,2.449179525,61902.1295360364,62170.0,509076701038.649,4.8259000778,2.151519,1.994928,86.0,232000.0,9006.5217391304,17.8004465512,1.0,2.112258,1.402653,1.0,1.806558,1.559489,32.5,0.939,483900.0,103.48743,100.182535,57.22972,615735.0,78.4480285645
