date,R_and_D_expenditure,footprint,Renewable_enrg_cons,CAB_BoP_current_US_dol,CAB_of_GDP,Export_goods_and_srvces,FDI_net_inflows,GDP_growth,GDP_PPP_cur_int,GNI_pc_PPP_cur_int,GNI_PPP_cur_int,Unmplmnt_of_labor_force,Control_Of_Corruption,Rule_Of_Law,CPI,existing_lifts,new_lifts,Population_over_65,civil_liberties,Government_Effectness,Political_Stability,political_rights,Regulatory_Quality,Voice_And_Accountability,GINI_index_World_Bank,Human_development_index,Primary_education_pupils,School_enrollement_prm,School_enrollement_sec,School_enrollement_tert,Secondary_education_pup,int_users_for_auth_srvs
2005-01-01,1.5612,1.244965898,1.3522797381,-49149334300.2486,-1.9360192817,24.9736083319,9.9521561263,3.1797289241,32668.2263161355,33110.0,1999826177646.45,4.7502999306,1.901079,1.569473,86.0000038147,240000.0,9499.0,16.0356213117,1.0,1.766596,0.1267411,1.0,1.614293,1.443956,34.3,0.89,4634991.0,106.38617,105.42197,58.9661,5760887.0,36.6671981812
2006-01-01,1.58285,1.217117066,1.553919991,-75847895288.4724,-2.7949480135,27.101075785,7.5038765224,2.7883245595,34767.0011352627,34800.0,2117541174766.32,5.3496999741,1.792327,1.785749,86.0000038147,249600.0,7968.0,16.1098282649,1.0,1.670994,0.6691801,1.0,1.839874,1.378774,34.6,0.889,4517618.0,105.06858,98.24422,59.03244,5357793.0,44.7191486359
2007-01-01,1.62165,1.177429667,1.8396507717,-103088716343.798,-3.3244962114,25.2397534941,6.7566239476,2.4305532124,35600.0077931191,35430.0,2172784692445.95,5.2620000839,1.742208,1.737427,83.9999961853,255000.0,8724.0,16.1732370016,1.0,1.648174,0.5753913,1.0,1.866609,1.335596,35.7,0.892,4409184.0,103.2406,97.1942,58.49451,5306369.0,52.7710990906
2008-01-01,1.62307,1.249150591,2.782791914,-114803011373.054,-3.9280219196,26.9894102323,8.6720140774,-0.2811535895,36660.1925635403,36320.0,2244862767229.45,5.6149997711,1.682487,1.708199,76.9999980927,267750.0,7374.0,16.2508781666,1.0,1.643775,0.4946935,1.0,1.785171,1.321023,34.1,0.896,4465021.0,105.06189,98.33966,56.64391,5356450.0,50.5224990845
2009-01-01,1.6825,1.189604945,3.3830316631,-79877916831.5849,-3.3131856224,26.3730781881,0.6033866738,-4.2478217466,35003.497418398,34740.0,2163634903821.23,7.5373001099,1.632727,1.738985,76.9999980927,270000.0,5655.0,16.3770772859,1.0,1.512003,0.1215835,1.0,1.584341,1.303301,34.3,0.899,4416474.0,104.25979,100.16977,57.90053,5429636.0,57.4020004272
2010-01-01,1.66063,1.19181027,3.6389182619,-78778924007.3021,-3.1826726488,28.2750712111,2.6960793615,1.9495214818,36340.7338744538,36370.0,2282589039711.01,7.7866001129,1.604827,1.764103,75.9999990463,272700.0,5655.0,16.5697444278,1.0,1.568379,0.4118182,1.0,1.732978,1.289994,34.4,0.905,4421903.0,104.55491,102.90468,58.92335,5538230.0,56.6383018494
2011-01-01,1.66488,1.170661014,4.4011186214,-46703872303.8403,-1.7562402031,30.7000187976,1.0157540684,1.5401473682,37161.4906866096,37310.0,2360144861851.54,8.0376996994,1.616091,1.650691,77.7508401871,274900.0,5738.0,16.8081294158,1.0,1.558901,0.3517076,1.0,1.655506,1.297412,33.2,0.899,4419840.0,104.42571,93.76583,59.14593,5000332.0,45.6531982422
2012-01-01,1.59382,1.092470611,4.7512576185,-92827543226.9456,-3.4318446555,29.9751039671,1.7283819251,1.4789239472,38311.8460772243,37910.0,2415126689983.67,7.8846001625,1.674153,1.718676,74.0,277600.0,7109.0,17.1061412303,1.0,1.547542,0.4022707,1.0,1.645116,1.339133,32.3,0.897,4523583.0,106.24608,91.55276,59.40212,4849275.0,48.8648986816
2013-01-01,1.63938,1.087688575,6.0157809493,-132862845873.011,-4.768907218,29.9526011035,1.9552307317,2.1394857011,39971.0253628526,39160.0,2510996076220.28,7.5241999626,1.699135,1.705038,76.0,280000.0,7541.0,17.4298656017,1.0,1.495451,0.4862014,1.0,1.77062,1.329037,33.2,0.914,4622158.0,107.112,123.77629,57.03876,6496973.0,45.0038986206
2014-01-01,1.65915,1.182017496,7.3952204555,-144632005147.975,-4.7206688488,28.5020548195,1.9221353539,2.6074759063,41259.0009441734,40420.0,2611439141863.92,6.1096000671,1.738478,1.889571,78.0,284000.0,7260.0,17.72802939,1.0,1.62673,0.4153476,1.0,1.825786,1.27579,34.0,0.918,4509479.0,102.25555,126.3899,56.5645,6556991.65909,55.5783004761
