date,Austria,Belgium,Bulgaria,Switzerland,Cyprus,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Liechtenstein,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovak Republic,Slovenia,Sweden
2005-01-01,5.6275000572,8.440199852,10.0825996399,4.4366998672,5.3036999702,7.92689991,11.1667003632,4.8298997879,9.1463003159,8.0331001282,8.383600235,8.4934997559,4.7502999306,9.9938001633,12.5978002548,7.1884999275,4.342400074,2.5469999313,7.7305002213,2.6600000858,8.3246002197,4.4882001877,10.0329999924,6.9232997894,5.8724999428,4.3807001114,17.7458992004,7.5816998482,7.1743998528,16.2560997009,6.5055999756,7.4857001305
2006-01-01,5.2428002357,8.2459001541,8.9506998062,3.9999001026,4.5429000854,7.1476998329,10.2502002716,3.8970000744,8.4521999359,5.9147000313,7.7189002037,8.4477996826,5.3496999741,9.0076999664,11.1295995712,7.4938998222,4.4145998955,2.8297998905,6.776599884,2.4600000381,5.7803997993,4.730700016,7.0296998024,6.7982997894,5.0023999214,3.3986001015,13.8404998779,7.6473999023,7.2694997787,13.3727998734,5.9502000809,7.06580019
2007-01-01,4.8579001427,7.4579000473,6.877699852,3.651900053,3.9219999313,5.3200998306,8.6583003998,3.8010001183,8.2320995331,4.5920000076,6.8540000916,7.6567001343,5.2620000839,8.3964996338,9.9092998505,7.4059000015,4.9801001549,2.2506000996,6.0753998756,2.0099999905,4.25,4.065199852,6.0515999794,6.4723000526,4.1526999474,2.4934000969,9.6016998291,7.9636998177,6.4130997658,11.1434001923,4.8180999756,6.160900116
2008-01-01,4.1280999184,6.9755997658,5.6094999313,3.3496999741,3.6547000408,4.3924999237,7.5244998932,3.4337000847,11.2545003891,5.4548997879,6.3685998917,7.0633997917,5.6149997711,7.7596998215,8.5303001404,7.8169999123,6.7736001015,2.9456000328,6.7231998444,,5.8259000778,5.0601000786,7.7389001846,5.9766001701,3.6542000771,2.5499000549,7.1175999641,7.5517001152,5.7874999046,9.5075998306,4.3706002235,6.2347998619
2009-01-01,5.3014001846,7.907599926,6.8165998459,4.1160998344,5.3639001846,6.6620998383,7.7416000366,6.0072999001,17.8567008972,13.5481996536,8.2495002747,8.7363004684,7.5373001099,9.6159000397,9.2020998001,10.0304002762,12.6089000702,7.2203998566,7.7486000061,,13.7849998474,5.122399807,17.5146999359,6.8888001442,4.3470001221,3.1029000282,8.1667995453,9.4319000244,6.8589000702,12.0254001617,5.8569002151,8.3508996964
2010-01-01,4.8200001717,8.2924995422,10.2793998718,4.8028998375,6.2628002167,7.2790999413,6.9664001465,7.4636001587,19.8596992493,16.7071990967,8.3943996429,8.8712997437,7.7866001129,12.7131004333,11.620300293,11.1718997955,14.5327997208,7.5643000603,8.3625001907,,17.8141002655,4.3607997894,19.4822998047,6.8474001884,4.9889998436,3.5213999748,9.6372003555,10.769900322,6.9591999054,14.3794002533,7.2361998558,8.6097002029
2011-01-01,4.5637998581,7.1395998001,11.2595996857,4.402200222,7.8561000824,6.7111001015,5.8243999481,7.5727000237,21.390499115,12.3276996613,7.7810001373,8.8109998703,8.0376996994,17.8647003174,13.6780004501,11.0291004181,15.3528003693,7.0281000137,8.359000206,,15.3903999329,4.9015002251,16.2063999176,6.3780999184,4.9773001671,3.2149000168,9.6316995621,12.6772003174,7.1774001122,13.6174001694,8.1660003662,7.8041000366
2012-01-01,4.8649997711,7.5416998863,12.269900322,4.4846000671,11.7952003479,6.9781999588,5.3793997765,7.5258002281,24.7872009277,10.0211000443,7.6890997887,9.4001998901,7.8846001625,24.4393005371,15.9345998764,11.0030002594,15.4506998062,6.0001997948,10.6545000076,,13.3648004532,5.1401000023,15.0466995239,6.196100235,5.8208999634,3.1228001118,10.0876998901,15.5268001556,6.7937002182,13.9632997513,8.8402004242,7.9756999016
2013-01-01,5.3347997665,8.4252996445,12.9407997131,4.74669981,15.8706998825,6.9527001381,5.2305998802,6.99669981,26.0935993195,8.6307001114,8.193400383,9.9205999374,7.5241999626,27.4661998749,17.2511005402,10.1765003204,13.7348003387,5.3763999939,12.1486997604,,11.769900322,5.8475999832,11.8674001694,6.1055998802,7.2430000305,3.4230999947,10.3259000778,16.1833992004,7.0960001945,14.2204999924,10.1022996902,8.0521001816
2014-01-01,5.619699955,8.5227003098,11.4238004684,4.8259000778,16.0879993439,6.1079001427,4.9805998802,6.5892000198,24.4412994385,7.3517999649,8.6630001068,10.2922000885,6.1096000671,26.491399765,17.2896995544,7.7252998352,11.8572998047,4.8972001076,12.682800293,,10.69810009,5.852399826,10.8463001251,5.7246999741,7.4158000946,3.4837999344,8.9898004532,13.8941001892,6.8021001816,13.1841001511,9.667599678,7.953499794
