date,Austria,Bulgaria,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Croatia,Ireland,Italy,Latvia,Lithuania,Malta,Netherlands,Norway,Czech Republic,Poland,Portugal,Romania,Slovenia,Slovakia,Spain,Sweden,Switzerland,United Kingdom,Belgium,Luxembourg
2005-01-01,3.101658611,2.484159539,0.372465509,4.574246169,9.110103019,13.6156803,2.810656059,1.724871007,1.652623719,2.619567863,2.758763728,3.608380265,1.070105637,6.656543009,3.496688176,0.637541384,0.895482877,8.330049302,2.604629537,1.941205864,1.217687816,2.462870217,2.358751431,2.875883286,1.204376965,10.55324104,1.206915282,1.244965898,0.948974071,1.695063265
2006-01-01,3.058607406,2.534888721,0.356343014,4.400634839,9.010195141,13.5085259,2.729377147,1.689113428,1.494547437,2.50048245,2.827552068,3.5530258,1.015043613,6.617630519,3.117779727,0.636062078,0.878594422,8.220334686,2.45435607,1.794443254,1.274718966,2.353499768,2.321713378,2.773311689,1.375332417,10.34961556,1.188791782,1.217117066,0.926107419,1.674457139
2007-01-01,3.059730891,2.198539597,0.335030097,4.391965519,9.350229618,13.55792773,2.677598906,1.664524977,1.477331099,2.180553386,2.740853821,3.472362586,1.009891178,6.983786507,3.703652301,0.625379626,0.870737319,8.149271545,2.55482699,2.011540509,1.223624849,1.912871013,2.323192734,2.742410672,1.524926851,10.39879645,1.190290383,1.177429667,0.933294457,1.619489536
2008-01-01,3.141958678,2.856082179,0.252117649,4.434618125,9.247507765,13.43668903,2.78596689,1.748526496,1.516976393,2.797627145,3.005884494,3.461109604,1.021170042,7.091772872,3.827380219,0.637259037,0.893305355,8.097107421,2.613779695,1.954348608,1.255643594,2.430026197,2.325839415,2.978467868,1.437509234,10.25702797,1.159810221,1.249150591,0.928618756,1.659820588
2009-01-01,3.048646422,2.770416758,0.296076311,4.654656869,9.317904452,13.38255392,2.822347214,1.77569889,1.506481619,2.443146143,2.96554821,3.32222477,0.959578752,7.175544527,4.068911119,0.624949616,0.908718502,7.910070165,2.54668482,2.041332122,1.239313056,2.322019293,2.285219504,2.811027414,1.320448865,10.16680299,1.152973555,1.189604945,0.96500986,1.624640211
2010-01-01,3.005224684,3.036082907,0.317047592,4.402261138,9.194496668,13.05876028,2.77327245,1.704741904,1.469889465,2.23879247,2.854405622,3.387963338,0.960272594,7.184419467,3.790375149,0.622315573,0.890324296,7.854990948,2.441656086,1.98800844,1.227018042,2.483247153,2.30349708,2.620280747,1.378472574,9.973156843,1.126085446,1.19181027,0.955351867,1.534753413
2011-01-01,3.066662898,2.959871369,0.317230031,4.23083883,9.252034604,13.08690304,2.654821794,1.600632444,1.446285718,2.381729664,2.850664397,3.442107368,0.956884594,7.220645295,3.994987097,0.616438671,0.861264085,7.662680464,2.543273931,1.915478037,1.217952272,2.681182713,2.294365286,2.817751054,1.406266471,9.896775911,1.129523019,1.170661014,0.914263523,1.434081155
2012-01-01,2.896013491,2.8697742,0.325138183,4.339683402,9.453142346,12.96706279,2.711619016,1.661753462,1.5458547,2.178939382,2.842125447,3.313234977,0.944539285,7.745641061,4.646998954,0.605193709,0.856050224,7.563170836,2.346147422,1.958315587,1.216505047,2.293749015,2.271191209,2.641907338,1.169093871,9.850132507,1.095540933,1.092470611,0.900607177,1.402536564
2013-01-01,2.861178584,3.215418819,0.274789041,4.261226201,9.465859928,12.98143152,2.619020405,1.688121838,1.369562089,2.424600995,3.060093757,3.380374056,0.930459399,7.716841553,4.534840142,0.605767861,0.856334917,7.439618422,2.508317512,1.942916136,1.252510013,2.723838128,2.200648613,2.735638937,1.506264558,9.747945568,1.058173919,1.087688575,0.905390614,1.410811591
2014-01-01,2.961299866,3.303250263,0.244042455,4.369073034,9.675013922,12.89301884,2.700523858,1.756875301,1.519601725,2.684294038,2.987026194,3.419455983,0.932199574,7.875882186,4.879503706,0.607513948,0.860316495,7.418493302,2.658368397,2.072696332,1.253744089,2.821499405,2.264713207,2.964328684,1.313388803,9.742974826,1.081466182,1.182017496,0.932161882,1.369609015
2015-01-01,2.83651945,3.127609235,0.312341818,4.443469085,10.06299396,12.7060752,2.719357122,1.679493883,1.430483804,2.537487934,3.013220815,3.462581309,0.943176315,8.566482935,5.486382338,0.604136852,0.853279926,7.354864665,2.564365612,1.952897589,1.284885387,2.715829687,2.243775817,2.804706845,1.324162622,9.723086238,1.048877672,1.176142767,0.918195699,1.35211397
2016-01-01,2.913571168,3.26570969,0.27455625,4.172671755,9.522038048,12.62966366,2.377594825,1.617941392,1.557888094,2.466879738,3.18354157,3.373138994,0.941415203,8.494629733,5.189695747,0.598082175,0.823618111,7.27104644,2.600177566,1.991157512,1.262949614,2.871524336,2.240118547,2.998662563,1.374229347,9.550181808,1.00434539,1.089072976,0.785182063,1.237705805
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
