date,Switzerland,Denmark,Sweden,Hungary,Poland,Luxembourg,Slovak Republic,Czech Republic,Netherlands,Austria,Iceland,Lithuania,Germany,Slovenia,United Kingdom,Ireland,Greece,Spain,Latvia,Finland,Belgium,Portugal,Italy,France,Norway,Estonia
2005-01-01,74.6144714355,52.2108001709,63.5792999268,48.0337982178,35.7291984558,66.5721969604,52.945098877,14.3094997406,57.6344985962,53.0615005493,64.4700012207,35.1932983398,46.6397018433,41.1011009216,36.6671981812,47.326499939,31.6553993225,50.9606018066,32.1745986938,65.0707015991,31.6945991516,43.7616996765,41.9602012634,55.1577987671,64.6940002441,53.3418998718
2006-01-01,74.6144714355,52.2108001709,64.5946502686,37.5486984253,34.8204994202,64.4394989014,64.9412994385,39.2719993591,63.9776000977,53.9463005066,68.604598999,30.2689990997,46.6397018433,59.8619995117,44.7191486359,50.4565010071,29.7488002777,50.9606018066,49.6133995056,60.8630981445,48.7869987488,46.379699707,44.4093017578,55.1577987671,70.7967987061,47.0261001587
2007-01-01,74.6144714355,71.7320022583,65.6100006104,48.7092018127,33.9118003845,65.9853973389,42.0084991455,32.7919998169,65.2089004517,41.0853996277,65.3056030273,37.9704017639,58.7303009033,56.2022018433,52.7710990906,57.1078987122,34.4505996704,49.7881011963,32.7226982117,63.7640991211,34.542301178,49.0276985168,43.0998001099,61.9263000488,70.4850006104,48.6167984009
2008-01-01,74.6144714355,58.1576004028,65.9832992554,46.818901062,40.7532997131,73.3835983276,55.4710998535,30.366399765,69.2611999512,70.2947998047,81.0774993896,40.7030982971,57.1057014465,60.0241012573,50.5224990845,52.2672996521,30.8756008148,53.1246986389,32.3035011292,74.6854019165,36.8214988708,42.1449012756,44.4609985352,68.054901123,79.3514022827,52.8772010803
2009-01-01,74.6144714355,83.7342987061,71.0942001343,49.6143989563,41.8036003113,75.693397522,50.0551986694,40.9273986816,68.0878982544,66.5059967041,86.0994033813,36.1870994568,60.6697998047,55.198600769,57.4020004272,54.677898407,32.334400177,55.1049995422,44.4677009583,76.9978027344,53.3087997437,43.7070999146,42.6031990051,64.5428009033,80.2126998901,64.5367965698
2010-01-01,74.6144714355,88.3021011353,74.2108001709,53.2529983521,45.0397987366,74.3890991211,63.5620994568,33.2752990723,70.1473999023,67.9067001343,87.533203125,38.9954986572,60.8899993896,63.4188995361,56.6383018494,52.6841011047,34.6757011414,58.1809005737,58.3841018677,77.7356033325,57.1237983704,48.9096984863,42.2899017334,74.1014022827,81.8686981201,66.7174987793
2011-01-01,75.5728607177,88.8871002197,78.3822021484,54.1197013855,42.4813995361,66.3307037354,61.8497009277,57.8307991028,67.5436019897,64.2338027954,88.5003967285,45.9227981567,60.3056983948,65.7561035156,45.6531982422,57.356300354,50.3461990356,55.7659988403,57.6290016174,76.1256027222,57.2013015747,63.2061004639,39.0561981201,71.4075012207,82.6115036011,69.0375976562
2012-01-01,76.53125,89.1128997803,83.3581008911,58.6441001892,48.4916992188,66.552696228,53.1119995117,40.5541992188,71.4997024536,65.133102417,88.7384033203,53.3456001282,60.8166999817,68.8820037842,48.8648986816,62.2271995544,60.7568016052,60.993598938,63.6870994568,76.6638031006,60.8364982605,61.047000885,32.9487991333,73.9498977661,81.6110992432,69.1324996948
2013-01-01,77.4896392823,89.4630966187,82.0515975952,50.1579017639,34.771900177,59.3342018127,40.3147010803,38.574798584,83.1065979004,65.7329025269,84.0674972534,48.5892982483,57.2658004761,69.7682037354,45.0038986206,56.3069992065,58.1260986328,59.3730010986,46.4198989868,75.0925979614,59.7487983704,58.3768005371,33.9874992371,72.0286026001,79.4991989136,59.6064987183
2014-01-01,78.4480285645,87.6212005615,86.8991012573,63.3339004517,38.8927001953,70.1421966553,68.6451034546,45.7134017944,80.1551971436,71.1013031006,86.4108963013,56.7683982849,60.0499000549,71.8705978394,55.5783004761,63.0773010254,69.9177017212,63.353099823,69.6568984985,86.0727005005,63.9160995483,61.7761001587,35.9706993103,74.4149017334,84.6941986084,59.2649993896
2015-01-01,78.642384847,91.2069015503,79.3958969116,55.6249008179,38.0546989441,72.0839004517,62.8426017761,39.1413002014,79.4489974976,67.0531997681,86.4960632324,60.3620986938,59.9715995789,59.9532012939,52.870098114,61.0857009888,68.318397522,62.0103988647,65.1584014893,84.6082000732,60.5872993469,61.8134002686,35.3429985046,71.976600647,83.6371994019,91.1780014038
2016-01-01,78.8367411296,90.929901123,81.9726028442,59.7854995728,40.1957015991,78.2488021851,57.9250984192,43.0632019043,80.9471969604,70.4814987183,86.5812301636,59.5786018372,60.0741996765,59.3362007141,55.1291999817,62.2084007263,70.0885009766,61.6230010986,86.0446014404,86.5640029907,62.8790016174,62.5407981873,33.9656982422,75.235496521,86.6928024292,87.3817977905
2017-01-01,79.0310974121,91.6662979126,87.2016983032,59.3947982788,39.5434989929,77.0680007935,56.904499054,53.4012985229,82.331703186,70.1197967529,86.6663970947,61.6511993408,58.5038986206,62.1808013916,51.5483016968,67.150100708,67.1862030029,61.5065002441,83.2331008911,88.3240966797,62.0682983398,61.3223991394,33.4788017273,77.0113983154,85.7199020386,87.6953964233
2018-01-01,78.0746715614,93.5279998779,89.5062026978,66.585899353,44.7843017578,65.2789001465,61.5950012207,61.0196990967,85.5947036743,75.2917022705,91.2731018066,63.0820007324,60.7561988831,66.6417999268,62.2078018188,63.6394996643,67.8127975464,65.4430999756,77.5345001221,87.1775970459,62.7667007446,55.1703987122,31.7264003754,79.4789962769,91.5488967896,87.650100708
