date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom
2005-01-01,2855.0,2722.0,0.0,0.0,0.0,1314.0,855.0,0.0,840.0,11604.0,11450.0,8475.0,1000.0,0.0,17900.0,0.0,0.0,500.0,0.0,1051.0,2000.0,4737.0,0.0,0.0,0.0,27322.0,1328.0,6791.0,9499.0
2006-01-01,3000.0,2678.0,0.0,0.0,0.0,1580.0,710.0,0.0,710.0,10702.0,9644.0,8000.0,1117.0,0.0,13743.0,0.0,0.0,0.0,0.0,1002.0,2600.0,4100.0,0.0,0.0,0.0,30291.0,1248.0,6129.0,7968.0
2007-01-01,3441.0,2934.0,0.0,0.0,0.0,2218.0,780.0,0.0,908.0,11774.0,11914.0,8500.0,1558.0,0.0,26594.0,0.0,0.0,419.0,0.0,1451.0,3214.0,3894.0,0.0,0.0,0.0,34571.0,2202.0,5606.0,8724.0
2008-01-01,2684.0,2891.0,0.0,0.0,0.0,2461.0,850.0,0.0,913.0,11598.0,12202.0,7100.0,1463.0,0.0,25016.0,0.0,0.0,423.0,0.0,1111.0,3410.0,3579.0,0.0,0.0,0.0,33836.0,1871.0,5860.0,7374.0
2009-01-01,3100.0,2711.0,1200.0,0.0,0.0,1860.0,1063.0,0.0,1224.0,9484.0,12114.0,5000.0,1250.0,0.0,17452.0,0.0,160.0,378.0,0.0,752.0,4971.0,2789.0,1749.0,0.0,75.0,23390.0,1714.0,5747.0,5655.0
2010-01-01,3280.0,2996.0,0.0,712.0,0.0,2240.0,1063.0,0.0,1366.0,11497.0,13406.0,4000.0,1000.0,0.0,19270.0,0.0,90.0,459.0,788.0,1072.0,3161.0,2450.0,1224.0,650.0,275.0,30571.0,1376.0,5770.0,5655.0
2011-01-01,2969.0,3385.0,0.0,0.0,0.0,2500.0,1063.0,0.0,1663.0,12946.0,15314.0,2900.0,800.0,0.0,12677.0,0.0,100.0,492.0,0.0,1211.0,5163.0,2066.0,1224.0,510.0,222.0,23750.0,2314.0,7467.0,5738.0
2012-01-01,3436.0,3507.0,0.0,0.0,436.0,3140.0,731.0,116.0,1797.0,12799.0,16730.0,1560.0,590.0,0.0,10267.0,65.0,94.0,512.0,0.0,1598.0,5599.0,1092.0,1308.0,603.0,101.0,12528.0,2168.0,8814.0,7109.0
2013-01-01,3330.0,3924.0,0.0,0.0,555.0,2294.0,809.0,150.0,1743.09,13707.0,18451.0,1830.0,654.0,246.0,8275.0,115.0,106.0,662.0,0.0,1673.0,5196.0,940.0,1262.0,558.0,115.0,12331.0,2600.0,9375.0,7541.0
2014-01-01,3664.4444444444,4483.5294117647,0.0,0.0,400.0,1961.0,870.0,151.0,1621.0,13198.9473684211,20432.5,1105.0,601.3333333333,598.0,7564.0,151.0,80.0,601.0,0.0,1544.7368421053,5580.0,804.0,731.6666666667,558.0,115.0,13273.0,2461.25,9006.5217391304,7260.0
2015-01-01,4081.0,4339.0,0.0,271.0,276.0,1843.0,1098.0,0.0,1715.0,12564.0,21435.0,1055.0,700.0,503.0,7579.0,0.0,0.0,734.0,0.0,1543.0,5863.0,956.0,1450.0,0.0,144.0,14396.0,2908.0,10399.0,8065.0
2016-01-01,4026.0,4318.0,0.0,469.0,0.0,2351.0,1371.0,0.0,1865.0,14200.0,20933.0,2745.0,848.0,739.0,8045.0,0.0,0.0,782.0,0.0,1458.0,5967.0,1204.0,1643.0,977.0,179.0,10460.0,3674.0,9603.0,8119.0
2017-01-01,4194.0,4099.0,0.0,535.0,0.0,2103.0,1639.0,0.0,1886.0,15400.0,21437.0,2935.0,1213.0,613.0,8447.0,0.0,0.0,703.0,0.0,1760.0,6229.0,1366.0,1897.0,966.0,293.0,10150.0,3136.0,8774.0,7445.0
2018-01-01,4822.0,4242.0,0.0,439.0,0.0,2261.0,1656.0,0.0,2034.0,16810.0,21890.0,3018.0,1173.0,565.0,9184.0,0.0,0.0,705.0,0.0,1558.0,6748.0,1468.0,1798.0,1166.0,225.0,13500.0,3353.0,9214.0,7809.0
