year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,25.665397147098304,3.1016586110000004,24.1744174208452,6625.99977293726,6232945526.75533,1.97261080636848,48.619752204693214,2.24406532463878,35013.7140443423,34940.0,287476798281.967,3.581000057544451,86.99999809265137,92.5,72148.0,2855.0,16.1973187620023,1.0,1.684595,1.105386,1.0,1.606079,1.378657,28.7,0.855,362822.0,100.83262,100.35335,54.25031953331948,781292.0,53.061500549316406,2.37324
2006-01-01,3.1251494779180096,3.058607406,26.254262515098,6631.368582481033,10993883346.6651,3.27200314072399,50.8416688618235,3.4540418361412204,37623.0757580996,37710.0,311818314868.547,3.9267581272603955,86.00000381469727,100.0,76180.0,3000.0,16.4899751283683,1.0,1.831036,1.075933,1.0,1.644535,1.372685,29.6,0.861,355293.0,101.55929,100.32996,58.30811688073065,782981.0,53.9463005065918,2.35923
2007-01-01,17.7173406826104,3.059730891,28.6009320732652,6630.1110471271895,14749054068.6709,3.794540436559549,52.560869422371,3.72741530093519,39392.54058839991,39350.0,326450890545.42,4.237481361376913,81.00000381469727,97.5,79147.0,3441.0,16.8229160965761,1.0,1.870187,1.283752,1.0,1.690031,1.369262,30.6,0.8809999999999999,347249.0,101.67125,99.70887,63.04729,777792.0,41.08539962768555,2.41843
2008-01-01,1.46438004562603,3.141958678,29.3561662009359,6622.227166875726,19299052401.6221,4.48508217916591,53.2488606164087,1.4604236757386002,41316.225176699,41660.0,346680570770.484,4.513169759894005,81.00000381469727,101.4000015258789,82300.0,2684.0,17.173512011942197,1.0,1.7808400000000002,1.339206,1.0,1.606344,1.358464,30.4,0.884,337448.0,100.72594,99.42073,65.8869,770792.0,70.2947998046875,2.56945
2009-01-01,3.57347684121608,3.048646422,30.514388987415103,6607.668085631353,10303724796.1585,2.5748221081884903,45.207416560843704,-3.76457817791677,40926.523764567595,40910.0,341315238549.098,5.3014001846313485,79.00000095367432,105.4000015258789,85200.0,3100.0,17.5052310119254,1.0,1.66658,1.190602,1.0,1.452587,1.3928459999999998,31.5,0.8859999999999999,331565.0,100.20248,99.64985,68.11265,762981.0,66.50599670410156,2.59674
2010-01-01,-5.61565003443295,3.005224684,30.6592165744001,6586.513361215075,11472431144.4445,2.92744156292677,51.2621603273359,1.83709367680054,42006.0468807427,42360.0,354252259996.34296,4.82000017166138,79.00000095367432,100.0,88280.0,3280.0,17.798383795193,1.0,1.841763,1.152648,1.0,1.452815,1.430291,30.3,0.895,328015.0,99.78978,98.80721,75.62378000000002,743709.0,67.90670013427734,2.7261
2011-01-01,5.33121321219852,3.066662898,30.9885937243849,6558.73229190118,6798975982.3796,1.57704840696994,53.94867085163939,2.92279728368581,44452.73274579991,44600.0,374289188740.567,4.56379985809326,77.86902904510498,130.39999389648438,88280.0,2969.0,18.0531001297569,1.0,1.617761,1.193522,1.0,1.382634,1.402444,30.8,0.897,326351.0,99.7387,98.06147,78.49945,723523.0,64.23380279541016,2.66868
2012-01-01,1.2746210241656102,2.896013491,33.4265374778104,6524.324877689671,6141933076.67494,1.50013544947886,53.9736761965302,0.680445576816723,46457.345777031114,46500.0,392030460346.489,4.86499977111816,69.0,116.9000015258789,103500.0,3436.0,18.274494435399106,1.0,1.575873,1.340567,1.0,1.524189,1.448773,30.5,0.899,326955.0,100.5991,97.84332,78.93890999999998,709910.0,65.13310241699219,2.91472
2013-01-01,0.104891997865552,2.861178584,34.6806004056175,6483.169595268917,8379185904.99943,1.94833654536212,53.4412932967224,0.0255047121972183,47922.0491207455,48050.0,407466618825.43896,5.33479976654053,69.0,142.10000610351562,107000.0,3330.0,18.472979033071894,1.0,1.588477,1.364101,1.0,1.490679,1.456567,30.8,0.8959999999999999,327187.0,101.2101,99.19738,79.6554,706501.6,65.73290252685547,2.95492
2014-01-01,0.387373361663698,2.961299866,35.3942733418568,6435.49133689259,10589968447.7841,2.39594143192575,53.386579046242396,0.661272848852605,48799.715467698494,48860.0,417609480255.935,5.61969995498657,72.0,154.10000610351562,110300.0,3664.444444444444,18.6596177413585,1.0,1.572586,1.2707,1.0,1.48773,1.3913209999999998,30.5,0.904,327246.8,101.6282,99.66308,79.1587,697388.4,71.10130310058594,3.08506
