year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,Research_and_development_expenditure_perc_of_GDP
2005-01-01,6.303627115954889,0.372465509,3.3648509734848195,759.8571774682327,-970855828.8013213,-5.2668267133274815,55.6921102559885,4.85300383835666,27763.177389335,26320.0,19438172686.1818,3.309898908462145,126.9000015258789,-23910.387717841775,0.0,10.7656992279563,1.0,1.157761,0.5162975000000001,1.0,1.221836,0.9558727,30.3,0.83,61247.0,100.85795,96.54328,33.22082,64293.0,0.36197
2006-01-01,9.325550994965267,0.356343014,3.51423832722468,745.986687740891,-1278222530.56614,-6.36793770553427,53.4357273848067,4.71382866563108,29984.1850612746,28320.0,21269250117.109,4.54290008544922,129.19999694824222,-13685.996754295309,0.0,10.881323606633,1.0,1.267324,0.5397544,1.0,1.27707,1.052067,31.1,0.836,59710.0,102.38691,96.59815,33.419909999999994,64714.0,0.37724
2007-01-01,9.57344136774281,0.335030097,4.35531132550118,733.280499533239,-1830417730.9320397,-7.636679674739491,53.2588980125664,5.09806845261183,32849.9410426219,30750.0,23585381535.145,3.9219999313354506,153.10000610351562,-4850.340106346062,0.0,10.9898064609533,1.0,1.427616,0.5371549,1.0,1.331325,1.066656,31.1,0.8440000000000001,57785.0,102.47384,97.77915,36.17381,64853.0,0.39826
2008-01-01,44.1638687211385,0.252117649,5.493663996847,721.7386128452763,-4021890150.5923705,-14.4440065670555,50.081600978370105,3.6468119905756,34824.0829909209,34110.0,26949463379.0258,3.6547000408172594,157.0,2596.582226005732,0.0,11.105594403654699,1.0,1.532571,0.6396841,1.0,1.367876,1.084034,31.7,0.852,56799.0,103.35171,98.32904,42.618,64966.0,0.38601
2009-01-01,249.108048567272,0.29607631100000004,5.9785161672232405,711.3341952400857,-1737607775.50751,-6.69717301069538,48.722140829160395,-2.01526235906867,33888.2852261088,32240.0,27309424258.7043,5.3639001846313485,118.8000030517578,8669.460430385312,0.0,11.2454158747563,1.0,1.4183290000000002,0.3891754000000001,1.0,1.362604,1.068028,32.1,0.8540000000000001,55837.0,105.36476,98.38756,52.00389000000001,64557.0,0.44442
2010-01-01,120.59452219694201,0.317047592,6.35322559915793,702.1241014586793,-2798526225.68996,-10.8754825330417,50.3797480614863,2.01469570699406,33230.798941129906,32220.0,27325125552.3111,6.2628002166748,100.0,13335.10937999277,0.0,11.417547177272901,1.0,1.53183,0.4524448,1.0,1.423306,1.023391,31.5,0.85,54806.0,101.6243,91.4408,48.31158,63662.0,0.44663
2011-01-01,146.726545596933,0.317230031,7.4157519845407,694.0783091969622,-606475259.489323,-2.20012675036763,53.495159049626395,0.40143794113274106,33192.336901327,33140.0,29092501622.955,9.127654130672445,58.0,16612.024014002884,0.0,11.667420852695502,1.0,1.563668,0.6079845,1.0,1.236406,1.053583,32.6,0.853,54371.0,101.2005,92.82562,46.53973,62894.0,0.45554
2012-01-01,280.131833140986,0.325138183,8.33890017172604,687.1968184549348,-998425002.416898,-3.9971353993776697,55.31225938140229,-3.44682208589713,31914.6834217479,30880.0,27312569435.9114,11.7952003479004,35.400001525878906,18500.0,436.0,11.9400447206545,1.0,1.391172,0.6351260999999999,1.0,1.130751,1.022024,34.3,0.852,54272.0,100.1753,95.29985,45.86359,61801.0,0.43778
2013-01-01,108.641707259097,0.274789041,9.49593036077569,681.4655650037504,-349870669.376058,-1.4638405670498502,61.360312580734394,-6.55307825499119,30620.8621496663,29330.0,25872264232.253,15.870699882507301,24.10000038146973,19000.0,555.0,12.2323768693186,1.0,1.366624,0.5633471999999999,1.0,0.9171373,0.9808227,37.0,0.8540000000000001,54069.0,99.76198,98.31169,47.52524,60793.0,0.48218
2014-01-01,223.705992322947,0.244042455,9.363295683653961,676.9158671682791,-957946474.8802401,-4.14191335399422,66.109181405991,-1.86373981759002,30390.6080662609,29360.0,24927071188.1656,16.0879993438721,14.300000190734865,19000.0,400.0,12.533617985133901,1.0,1.140384,0.5518821,1.0,1.098858,1.01997,35.6,0.856,52782.0,99.15272,99.41673,53.10435,58634.0,0.50847
