year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,10.074915745156801,2.604629537,7.5128473429017815,1295.6998759596224,-2809704225.91577,-2.0617038467874,62.181957290980996,6.533468805079348,21956.3838583853,20970.0,214084360418.233,4.05697533600695,1314.0,14.043483597020801,1.0,0.9252368,0.9360713,1.0,1.110906,0.9056726,26.9,502831.0,99.2147,95.67085,48.34936,975284.0,14.309499740600586,1.16835
2006-01-01,4.58756448858037,2.45435607,7.85828772533033,1285.660776120626,-3996084353.2344,-2.5704274373859,65.1862987851849,6.85352233442428,23776.487055384303,22340.0,228697026228.795,5.032682997978309,1580.0,14.2262347146907,1.0,1.09646,1.053972,1.0,1.108626,0.9622927,26.7,473269.0,99.9962,96.03756,50.13669,966280.0,39.27199935913086,1.23173
2007-01-01,7.30109989467388,2.55482699,8.29258027824795,1276.8443166542802,-8945618935.57798,-4.72745249670619,66.4089661851449,5.6026436836669005,26124.8954490421,24460.0,251865694517.321,5.817709220465085,2218.0,14.4615061996393,1.0,0.8953341,1.015041,1.0,1.023206,0.9952838,26.0,462820.0,103.18527,94.95881,54.18236,937026.0,32.79199981689453,1.30228
2008-01-01,3.73979546458325,2.613779695,8.95510134531697,1269.2504975605848,-4407952631.4357,-1.87000638744055,63.2263674242076,2.68228272581928,27844.7953264656,26040.0,270395387186.615,6.4120540034672775,2461.0,14.744496687182801,1.0,1.013642,1.049845,1.0,1.15504,1.032759,26.3,459899.0,105.73485,94.14958,58.06951,903691.0,30.36639976501465,1.2393299999999998
2009-01-01,2.5568019001909,2.54668482,10.214162043606802,1262.8635429938279,-4869768332.55461,-2.36190161694339,58.6842997764355,-4.80257209234594,27599.3008601602,25650.0,267930037450.393,6.66209983825684,1860.0,15.070381778301304,1.0,0.8832404,0.9050642,1.0,1.311661,1.033045,26.2,460486.0,105.97286,93.85027,61.07541,868328.0,40.92739868164063,1.29438
2010-01-01,4.9006840907293885,2.441656086,10.917719980187199,1257.7183543450847,-7351204483.70952,-3.5431272317175697,66.0295210253014,2.27342005374092,27667.432895305297,25620.0,268403859052.561,7.2790999412536594,2240.0,15.440262143527901,1.0,0.9052177,0.9892337,1.0,1.299505,1.014818,26.6,463357.0,103.8044,94.65642,63.94588,836847.0,33.275299072265625,1.3368799999999998
2011-01-01,1.83758140711468,2.543273931,12.1206034597646,1253.795806068992,-5020059122.201261,-2.20227921349248,71.3071567311351,1.77783318558407,28797.417961169103,26620.0,279370310382.565,6.71110010147095,2500.0,15.9068025916203,1.0,0.9309797,1.109118,1.0,1.2011379999999998,1.022664,26.4,468273.0,100.7609,95.79879,65.57001,805253.0,57.8307991027832,1.55571
2012-01-01,4.54882936324756,2.346147422,12.762816009915399,1251.09589816555,-3158497435.6835,-1.52307447912895,76.17007462230708,-0.7998442809802951,29047.246439594903,27250.0,286391051564.635,6.9781999588012695,3140.0,16.4195245325878,1.0,0.9289219,1.054106,1.0,1.05909,0.9703796999999998,26.1,477413.0,99.36768,96.79181,65.67116999999999,777216.0,40.55419921875,1.7823099999999998
2013-01-01,3.5136068505345697,2.508317512,13.9237189142382,1249.61626276491,-1105890387.1482198,-0.528117227651661,76.87095181019241,-0.4836710418093591,30485.714154111294,28670.0,301403153675.82,6.95270013809204,2294.0,16.958365878612,1.0,0.8918200000000001,1.0847790000000002,1.0,1.085486,0.9845335,26.5,491828.0,98.74181,103.9989,65.08577,801314.0,38.574798583984375,1.89973
2014-01-01,3.89217924218107,2.658368397,14.830742089309599,1249.36498530642,457719869.135026,0.220249997938478,82.5456924295555,2.7151161333034803,32263.3157548997,30090.0,316710658172.226,6.10790014266968,1961.0,17.4908989692108,1.0,1.017593,0.9899905,1.0,1.005961,1.026667,25.9,510613.0,98.66823,104.6972,65.6241,781392.0,45.7134017944336,1.97285
2015-01-01,0.909872695798491,2.564365612,14.828561949624099,1259.9324508502984,460991643.448602,0.246743986591214,81.0493010657814,5.3092385182355315,33691.4242392608,31420.0,331373073380.675,5.04640007019043,1843.0,17.994977454386394,1.0,1.046509,0.9791891,1.0,1.098858,1.042761,25.9,534932.0,99.51668,105.0893,64.48163000000001,770437.0,39.141300201416016,1.92923
2016-01-01,5.56184179486256,2.600177566,14.801130838796528,1254.9593192521766,3015907873.71519,1.54590376884061,79.5556198733638,2.4505423863572298,35230.5224608776,32950.0,348125885411.157,3.9514000415802,2351.0,18.5215508599466,1.0,1.036739,0.9761155,1.0,0.986401,1.024769,26.554417753219607,557455.0,100.2089,104.6348,63.74813,765502.0,43.06320190429688,1.6783
2017-01-01,5.20335162117526,2.5476490477698177,14.971215890181485,1259.5331460432346,3148006331.6242,1.45799390726686,79.72607749897121,4.3526035198277,38019.5805142033,35680.0,378037051129.9721,2.88980007171631,2103.0,18.9967065230691,1.0,1.005325,0.9998168,1.0,1.232614,0.9715869,26.615668964385986,575980.0,100.671,103.4916,64.07869000000001,772457.0,53.40129852294922,1.79235
2018-01-01,3.4636002257523297,2.667736878299317,15.483416438009721,1250.3020522393083,860048615.269931,0.3507169003073089,78.38606439273241,2.95778447296561,39743.5970941416,37530.0,398780149831.938,2.24329996109009,2261.0,19.4208768932343,1.0,0.9222081,1.040143,1.0,1.261501,0.930312,26.119031023979186,515464.0735827685,99.97431549000336,104.60588122426867,67.85588587986945,823188.9042698144,61.01969909667969,1.9420655782318117
