year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,4.857700582033,4.574246168999999,16.1263978314621,1109.199743737412,11007384393.5368,4.16209598545998,47.452125515225,2.33664132484286,34150.1594558945,34430.0,186566260237.83606,4.12159954615712,95.0,219.6999969482422,26800.0,855.0,15.152695592638599,1.0,2.119752,1.0746790000000002,1.0,1.650685,1.739609,25.2,0.903,414103.0,98.73159,124.09972,80.37451,464952.0,-90.31022139733925,2.39337
2006-01-01,0.84318706518409,4.400634838999999,15.2671237358586,1103.8795976831207,9461656812.10659,3.34470140208431,50.7300470194145,3.91300794127373,37295.6593508184,37750.0,205243068258.734,4.944780471872003,95.0,184.8999938964844,28040.0,710.0,15.3890519344502,1.0,2.22626,1.047865,1.0,1.803423,1.571636,25.9,0.905,415793.0,99.30144,119.99984,79.01963,463617.0,52.21080017089844,2.403
2007-01-01,3.697114116274721,4.391965518999998,17.700928170415498,1098.61175756275,4841519012.77284,1.51570568758818,51.48253505123779,0.909238959176889,38968.5153979593,39160.0,213892593685.525,5.640328054452104,93.99999618530272,88.69999694824219,29110.0,780.0,15.6579775100957,1.0,2.353998,1.117682,1.0,1.925144,1.477704,26.2,0.904,415793.0,100.01467,118.75887,78.55219,475140.0,71.73200225830078,2.51541
2008-01-01,0.620106753447922,4.434618125,18.5492546879512,1093.3962233762993,10413116838.3802,2.94687746934438,54.17579741403971,-0.512016734783217,41278.3268270571,41740.0,229296531979.344,6.208242293897421,93.00000190734863,75.19999694824219,30000.0,850.0,15.960462947518899,1.0,2.251272,1.065299,1.0,1.873556,1.538306,25.2,0.909,410400.0,99.61479,117.84123,75.68209,484199.0,58.15760040283203,2.77346
2009-01-01,1.17390242059711,4.654656869,19.342763930807198,1088.2189211412117,11323461379.1277,3.52490830062671,47.126073460453796,-4.9065477294027,40339.6771281296,40740.0,225023089962.946,6.007299900054929,93.00000190734863,40.20000076293945,30000.0,1063.0,16.2972089545649,1.0,2.232205,1.000632,1.0,1.88179,1.538261,26.7,0.9059999999999999,406622.0,99.56537,117.97562,74.28376,493144.0,83.73429870605469,3.05514
2010-01-01,-3.65466908301772,4.402261138,21.3548364626267,1083.1081421265305,21051011384.4253,6.53767701922624,50.52292763958779,1.87099110975051,42999.616135066004,43700.0,242450184707.942,7.46360015869141,93.00000190734863,100.0,31500.0,1063.0,16.667704799630698,1.0,2.09679,1.040961,1.0,1.876393,1.541957,27.2,0.91,403344.0,99.58201,119.4968,73.59666999999997,504205.0,88.3021011352539,2.9170700000000003
2011-01-01,3.94150318758658,4.23083883,23.8989672739058,1078.04966904577,22681953273.8671,6.593530928632998,53.8201489280677,1.3367777777943202,44403.3848413929,45340.0,252568140433.285,7.57270002365112,93.92080307006836,134.80000305175778,31500.0,1063.0,17.0322720239987,1.0,2.101079,1.100293,1.0,1.905198,1.551707,27.3,0.922,470807.0,100.7807,122.699,76.75835,519115.0,88.88710021972656,2.94465
2012-01-01,-4.997670325554282,4.339683402,27.2819568791468,1073.0435018989301,20460990722.6196,6.2543349473166,54.6304940173438,0.22649979701626,44803.968242121395,45820.0,256181670980.004,7.5258002281189,90.0,90.5999984741211,35000.0,731.0,17.4897338271576,1.0,1.984567,0.9149107,1.0,1.806774,1.674114,27.8,0.924,470711.0,101.3566,123.4058,79.10831999999998,527851.0,89.11289978027344,2.98125
2013-01-01,0.19801218055208106,4.261226201,27.342838598279094,1068.0761403117804,26685645940.0187,7.76683882874506,54.82881898671129,0.933340957051087,46726.8541437832,48210.0,270675551874.234,6.99669981002808,91.0,86.4000015258789,35800.0,809.0,18.0264608306455,1.0,1.992455,0.9592335,1.0,1.80997,1.6662709999999998,28.5,0.9259999999999999,469568.0,101.5456,129.338,80.93104,555278.0,89.46309661865234,2.97048
2014-01-01,1.86330528301876,4.369073034,30.271631282414397,1063.17472833671,31353332575.5896,8.882124142552591,54.61313963830279,1.61939381663372,47901.4473627066,49640.0,280163778604.424,6.5892000198364284,92.0,138.69999694824222,36800.0,870.0,18.5704555421458,1.0,1.819007,0.9517797,1.0,1.687075,1.524577,28.4,0.9279999999999999,467484.0,101.2942,129.3282,81.02908000000002,553791.0,87.62120056152344,2.91404
2015-01-01,0.611475187537009,4.443469085,33.1702771730605,1079.5869765632199,24953251921.341,8.24429210800877,55.418174979442604,2.3425904296801,49058.5010658416,50560.0,287382159288.342,6.16830015182495,91.0,197.8999938964844,37810.0,1098.0,19.04744409746,1.0,1.847929,0.8976497999999999,1.0,1.734574,1.552826,28.2,0.9259999999999999,468536.0,101.4564,130.2519,82.12949,553263.0,91.20690155029295,3.0689
2016-01-01,2.49237426030716,4.172671755,28.7703956277063,1079.1643387144868,24312984240.6132,7.76485063977862,53.425980475041506,3.2459576655981404,50877.4472936396,51990.0,297792837721.213,6.18069982528687,90.0,236.3999938964844,38320.0,1371.0,19.4224516834814,1.0,1.876054,0.8679155000000001,1.0,1.575408,1.541357,29.012425553798675,0.9279999999999999,471787.0,101.8048,129.1195,81.05675,540622.0,90.92990112304688,3.1703900000000003
2017-01-01,1.02511761045327,4.354785820807372,28.338121726031,1067.792779394664,25683297663.4616,7.7965898632375,55.1388663944531,2.036165206055,54282.5477398365,55560.0,320311725561.574,5.742700099945071,88.0,165.6999969482422,39197.528,1639.0,19.659492899327606,1.0,1.796943,0.8682193000000001,1.0,1.6213540000000002,1.515539,29.042251485803025,0.929,472523.0,101.2681,129.0775,80.61601999999998,534080.0,91.66629791259766,3.1028
2018-01-01,0.32788474201843704,4.463635702533469,30.837221226757833,1067.4627419905003,24780873569.4533,6.96727367431909,55.6416285468058,2.3913296854181696,55671.1652650668,56410.0,327060213899.194,4.97459983825684,88.0,129.33370174554673,40626.0,1656.0,19.8129526369902,1.0,1.871631,0.9590668,1.0,1.67705,1.611797,28.52760069764871,0.93,477535.664688468,101.2448485359001,129.0550458402568,81.04084852231384,556009.6067522764,93.52799987792969,2.944594311539531
