year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,22.182051467728897,9.110103019,18.8612379096015,9436.699881126142,-1386395116.61799,-9.833756748180141,65.4743010611721,9.49029679825276,16624.9120413037,15870.0,21499500921.8641,9.237778820039733,64.00000095367432,400.2999877929688,4933.033691846165,0.0,16.7550868662072,1.0,0.9649968,0.6038897,1.0,1.294085,0.9921685,33.4,0.825,85539.0,98.90731,102.78908,67.9128,124493.0,53.34189987182617,0.92364
2006-01-01,13.0034054876571,9.010195141,17.1630792135775,9457.912953948928,-2585466593.62435,-15.1976116212252,63.305991391171894,9.71875924288119,19313.2642372794,18260.0,24589142619.2906,4.39838686829892,66.99999809265137,572.2000122070312,4699.416343301258,0.0,16.9948338586429,1.0,1.157151,0.7364985,1.0,1.294109,1.068222,33.7,0.8320000000000001,79589.0,97.70077,103.1119,67.86591,120246.0,47.026100158691406,1.11666
2007-01-01,15.277140066503598,9.350229618,18.565251978410803,9480.26374675538,-3503236041.50727,-15.6076857081844,62.608463725594504,7.57358092049655,22170.2522577934,20450.0,27420515302.2847,4.59200000762939,65.0,352.5,4539.340186293193,0.0,17.157977112183598,1.0,1.037318,0.6338796,1.0,1.359947,1.0730110000000002,31.2,0.8390000000000001,76026.0,98.90848,103.24273,67.67473000000001,114108.0,48.6167984008789,1.06884
2008-01-01,7.68673717807771,9.247507765,20.188995478184303,9503.752259545488,-2216651993.71584,-9.095337528355481,66.3115573830274,-5.08894221126678,22830.090316358906,21470.0,28710497105.7967,5.454899787902829,65.99999904632568,210.3000030517578,4452.805220821937,0.0,17.2712979069051,1.0,1.161841,0.5707842,1.0,1.419457,1.091653,31.9,0.841,74629.0,101.61071,102.26793,66.44184,106059.0,52.87720108032226,1.25952
2009-01-01,9.45242355462067,9.317904452,24.088768704071,9528.447524240595,525703676.23777,2.66258476237618,60.5219565723599,-14.4338686354076,20597.9334728765,19880.0,26528101753.5309,13.5481996536255,65.99999904632568,54.20000076293945,4440.0,0.0,17.3820010702511,1.0,1.0091139999999998,0.5657759,1.0,1.395184,1.085522,31.4,0.838,73563.0,103.06117,102.73762,66.63192,99562.0,64.53679656982422,1.39541
2010-01-01,13.1686597084672,9.194496668,25.1298919417513,9554.21459403908,343686947.10822403,1.7459301853897802,74.4333837979562,2.7069027527830203,21796.6100997635,20440.0,27211610932.9907,16.707199096679698,65.0,100.0,4500.0,0.0,17.5240466000701,1.0,1.085701,0.661367,1.0,1.390466,1.105652,32.0,0.8440000000000001,72955.0,103.0321,105.2893,68.18451,95331.0,66.71749877929689,1.58162
2011-01-01,4.78373919307872,9.252034604,24.9835417865552,9581.119383821228,309074192.337054,1.32112100665694,85.8218638462488,7.4415848189133,24780.9787761938,23310.0,30946637998.4363,12.327699661254899,63.536109924316406,122.6999969482422,4600.0,0.0,17.7361153686538,1.0,1.076737,0.6110413,1.0,1.390989,1.133726,32.5,0.853,73054.0,101.7139,107.3688,70.36909,90717.0,69.03759765625,2.30655
2012-01-01,7.7064801188948096,9.453142346,24.908558856535894,9609.16189358704,-444602799.656742,-1.91699380645286,85.56756341231309,3.11023455542406,26190.5529510261,24970.0,33031898254.1458,10.0211000442505,64.0,135.39999389648438,4600.0,116.0,17.9847622243434,1.0,0.954538,0.6364652,1.0,1.417086,1.111925,32.9,0.8590000000000001,74249.0,100.9545,107.8116,72.37507,85183.0,69.13249969482422,2.12265
2013-01-01,4.3446021688396605,9.465859927999999,24.475244886817894,9638.423631961887,75410518.78007859,0.29840253084406604,84.02340247028171,1.34618783576073,27642.5853670431,26860.0,35403618516.7603,8.63070011138916,68.0,122.8000030517578,4900.0,150.0,18.2605518163665,1.0,0.9747753,0.7482154000000001,1.0,1.447542,1.116849,35.1,0.863,75644.0,99.56826,108.1674,73.92123000000002,80840.0,59.60649871826172,1.72216
2014-01-01,6.654529119257409,9.675013922,25.326059140501695,9668.74469873607,173055018.043069,0.646367463383694,81.33089811568041,2.98732581885494,29135.7043979166,28140.0,36991781965.8752,7.35179996490479,69.0,177.10000610351562,5050.0,151.0,18.544348947827803,1.0,1.01668,0.7802579000000001,1.0,1.6765580000000002,1.17031,34.6,0.865,77215.0,98.00723,108.4099,73.30776,77873.0,59.26499938964844,1.45063
