year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,5.3102270507830704,13.6156803,31.513349832700897,20434.17059625149,7788421393.4192705,3.8027711006020097,40.2733670538658,2.7796210865509905,32051.7940038456,32190.0,168848220995.197,8.38360023498535,96.00000381469728,96.5999984741211,50000.0,840.0,16.0270526668273,1.0,2.129372,1.595862,1.0,1.662623,1.687097,27.6,0.895,381785.0,98.41798,111.78969,91.67952,430596.0,65.07070159912111,3.32976
2006-01-01,2.13529391720616,13.5085259,31.2432927831562,20331.86126158368,7996502344.723141,3.68659492008468,43.0742002463895,4.02745076837643,34419.380646761,34730.0,182910783946.793,7.71890020370483,96.00000381469728,91.0,50710.0,710.0,16.1992696908436,1.0,2.170114,1.501351,1.0,1.601978,1.4940719999999998,28.0,0.899,372128.0,98.00863,111.45566,93.15745,432565.0,60.86309814453125,3.33762
2007-01-01,8.58615363755679,13.55792773,31.792948371511002,20231.7384924897,9581228389.70195,3.7418990877930702,43.8259066028053,5.2990053845186385,37801.784534824,37910.0,200507630487.75305,6.854000091552732,93.99999618530272,81.9000015258789,51600.0,908.0,16.3577707395551,1.0,1.974782,1.487837,1.0,1.548008,1.460227,28.3,0.9009999999999999,364902.0,98.5561,110.11398,93.75906,432607.0,63.76409912109375,3.34577
2008-01-01,6.81880352268714,13.43668903,34.7310270994262,20133.802288969553,5710387877.20251,2.00678547538988,44.900007721411505,0.7840168007317059,40083.697269966804,40150.0,213338084144.16895,6.3685998916626,90.0,69.59999847412111,52495.0,913.0,16.5460746028395,1.0,2.050841,1.445845,1.0,1.610824,1.463081,27.8,0.904,357403.0,98.97755,108.60678,94.69184,431233.0,74.6854019165039,3.54708
2009-01-01,-3.49569749665515,13.38255392,32.598731568039796,20037.793326749637,4408598035.446528,1.7460034365983603,36.080925682404704,-8.07461557422144,37980.065157183395,38450.0,205288747966.68106,8.249500274658201,88.99999618530273,79.4000015258789,53695.0,1224.0,16.825120145736,1.0,2.229059,1.459815,1.0,1.812506,1.465268,27.5,0.899,351095.0,99.21357,107.47555,91.29066,428332.0,76.997802734375,3.74883
2010-01-01,4.90664547840263,13.05876028,33.5820641792945,19944.23624496776,2792204907.56176,1.1205520377456202,38.414397559303296,3.18591156873617,38953.357595220295,39460.0,211623367105.363,8.39439964294434,91.99999809265137,100.0,54700.0,1366.0,17.229566911216303,1.0,2.22934,1.423607,1.0,1.87564,1.486713,27.7,0.903,347060.0,99.48232,107.5861,93.44781,426710.0,77.73560333251953,3.72598
2011-01-01,-2.18285112555861,13.08690304,35.257979855113796,19852.865728759713,-4796921117.25686,-1.74279053669603,38.900392933262,2.5475303208061697,40916.838579027404,41070.0,221315089725.945,7.781000137329099,94.03926849365234,111.0,56000.0,1663.0,17.7331402858384,1.0,2.2411380000000003,1.393471,1.0,1.819748,1.507551,27.6,0.907,345615.0,99.75524,108.0978,94.91993,422872.0,76.12560272216797,3.63881
2012-01-01,1.90969837735607,12.96706279,38.80266700585521,19763.6817781255,-5900574337.39528,-2.28434529537131,38.8082790730065,-1.3973545403055,40873.0953326066,41060.0,222320431042.548,7.689099788665769,90.0,104.5,57500.0,1797.0,18.3438447062387,1.0,2.220478,1.400765,1.0,1.829249,1.600697,27.1,0.9079999999999999,347245.0,100.341,108.2428,92.87735,415505.0,76.66380310058594,3.41948
2013-01-01,-1.82122196038823,12.98143152,38.4797058653809,19676.449047566544,-5238728662.00055,-1.93107736991899,38.0176291228019,-0.90201849396388,41493.141647035896,41660.0,226606741870.886,8.19340038299561,89.0,90.9000015258789,58500.0,1743.09,19.0107817970348,1.0,2.174288,1.3851719999999998,1.0,1.851513,1.573706,27.2,0.9159999999999999,348432.0,100.3441,144.2861,90.99419,541021.0,75.09259796142578,3.2871900000000003
2014-01-01,6.28188426228721,12.89301884,41.2352406498046,19591.6442186706,-4331080867.71232,-1.57782315509817,36.4814376235518,-0.364940286305156,41757.4021894413,42180.0,230341376307.58,8.66300010681152,89.0,111.0999984741211,59900.0,1621.0,19.658894011089803,1.0,1.998276,1.282197,1.0,1.884035,1.541917,26.8,0.9179999999999999,351663.0,100.6207,146.4276,88.88166,536925.0,86.07270050048828,3.16931
