year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,3.8766927722001694,2.810656059,8.59691215698915,3156.6336703923944,-142691013.406228,-0.00649739617249784,27.033051041817107,1.6632200004964095,30498.579294360898,31020.0,1959874866060.42,8.49349975585938,75.0,112.9000015258789,475000.0,11604.0,16.4718996738996,1.0,1.671527,0.4015874,1.0,1.246632,1.4767709999999998,29.8,0.86,4015490.0,104.63649,106.78168,53.88233,6036192.0,84.85825409369693,2.05151
2006-01-01,3.4053855757959104,2.729377147,8.46011282921616,3140.3379211159154,514325562.52515095,0.0221826520608326,27.935055090195604,2.44932360050809,32434.8602641227,33080.0,2104837223947.29,8.44779968261719,74.00000095367432,129.80000305175778,485000.0,10702.0,16.5143104595909,1.0,1.632802,0.5970889,1.0,1.240273,1.2987229999999998,29.7,0.865,4051861.0,104.27885,106.92752,53.87542,5993897.0,55.157798767089844,2.05094
2007-01-01,3.1528368457017897,2.677598906,9.32132831522475,3124.20796446526,-8718514442.634441,-0.328107442812705,27.853257510198997,2.4247362379150803,34088.3600835306,34770.0,2225555314506.8,7.65670013427734,73.00000190734862,121.4000015258789,495000.0,11774.0,16.526619930130998,1.0,1.471042,0.5636244,1.0,1.2871709999999998,1.259767,32.4,0.867,4105628.0,103.85978,106.69353,52.94754,5940366.0,61.92630004882813,2.02451
2008-01-01,2.3299700359381803,2.78596689,10.473230358883301,3108.2438004404253,-28163013357.7813,-0.9650211917082728,28.1193848563025,0.254945945817809,35095.2629574491,35860.0,2308471504999.58,7.06339979171753,69.00000095367432,99.4000015258789,500000.0,11598.0,16.5495390417049,1.0,1.582908,0.54572,1.0,1.284125,1.304794,33.0,0.8690000000000001,4139284.0,103.62215,106.43283999999998,52.47552,5899298.0,68.05490112304689,2.06117
2009-01-01,0.6848106259361209,2.822347214,11.222006213612099,3092.4023735675155,-22099585073.5784,-0.821478031955934,24.8355472102672,-2.8733138520625494,34685.17379693,35480.0,2295992415295.05,8.73630046844482,69.00000095367432,77.0,500000.0,9484.0,16.6452387081507,1.0,1.480974,0.5117519,1.0,1.216958,1.244509,32.7,0.8690000000000001,4152622.0,103.04114,106.23923,52.7731,5861961.0,64.54280090332031,2.21207
2010-01-01,1.4716301630353898,2.77327245,11.845873304769402,3076.7702490206975,-22031068187.7643,-0.833686088687668,26.7882998402738,1.9494376332686896,35900.045568261805,36730.0,2388529308529.31,8.87129974365234,68.00000190734863,100.0,520000.0,11497.0,16.852031177714,1.0,1.430301,0.6810876,1.0,1.312381,1.202857,33.7,0.872,4159086.0,102.7615,106.4249,54.88172,5873103.0,74.10140228271484,2.17857
2011-01-01,1.5448970750122402,2.654821794,10.913690435543499,3061.3039170997026,-29508603051.6754,-1.03126157806933,28.421337476419396,2.1927006520261,37440.6386298685,38440.0,2511515271090.53,8.81099987030029,70.05064010620117,117.3000030517578,520000.0,12946.0,17.1352837665779,1.0,1.359144,0.6029928000000001,1.0,1.161314,1.170668,33.3,0.8759999999999999,4171826.0,102.6911,106.6106,55.62573,5888388.0,71.40750122070312,2.19161
2012-01-01,1.22752640558907,2.711619016,12.372958762063,3046.00337780453,-32875102689.5348,-1.2249345591570802,29.2030271868495,0.31313474167846805,37679.1217798605,38500.0,2528097207038.72,9.40019989013672,71.0,111.9000015258789,527000.0,12799.0,17.516940858915,1.0,1.340279,0.5549415,1.0,1.130379,1.238106,33.1,0.878,4155596.0,102.5232,105.8136,57.90901,5920216.0,73.94989776611328,2.22707
2013-01-01,1.12374280873532,2.619020405,13.4773744348411,3030.827393811225,-24382747331.6784,-0.8673807596542209,29.364737867049197,0.576326679441848,39523.8539542181,40410.0,2666950863865.02,9.920599937438961,71.0,97.5999984741211,535000.0,13707.0,17.9687879170855,1.0,1.481829,0.4487441,1.0,1.157089,1.219247,32.5,0.882,4171003.0,102.2764,104.3766,59.84876,5913849.0,72.02860260009766,2.23703
2014-01-01,0.203525272366494,2.700523858,13.3470246384899,3015.858893994069,-37354496128.6695,-1.30968882118601,29.666684498073,0.956183047683851,40141.585477622,41010.0,2719730300347.34,10.292200088501,69.0,92.6999969482422,545000.0,13198.947368421052,18.435856873470897,1.0,1.40317,0.3005685,1.0,1.078786,1.21816,32.3,0.887,4188552.0,101.2803,103.4258,61.51048,5947212.0,74.41490173339844,2.27592
2015-01-01,1.75642996529439,2.719357122,13.4992623166677,3067.695976763629,-9130436716.69977,-0.374473265004827,30.5926223781313,1.1129123405747,40833.2420664584,41720.0,2777946957121.9,10.3593997955322,70.0,99.0999984741211,550000.0,12564.0,18.8811152898537,1.0,1.436796,0.10670639999999998,1.0,1.129694,1.206641,32.7,0.888,4255988.0,101.9896,103.396,62.78593000000001,5982868.0,71.97660064697266,2.26703
2016-01-01,1.32739278028377,2.377594825,13.53545530084564,3041.4695972992154,-12205179244.4941,-0.493879752689003,30.2475371833945,1.09546439462306,42047.2872382377,42940.0,2870740552457.27,10.0567998886108,69.0,116.6999969482422,560000.0,14200.0,19.284124927111897,2.0,1.405252,-0.0953591,1.0,1.070323,1.135574,33.064573240280154,0.887,4284172.0,102.2604,103.3081,64.72768,6016608.0,75.2354965209961,2.24805
2017-01-01,1.45225128378182,2.783937850898608,14.453621547408364,3059.441510513601,-16470460330.8823,-0.636838466825668,30.819894704415496,2.2602027208113102,44255.94164010231,45310.0,3029679953170.17,9.397199630737301,70.0,124.1999969482422,570000.0,15400.0,19.668996768770896,2.0,1.35209,0.2789897,1.0,1.15695,1.148534,33.271386814117434,0.89,4309942.0,102.5108,103.76,65.62899999999999,6058330.0,77.01139831542969,2.18868
2018-01-01,2.15506806480351,2.764597667019255,14.245579417527637,3032.7106977310077,-19014298810.729,-0.68457453003087,31.3374754046807,1.7248806271421102,45342.395736083214,46360.0,3105748565601.54,9.05889987945557,72.0,98.76168152703258,580000.0,16810.0,20.0346247469881,2.0,1.480526,0.1091348,1.0,1.173062,1.179415,32.82351131439209,0.8909999999999999,4174683.5462385416,101.49013529837877,104.8690637790817,63.58504357628107,5939927.1740576625,79.47899627685547,2.31221868899703
