year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,2.1025770249554,1.724871007,6.76455100872253,1267.7289766401725,133087243134.908,4.676615152876121,38.0595723481521,0.721853764966724,31794.096009520697,32060.0,2643689105682.11,10.737337734731767,81.99999809265138,631000.0,11450.0,18.8683245333634,1.0,1.505681,0.8901935999999999,1.0,1.516365,1.485834,32.3,0.9,3306136.0,103.10638,102.27959,-6.15144976754209,8267636.0,24.844316713427794,2.42253
2006-01-01,2.92240676746508,1.6891134280000002,7.75322465619858,1285.6921147931353,173486477217.384,5.79796363182689,41.43290791084579,3.81458790454661,34124.8742659227,34700.0,2858630098237.38,9.849757884322935,80.0,650000.0,9644.0,19.3231838295421,1.0,1.650243,1.026523,1.0,1.569094,1.365231,31.3,0.91,3329349.0,104.21326,103.05829,5.95637574923191,8184604.0,46.63970184326172,2.45604
2007-01-01,1.48622562106473,1.664524977,9.40658790331653,1300.65295695792,235777197044.803,6.891593293230112,43.3227580964574,2.98407727316592,36252.4119582804,36780.0,3025660024364.26,9.017976926762715,78.00000190734862,660000.0,11914.0,19.7049478314074,1.0,1.637844,0.9960085,1.0,1.615169,1.336478,31.3,0.914,3311285.0,104.78634,102.24229,17.019726463148515,7981848.0,58.73030090332031,2.44633
2008-01-01,0.829879478203399,1.748526496,8.592248256711741,1312.611503134526,213250033110.589,5.71711640747064,43.79919025796289,0.96226644174557,37802.3874303197,38160.0,3133424995825.21,8.241994862051111,79.00000095367432,670000.0,12202.0,20.0235137521453,1.0,1.522836,0.9458345,1.0,1.488769,1.336778,31.2,0.9159999999999999,3236158.0,104.02398,103.30832,27.038602374208295,7907105.0,57.1057014465332,2.59712
2009-01-01,1.6687876302379798,1.77569889,9.63006156970857,1321.5881669927078,201134895341.825,5.919578108255839,38.119906939850296,-5.69715162828702,36823.3802837696,37650.0,3083919895429.99,7.74160003662109,80.0,680000.0,12114.0,20.300608055917397,1.0,1.578987,0.8605308,1.0,1.519109,1.334962,30.5,0.9159999999999999,3150822.0,103.39642,103.15825,36.03615617534058,7740935.0,60.6697998046875,2.72644
2010-01-01,2.53323122929551,1.704741904,10.2935196369107,1327.5338957244967,196171903151.515,5.775955591826169,42.565473405085,4.1789690378929,38949.549763664196,39730.0,3249066891896.09,6.9664001464843786,79.00000095367432,690000.0,13406.0,20.5527504286253,1.0,1.571172,0.7968345,1.0,1.573053,1.297783,30.2,0.92,3067521.0,102.9959,103.9748,43.963220905883645,7663755.0,60.88999938964844,2.71367
2011-01-01,2.60482800628751,1.6006324440000002,11.3943559060623,1330.4773284681073,231971688209.185,6.19514889595412,45.0571362806101,3.9241334177129694,42541.531088409596,43630.0,3502470398953.27,5.82439994812012,80.46143531799315,650000.0,15314.0,20.7054506728733,1.0,1.554961,0.8422185,1.0,1.554825,1.3492110000000002,30.5,0.925,2989678.0,102.4666,103.7624,50.84581083356966,7528270.0,60.30569839477539,2.79562
2012-01-01,1.85530728263463,1.6617534619999998,12.0151357257952,1330.4184652235401,251550848619.46695,7.131450215476731,46.3071201430804,0.4195510800535801,43359.6148271723,44400.0,3570904139239.83,5.37939977645874,79.0,657000.0,16730.0,20.8249891555947,1.0,1.593369,0.7756213000000001,1.0,1.536132,1.393738,30.649142720662724,0.927,2936751.0,101.6142,102.1676,56.68392595839855,7392963.0,60.81669998168945,2.86813
2013-01-01,1.80564570696419,1.688121838,12.089078754616196,1327.3447952511747,245280384975.381,6.57104857350531,45.4186778593914,0.42824326167219295,44993.8927459315,46040.0,3712581829258.22,5.23059988021851,78.0,690000.0,18451.0,20.936579647119398,1.0,1.54252,0.9279839,1.0,1.553044,1.406184,31.1,0.927,2890468.0,100.8382,100.8109,61.38684,7289387.0,57.26580047607422,2.82105
2014-01-01,0.509254907314544,1.756875301,13.378878231675198,1321.27311456179,278432644859.211,7.16885604560682,45.6192633128717,2.22568874914928,47011.551093513095,47950.0,3883389666513.64,4.98059988021851,79.0,704900.0,20432.5,21.0641625260475,1.0,1.7313919999999998,0.9251865,1.0,1.703043,1.43633,31.27498857124734,0.93,2862690.0,100.5386,99.71072,65.50391,7201072.0,60.04990005493164,2.87289
