year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,0.27785774305171096,1.6526237190000002,7.723742290044661,5321.717059860322,-18218753983.732,-7.35270532949061,21.3122304275532,0.599142080317989,25577.524079559902,25620.0,281471978035.928,9.99380016326904,43.00000190734863,499.2999877929688,308000.0,8475.0,17.9131174914526,2.0,0.715305,0.5069851,1.0,0.9607569,1.097569,34.6,0.845,650242.0,97.83578,100.81749,85.31206999999998,715537.0,31.65539932250977,0.57896
2006-01-01,1.9798946898586205,1.4945474369999998,8.21168013914292,5280.459055045217,-29576385911.1083,-10.821246447699304,21.1740087896788,5.65243366900454,28519.5389434167,27990.0,308462945667.322,9.00769996643066,44.000000953674316,284.8999938964844,317000.0,8000.0,18.2225252806648,2.0,0.636948,0.6321899000000001,1.0,0.8585035,0.9654828,35.1,0.851,645324.0,97.67706,100.76952,90.09834,704515.0,29.74880027770996,0.56118
2007-01-01,0.6144857524781021,1.477331099,7.918628932996389,5249.59421994334,-44579249236.0976,-13.9967152283092,22.5202697630197,3.27374690375697,29291.9236888183,28540.0,315293003593.82,8.39649963378906,45.999999046325684,223.8999938964844,325000.0,8500.0,18.451420358948894,2.0,0.5579451,0.5241894,1.0,0.8947075999999999,0.9838739,34.0,0.8490000000000001,639083.0,96.7938,98.19933,87.39504000000002,682012.0,34.45059967041016,0.57655
2008-01-01,1.61751241097004,1.5169763930000002,8.10995865037923,5229.122554554684,-51297053502.019005,-14.471855035359097,23.3615691198983,-0.335172576683306,30856.0118268477,29940.0,331637075588.565,7.759699821472171,46.99999809265137,168.5,400000.0,7100.0,18.6426303828996,2.0,0.5852923000000001,0.2700586,1.0,0.880909,0.9282115,33.6,0.857,638590.9417906811,97.8674296566683,101.69598839902264,91.66767609599063,686142.9841657499,30.875600814819336,0.66183
2009-01-01,0.838271127800898,1.506481619,8.92002878304834,5219.0307227872,-35945594305.5771,-10.8925960119783,18.982186696359697,-4.3007336610621,30365.399926963706,29690.0,329782253257.55,9.61590003967285,37.99999952316284,119.9000015258789,405000.0,5000.0,18.8625029107773,2.0,0.6194866,-0.2077363,1.0,0.8366709000000001,0.8914437,33.6,0.8590000000000001,643291.2794028114,98.02296359908138,103.65174080984262,96.17899408356816,714818.0051200488,32.334400177001946,0.62557
2010-01-01,0.178021169793251,1.469889465,11.0929826096158,5219.373871262565,-30262611051.7222,-10.1090498652679,22.1022051218367,-5.47903710212778,28148.422422996202,27570.0,306635432541.958,12.7131004333496,35.0,100.0,409000.0,4000.0,19.1518233019709,2.0,0.5560393,-0.12720689999999998,1.0,0.6446643,0.8977181000000001,34.1,0.857,642639.0,98.51425,106.3176,103.7963,716601.0,34.67570114135742,0.59838
2011-01-01,0.379499531958508,1.4462857180000002,11.088315807946598,5230.110189451156,-28599315728.5508,-9.93729400748956,25.535415928523893,-9.13249412984462,26141.3195918975,25430.0,282370859957.681,17.864700317382802,33.889670372009284,49.70000076293945,411900.0,2900.0,19.397032748583698,2.0,0.5121977,-0.0986952,2.0,0.4964582,0.8204549999999999,34.8,0.853,637020.0,98.29024,103.1836,109.1593,692302.0,50.34619903564453,0.67196
2012-01-01,0.6765522121857901,1.5458546999999998,13.859377747362304,5251.239677352971,-6172097058.75121,-2.51234595614934,28.6839940157939,-7.30049396069786,25284.464076623797,25450.0,281120340956.062,24.4393005371094,36.0,25.79999923706055,415100.0,1560.0,19.724017669770106,2.0,0.3198002,-0.2172487,2.0,0.5269415,0.7007905,36.2,0.856,636713.0,99.16412,104.5624,113.7406,692957.0,60.75680160522461,0.69957
2013-01-01,1.22790258735839,1.369562089,16.293817512106198,5282.862974638395,-4949141208.60395,-2.06332848569207,30.3534285061372,-3.24142505601294,26097.871900873597,26070.0,285824079577.244,27.466199874877898,40.0,14.0,415100.0,1830.0,20.1018760765328,2.0,0.4592025,-0.1713417,2.0,0.6334165,0.6872375,36.1,0.858,630043.0,98.9243,105.7672,116.3768,694933.0,58.1260986328125,0.8113100000000001
2014-01-01,1.13797579798575,1.519601725,16.0857927242722,5324.80727640423,-3734712056.8720603,-1.57563122228051,32.3730407059617,0.739777138557756,26838.455228326802,27020.0,294315512120.89,26.491399765014602,43.0,11.600000381469727,416200.0,1105.0,20.477278979608,2.0,0.3985864,-0.14044600000000002,2.0,0.3293375,0.6187571999999999,35.8,0.866,625165.0,97.87486,102.2895,122.402,667718.0,69.91770172119139,0.8333
