year,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,18.4010382827434,62.46559957245261,547294.697149444,-2653254418.09806,-15.781410829470598,30.402137024944402,6.33000431222727,37233.1962853091,35470.0,10526296722.7951,2.54699993133545,96.99999809265137,11.8086372250228,1.0,1.973407,1.444746,1.0,1.603446,1.568608,29.0,0.8909999999999999,30785.0,96.863,111.24725,69.88068,33323.0,64.47000122070311,2.70562
2006-01-01,22.516618199468198,64.01584575296779,546788.2827908277,-3974355923.16471,-23.084686093878695,30.8192106692806,5.24882011712438,39093.9519586874,36300.0,11028043033.0308,2.82979989051819,96.00000381469728,11.787001201120999,1.0,1.893597,1.454132,1.0,1.526913,1.445337,30.2,0.893,30421.0,97.30983,111.0056,72.1246,33900.0,68.60459899902344,2.92238
2007-01-01,31.94134978283211,66.7515975965699,545630.7812790871,-2955849017.66436,-13.738573598211696,33.0216932239627,9.36532311561291,41160.2365118634,38750.0,12073945245.9316,2.2506000995636,91.99999809265137,11.788009161716099,1.0,1.795479,1.484785,1.0,1.509135,1.431,29.5,0.899,30084.0,98.13413,109.502,71.1184,34434.0,65.30560302734375,2.57245
2008-01-01,6.72253580104028,73.4615703076425,543822.1926142221,-4338343637.56777,-24.2294477523187,40.6301814016621,1.99198080534548,43318.3527469996,34050.0,10807260433.594,2.9456000328064,88.99999618530273,11.818333890933399,1.0,1.83181,1.215352,1.0,1.310709,1.42565,31.8,0.892,29945.0,99.24107,108.58461,73.74512,35075.0,81.07749938964844,2.52222
2009-01-01,0.4830217801071121,74.12387755453429,541354.8836146034,-1257163347.90602,-9.549536611447287,48.6449517162545,-6.7772150516611385,41905.3660341379,33600.0,10700033108.4016,7.22039985656738,86.99999809265137,11.887857445691,1.0,1.635219,1.190854,1.0,1.01575,1.415215,28.7,0.8909999999999999,29860.0,99.88292,106.51382,74.41502,35075.0,86.09940338134766,2.63933
2010-01-01,1.87802489577768,75.41969184069659,538242.3368430706,-881086127.4411321,-6.43895133675502,51.984284951387,-3.43587807775975,39576.9712388463,32160.0,10229377123.8514,7.5643000602722195,85.0,12.0051946754577,1.0,1.585732,1.022254,1.0,0.9226791,1.445753,26.2,0.892,29568.0,99.30812,107.3143,78.81844,35623.0,87.533203125,2.3472816036447504
2011-01-01,7.30254272992692,76.4508536593322,534478.7029184133,-770298543.075026,-5.08161146251018,54.761257341745214,1.88161948659334,40767.2364144887,34550.0,11022605832.7629,7.02810001373291,82.74026870727539,12.2643550949999,1.0,1.58326,1.24401,1.0,1.057036,1.4107299999999998,26.8,0.9009999999999999,29432.0,98.81152,106.6503,81.47075,35217.0,88.50039672851562,2.4834400000000003
2012-01-01,6.9557623165653,77.3446814179132,530063.981840632,-551498813.3439598,-3.74555747019744,55.0172627742156,1.2964360914115902,41926.3419355085,36690.0,11766282593.5493,6.00019979476929,82.0,12.577843833294402,1.0,1.491028,1.245032,1.0,1.119306,1.44295,26.8,0.9079999999999999,29387.0,98.2153,110.0091,81.95589,36127.0,88.7384033203125,2.210225134899419
2013-01-01,2.94762234745246,76.2194959459808,524983.4003392945,925852693.2656788,5.774482683394999,53.49303770656011,4.13385110139113,44157.5524601264,42100.0,13631427233.6515,5.376399993896482,78.0,12.9338879600962,1.0,1.490049,1.287134,1.0,1.14007,1.439569,25.4,0.92,29578.0,98.11584,118.2448,80.29685,38238.0,84.06749725341797,1.75515
2014-01-01,4.31789437224589,76.3388709815554,519264.721154845,686690283.339159,3.86691536040621,51.520925602302796,2.08028719611639,45714.8938116702,43500.0,14240759323.4076,4.89720010757446,79.0,13.316433045034303,1.0,1.4914,1.246975,1.0,1.217898,1.357325,27.8,0.924,29892.0,98.18361,118.6157,81.43798000000002,37530.0,86.41089630126953,1.99923
