year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,1.97908973894488,1.070105637,6.70263907861876,3106.2443652980096,-17000913298.29,-0.915245802181764,24.601092381788202,0.817848973650598,30130.644456912796,30180.0,1749401793158.77,7.73050022125244,50.0,790000.0,17900.0,19.659766169584802,1.0,0.5618377,0.490133,1.0,0.998329,1.057029,33.8,0.857,2771247.0,102.29095,99.2878,64.43843000000001,4507408.0,41.96020126342773,1.04709
2006-01-01,2.9259668581453697,1.015043613,7.51256404147516,3117.43979252836,-28764140573.0057,-1.47665945577323,26.1734884330826,1.79063968081796,32419.936147751494,32550.0,1892502452361.07,6.7765998840332005,49.000000953674316,850000.0,13743.0,19.845550469821,1.0,0.3647408,0.5318275,1.0,0.9774947,1.064524,33.7,0.862,2790254.0,103.10948,100.05312,66.1078,4531571.0,44.4093017578125,1.08696
2007-01-01,2.98492308508201,1.009891178,8.731729747485549,3122.9513652944397,-30521264104.4781,-1.3808698271328,27.361042253231602,1.4870729803678602,34108.204292828195,34130.0,1994764146518.48,6.07539987564087,51.99999809265137,870000.0,26594.0,19.975986870398604,1.0,0.1976259,0.4476521,1.0,0.9405472,1.111907,32.9,0.866,2820150.0,104.11291,100.46998,66.68297,4553163.0,43.09980010986328,1.1327
2008-01-01,-0.39608783681454907,1.021170042,10.823349299072799,3122.779083596245,-66827457034.1413,-2.78580458154948,26.862774694794396,-0.9620128405792908,35523.2713104342,35200.0,2070619017116.37,6.723199844360349,48.00000190734863,885000.0,25016.0,20.0835547145809,2.0,0.27962659999999995,0.5492005999999999,1.0,0.9747458,1.032024,33.8,0.868,2830056.0,104.2742,101.10097,66.3436,4575124.0,44.46099853515625,1.16367
2009-01-01,0.757889694945498,0.959578752,12.5397527301242,3116.899095791324,-40358960060.9894,-1.84183045071508,22.399161733996397,-5.280937208293099,34610.0314472579,34590.0,2044004906868.06,7.748600006103518,43.00000190734863,900000.0,17452.0,20.2215745117322,2.0,0.421652,0.34821090000000005,1.0,0.9684786,1.03418,33.8,0.868,2819193.0,103.4859,101.41655,66.54997,4575921.0,42.60319900512695,1.22126
2010-01-01,0.4653429408911921,0.960272594,12.7940929982975,3105.343532960574,-72993785933.0447,-3.42048620465029,25.0740498513169,1.71329583916922,35155.6680557794,35080.0,2079521851032.73,8.362500190734862,39.00000095367432,915000.0,19270.0,20.4268389760451,2.0,0.4419097,0.4739237,1.0,0.8963356,0.9627974,34.7,0.871,2822146.0,102.9937,102.9038,65.7743,4626426.0,42.28990173339844,1.22311
2011-01-01,1.50373544840568,0.956884594,11.9049402680297,3088.104115665553,-68277003214.7862,-2.9789384797460894,26.872463466087602,0.7073333470344352,36598.0149693024,36510.0,2167673493812.34,8.35900020599365,39.069130420684814,915000.0,12677.0,20.663772333036302,1.0,0.3775406,0.5012074000000001,1.0,0.7177325,0.9118239,35.1,0.875,2827564.0,102.5043,103.3316,65.56312,4630305.0,39.05619812011719,1.20984
2012-01-01,0.0016722446020187801,0.944539285,14.391648965032301,3065.18084390626,-7328074417.53105,-0.351116624046255,28.3792428359574,-2.98090576823772,36486.2967870302,36440.0,2169728284637.12,10.6545000076294,42.0,932000.0,10267.0,20.962159134639002,1.0,0.4206704000000001,0.5082175,2.0,0.7499914000000001,0.9168093,35.2,0.8740000000000001,2818734.0,101.2919,102.0333,64.13355,4572722.0,32.94879913330078,1.2708700000000002
2013-01-01,0.912122176152343,0.930459399,16.3208850422585,3036.4875345606188,21281996590.3629,0.993874947741422,28.6332430796987,-1.84106545088248,36314.6971007775,36250.0,2183586713124.53,12.148699760437,43.0,940000.0,8275.0,21.299293979756,1.0,0.4584835,0.4954992,1.0,0.7847135999999999,0.9542174,34.9,0.873,2825400.0,101.8973,102.409,62.29616,4594302.0,33.987499237060554,1.30768
2014-01-01,0.788869272224896,0.932199574,17.0903588438944,3002.18098166877,40172048364.5287,1.86056307101581,29.108828186409106,-0.0045475423638379215,36194.873918843,36200.0,2200447377386.96,12.6828002929688,43.0,946000.0,7564.0,21.6353388748348,1.0,0.374144,0.4581654000000001,1.0,0.6418828000000001,0.9992626,34.7,0.8740000000000001,2827109.0,101.1514,102.2811,61.70275,4596916.0,35.97069931030273,1.34301
