year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,4.78939510472563,6.656543009,36.300500437323706,7365.64420876077,-1986928140.8581,-11.750458766952901,43.208942349107296,10.743381997812099,13836.8435517688,13690.0,30655803769.0831,10.0329999923706,41.99999809265137,370.8999938964844,-4019.5676245106297,0.0,16.857823270321,1.0,0.5684978,0.8141941,1.0,0.9258149,0.7818130999999999,39.0,0.802,84369.0,104.84398,102.68632,75.4192,271631.0,32.174598693847656,0.52959
2006-01-01,7.95672123597261,6.617630519,33.99896390356869,7538.112343372258,-4520558736.67533,-21.0878310975889,39.99231530374271,11.888096689002099,15745.103125951699,15350.0,34049617652.4262,7.029699802398679,46.99999809265137,519.2999877929689,147.47144386866057,0.0,17.2033998092641,1.0,0.6851262,0.8386412,1.0,0.9998425,0.8466991,35.6,0.809,78796.0,104.26199,103.9654,74.59651,258432.0,49.61339950561523,0.65063
2007-01-01,8.7818445198775,6.9837865070000005,33.0753863668246,7698.86266801495,-6426791354.30909,-20.8000365086888,38.45523192752179,10.010851453342001,18127.1567319641,17590.0,38694949241.8428,6.05159997940063,48.00000190734863,596.7999877929688,3282.906051224465,0.0,17.513030637067,1.0,0.4800134,0.5622184,2.0,1.007933,0.8289153,37.5,0.818,121345.0,104.21336,103.92124,73.0433,195745.0,32.72269821166992,0.55379
2008-01-01,4.02230580857391,7.091772872000001,33.7049355819667,7847.895182688844,-4483621315.02016,-12.5739566494545,39.4735930521554,-3.34636707932168,19466.145094856798,19220.0,41843403068.0053,7.73890018463135,50.0,178.0,5386.736197556742,0.0,17.7799147867666,1.0,0.5584953,0.2045949,2.0,1.024673,0.7807863,37.2,0.821,117129.0,103.5486,104.89757,72.36354,182805.0,32.30350112915039,0.58139
2009-01-01,-0.571493336036068,7.175544527,38.3941409605993,7985.569996292371,2059020546.0826,7.843618646242208,42.4713440337353,-14.2381467273088,16924.0311510137,18110.0,38785626347.1369,17.5146999359131,45.0,116.6999969482422,6460.0,0.0,17.999986012584,1.0,0.6238099,0.34845970000000004,2.0,0.9855881,0.8499379000000001,35.9,0.8190000000000001,114236.0,102.9181,99.4204,73.05489,158325.0,44.46770095825195,0.4527100000000001
2010-01-01,1.99605492455877,7.184419467000001,33.0640004053054,8111.134787439715,434885510.678211,1.82754811175616,53.5699534578098,-4.47344119778778,17587.3459638947,17770.0,37263160219.0827,19.4822998046875,43.00000190734863,100.0,6500.0,0.0,18.178634653240604,2.0,0.70881,0.527854,2.0,0.9836758,0.7942439,35.0,0.8170000000000001,113691.0,102.9586,102.8222,69.05104,147375.0,58.38410186767578,0.61078
2011-01-01,5.37948468770827,7.220645295,35.533921799825286,8224.981768618265,-921392612.033279,-3.26196499389522,57.769603832414504,6.285118614934231,19789.4764031104,19770.0,40718161792.4694,16.2063999176025,41.943001747131355,88.0999984741211,5770.0,0.0,18.485534555146398,2.0,0.6981383000000001,0.3200021,2.0,0.9598081,0.7367753,35.8,0.8220000000000001,113668.0,102.2857,105.5658,67.95347,136448.0,57.62900161743164,0.69662
2012-01-01,3.83652034613006,7.7456410610000015,40.3656247937447,8327.11093982802,-1026550014.5006199,-3.64401992275315,61.198879114376496,4.13423164998356,21291.1197025538,21140.0,43009430938.9659,15.0466995239258,49.0,114.5999984741211,5770.0,65.0,18.764137155053398,2.0,0.8384485,0.4536267,2.0,1.016595,0.7755156,35.2,0.825,113410.0,101.0487,106.3448,66.64355,124802.0,63.68709945678711,0.6642399999999999
2013-01-01,3.2674990677463502,7.716841552999999,39.6030380302764,8417.753907656544,-829023257.0283049,-2.73817533672325,60.2606199452678,2.3280042634440203,22692.8534428152,22640.0,45570221790.6118,11.8674001693726,53.0,168.89999389648438,6000.0,115.0,19.0245076057834,2.0,0.8890268,0.5936353,2.0,1.043866,0.7704234000000001,35.5,0.8340000000000001,114036.0,100.388,114.7768,69.0766,126942.0,46.419898986816406,0.6122
2014-01-01,3.3173762986513595,7.875882186,40.236061603677705,8496.41535533975,-719686383.360026,-2.29325247795858,61.2021916139423,1.91519037794332,23844.2261210006,23770.0,47389146198.3771,10.846300125122099,55.0,57.79999923706055,6150.0,151.0,19.2751008178728,2.0,0.9585503,0.4872684000000001,2.0,1.1716540000000002,0.8494349,35.1,0.836,114582.0,99.8206,113.7069,70.89794,121580.0,69.65689849853516,0.6893
