year,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Foreign_direct_investment_net_inflows_perc_of_GDP,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils
2005-01-01,-7.295190145662709,49.026141836976336,1.0,1.558452,1.384696,1.0,1.607823,1.532292,0.8859999999999999,2242.0,106.81277,107.8243,24.58022,3142.0
2006-01-01,1114.89414939,51.54434023122778,1.0,1.8007419999999998,1.3489950000000002,1.0,1.3501379999999998,1.2448549999999998,0.89,2247.0,107.51196000000002,107.01107,29.81716,3190.0
2007-01-01,728.886304581801,54.475849727619114,1.0,1.763524,1.340644,1.0,1.377706,1.297656,0.893,2244.0,107.11217,106.34228,31.625940000000003,3169.0
2008-01-01,319.10027025323797,54.2002602521037,1.0,1.795092,1.337765,1.0,1.398468,1.317131,0.899,2158.0,105.52567,107.56612,36.73095,3213.0
2009-01-01,664.548116240499,58.990029350002395,1.0,1.802307,1.553991,1.0,1.515809,1.545567,0.899,2133.0,105.69871,105.68449,34.44495,3142.0
2010-01-01,587.835233729843,58.6944666541105,1.0,1.783509,1.544087,1.0,1.527577,1.586912,0.904,2067.0,105.4592,108.8793,36.01831,3274.0
2011-01-01,460.191752505652,61.4328821752533,1.0,1.770325,1.49058,1.0,1.502858,1.563959,0.909,2014.0,104.9505,111.4566,43.6751,3298.0
2012-01-01,540.376166318964,61.921724688055,1.0,1.789564,1.3892,1.0,1.559538,1.50603,0.91,1980.0,103.828,110.3739,42.49668,3277.0
2013-01-01,18.068905089229396,60.468792410835505,1.0,1.754486,1.397172,1.0,1.580631,1.486974,0.912,1947.3443946442383,104.50193061768852,112.76578981959224,41.819503052424295,3333.3173975524014
2014-01-01,140.300947686665,62.592026273653204,1.0,1.705179,1.458862,1.0,1.428384,1.3957469999999998,0.9109999999999999,1929.0,102.661,115.5578,37.48871,3387.0
2015-01-01,1282.63255152283,63.134441442216605,1.0,1.6890490000000002,1.45784,1.0,1.389856,1.3876700000000002,0.912,1938.0,105.6654,116.1234,33.54204,3349.0
2016-01-01,976.241517469867,59.92874030385276,1.0,1.7058490000000002,1.477927,2.0,1.372598,1.250291,0.915,1956.0,105.491,116.0284,35.02262,3272.0
2017-01-01,212.25638862007787,60.82681201994598,1.0,1.764887,1.481056,2.0,1.493829,1.277913,0.9159999999999999,2020.666134417057,104.49815998245478,111.87651508942126,39.59653700292826,3284.9718616604805
2018-01-01,366.5120411140991,59.438081271668445,1.0,1.739037,1.484191,2.0,1.532828,1.319968,0.917,1977.4178951382637,103.73518011269927,110.63030808697224,38.441376067898275,3293.0945212841034
