year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,4.94792285067614,3.496688176,17.5096091951111,4570.320393951457,-1919874860.50662,-7.34864128832281,53.842237324817496,7.72740790166723,14526.0824049391,14330.0,47618024251.7978,8.32460021972656,225.8000030517578,8767.489300402027,0.0,15.9858300829957,1.0,0.7792079000000001,0.7771922,1.0,1.003807,0.9021329,35.3,0.81,158105.0,102.84456,104.49724,79.72981,423706.0,35.19329833984375,0.74741
2006-01-01,7.477218898629731,3.117779727,17.4624281846828,4681.549147237273,-3221801193.21659,-10.662545574538,55.620271080345496,7.406444212776848,16484.592020261898,16170.0,52874509649.8103,5.78039979934692,336.5,8461.36280762625,0.0,16.3197495864028,1.0,0.7263384,0.8703759,1.0,0.9738994,0.8612876,34.4,0.8190000000000001,150422.0,102.02875,107.00485,82.45318,410507.0,30.268999099731445,0.79119
2007-01-01,6.546916553744071,3.703652301,17.0621308375779,4784.460962078971,-6110167739.71175,-15.3760633424312,50.3583079476632,11.086954275977002,19095.436767478997,18380.0,59379807157.0296,4.25,396.6000061035156,8231.45222067569,0.0,16.6143394559034,1.0,0.7018701999999999,0.8172772,1.0,1.084034,0.8865519000000001,34.8,0.826,143814.0,101.10445,106.92929,82.51583000000002,393889.0,37.970401763916016,0.80093
2008-01-01,3.610534683911109,3.827380219,18.3338324622482,4879.0558384765445,-6488341255.22471,-13.5595956565747,57.139005984093295,2.62807796119264,20744.1275295851,20040.0,64082503156.1784,5.8259000778198216,300.0,8077.757539550279,0.0,16.8686514995183,1.0,0.6169906,0.7462569,1.0,1.123981,0.8496562,35.7,0.831,135719.0,99.49927,106.10878,85.74509,376683.0,40.70309829711914,0.7884399999999999
2009-01-01,-0.9621239288531128,4.068911119,20.0864826899959,4965.558730061957,870122235.311432,2.3240026273167302,51.939199297801196,-14.8141631583267,18145.8529229608,18480.0,58465191778.0941,13.7849998474121,65.80000305175781,8000.0,160.0,17.0855612018571,1.0,0.6935584,0.6312088,1.0,0.953743,0.9021598,37.2,0.821,129496.0,99.94983,104.75588,89.25216999999998,358395.0,36.18709945678711,0.82967
2010-01-01,2.97844580659466,3.790375149,21.457652359323607,5043.496943438565,72423566.0274165,0.19560868853699806,64.1219260013155,1.48223244137165,20039.0100196939,19910.0,61661776427.2107,17.814100265502898,100.0,8000.0,90.0,17.2713117545976,1.0,0.7432536,0.7152606,1.0,0.962145,0.9156346,33.6,0.8240000000000001,122458.0,100.4215,105.0683,86.57257,342905.0,38.99549865722656,0.7834800000000001
2011-01-01,4.33293886930449,3.994987097,22.738272612436,5113.118218371053,-1592642666.40219,-3.6680725267155294,73.07570469489241,6.02563809108096,22823.918385247798,22150.0,67086582717.6793,15.390399932861301,96.9000015258789,8100.0,100.0,17.5653004164555,1.0,0.7037992,0.6712003000000001,1.0,0.9313331,0.8605259,32.5,0.831,115581.0,101.2518,106.0082,84.05559000000002,325215.0,45.92279815673828,0.9039
2012-01-01,1.5799513596328798,4.646998954,23.9225824954477,5174.42255485942,-686066798.88896,-1.60196468986707,78.4108732543267,3.833302764286701,24645.5690883586,23870.0,71326513424.6408,13.364800453186,175.39999389648438,8400.0,94.0,17.8460388742829,1.0,0.8334090000000001,0.7862099,1.0,1.123943,0.9295096,35.1,0.835,111389.0,101.8544,106.1735,79.75163,304753.0,53.34560012817383,0.89469
2013-01-01,1.53756635737608,4.534840142,26.3425134741084,5227.54369957697,791119636.130651,1.7031275826725,78.7912371631878,3.5584246313476604,26680.034163406406,26090.0,77165476224.9392,11.769900321960401,196.5,8500.0,106.0,18.122132290040298,1.0,0.8317370999999999,0.9645323,1.0,1.154193,0.9400197,35.3,0.84,108972.0,101.7546,108.9944,73.5332,294274.0,48.58929824829102,0.95088
2014-01-01,0.735341378941383,4.879503706,27.705052482941603,5272.19137304437,1651986577.22858,3.40719976852759,72.34270347862491,3.5079712171273303,28156.1358105285,27820.0,81588223672.8481,10.698100090026902,193.1999969482422,8580.0,80.0,18.4012637401283,1.0,0.9826534,0.7421364,1.0,1.193723,0.9615911,37.7,0.852,108057.0,101.5756,108.1848,70.40061,277349.0,56.76839828491211,1.0304799999999998
2015-01-01,2.52142105939556,5.486382337999999,28.9611792543763,5311.260636924659,-1014920719.00692,-2.45194964150909,68.8216339729772,2.03314807367339,28823.8128915519,27780.0,80707951345.2788,9.11999988555908,264.70001220703125,8640.0,0.0,18.6855532968607,1.0,1.184934,0.759794,1.0,1.277035,0.97391,37.4,0.855,108038.0,102.0893,107.6729,69.74054,263242.0,60.362098693847656,1.04116
2016-01-01,2.23713298181508,5.189695747,27.854492634740314,5330.313358636601,-344691889.622578,-0.8011996422156629,67.5794281300519,2.5559395670822203,30334.1908669113,29220.0,83815311561.9158,7.86210012435913,344.8999938964844,8640.0,0.0,18.9684439517892,1.0,1.070065,0.8282799999999999,1.0,1.136219,0.9999698,35.62262938022614,0.86,110193.0,102.8918,107.4298,71.11851999999998,250870.0,59.5786018371582,0.84724
2017-01-01,2.50128959295448,4.728255303650489,26.0177229399524,5371.1069043035295,462920668.992767,0.971849445504838,73.6057866057133,4.24757675412258,33314.7403681721,32070.0,90716124847.4995,7.073200225830081,353.29998779296875,8640.0,0.0,19.3009523394487,1.0,0.965337,0.7756185999999999,1.0,1.15609,0.9854785,35.91013853549957,0.866,113825.0,103.8747,108.4018,72.41745999999998,242640.0,61.65119934082031,0.8925
2018-01-01,1.6239374189461802,4.593068806584441,28.75229715239217,5253.439500193324,817584208.600275,1.53022364649553,75.6209017868972,3.64475653175535,35461.3590993235,34320.0,95743837672.3015,6.14709997177124,194.83188432282668,8640.0,0.0,19.7050331564608,1.0,1.072398,0.752799,1.0,1.113281,0.9233596,38.130027055740356,0.8690000000000001,109972.53077757359,101.59339224431842,108.21447638108731,73.38024774920403,321286.8531974554,63.08200073242188,1.0233531696891787
