year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,building_permits_annual,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,Research_and_development_expenditure_perc_of_GDP
2005-01-01,340.921455859394,0.6375413839999999,0.181221953745254,124.162822946273,-418293151.785524,-6.54109261489936,104.371754730558,3.78365225854667,22232.4828863504,21520.0,8691938430.874409,5.976600170135501,201.8000030517578,0.0,13.6929665664162,1.0,0.8227610999999999,1.380162,1.0,1.062275,1.233854,28.0,0.828,29596.0,100.24047,101.93563,32.343270000000004,40129.0,0.52996
2006-01-01,370.503917502097,0.6360620779999999,0.213177333796044,124.162822946273,-530459806.469372,-7.8503836122006,123.45481888565,1.82871688381287,23223.977125255802,22380.0,9072563907.17065,5.976600170135501,239.8999938964844,0.0,13.959904313756402,1.0,1.025022,1.230478,1.0,1.115418,1.203782,28.0,0.826,28922.0,101.10113,97.98584,30.63242,38335.0,0.58025
2007-01-01,451.639312153397,0.625379626,0.26527696010801005,124.162822946273,-159302726.4515,-2.02147758481052,129.537125488493,3.98644870571982,24893.2011506819,24110.0,9806477135.54573,5.976600170135501,274.39999389648443,0.0,14.2414405225425,1.0,1.20634,1.268684,1.0,1.144283,1.242635,29.2,0.831,27805.0,100.89629,99.94029,33.60277,38499.0,0.5485
2008-01-01,165.283757570523,0.6372590370000001,0.25004758224093304,123.3762743369054,-77693874.56794742,-0.8654626293918399,148.476838481244,3.34651273129842,26193.1828466192,25530.0,10452895795.4743,5.976600170135501,165.5,0.0,14.596657802003,1.0,1.279612,1.272665,1.0,1.201846,1.249736,29.0,0.833,26772.0,101.00736,100.20958,32.41837,37774.0,0.5333100000000001
2009-01-01,16.942269881001,0.624949616,0.263477405687031,122.5897257275378,-557609606.52769,-6.53841909846921,147.73564004821898,-2.46227772166621,26139.5081810283,24360.0,10046578422.8121,6.888800144195559,123.5999984741211,0.0,15.0778030479745,1.0,1.173995,1.248981,1.0,1.366899,1.152722,30.2,0.835,24674.0,96.80634,102.22534,35.51165,37468.5,0.5174
2010-01-01,105.66712753779899,0.622315573,1.38720713429593,121.80317711817021,-419944052.33630097,-4.79981511746756,153.25554966285299,3.5426832138318503,27809.106496917997,26350.0,10922702218.5833,6.8474001884460405,100.0,788.0,15.6916184071087,1.0,1.192727,1.253456,1.0,1.430892,1.1672129999999998,29.0,0.847,24985.0,101.7305,104.2411,37.38576,37163.0,0.6066699999999999
2011-01-01,82.091435557281,0.616438671,2.02662069286477,121.01662850880261,-13070293.3154778,-0.137437087456637,160.49552813476498,1.30715274940421,28585.8204520107,27660.0,11513228958.232,6.378099918365481,87.69999694824219,0.0,16.219470738352097,1.0,1.195341,1.063937,1.0,1.339909,1.143347,29.1,0.848,24075.0,101.215,93.30612,39.9993,32227.0,0.6733100000000001
2012-01-01,36.087355891697,0.605193709,2.5950718550485896,120.23007989943501,151308332.458471,1.64289263066602,165.247834133142,2.79120545970801,29437.1690292596,28240.0,11862318928.1043,6.196100234985349,66.59999847412111,0.0,16.8417459086933,1.0,1.247961,1.065075,1.0,1.327936,1.165388,29.4,0.8540000000000001,23567.0,100.7826,94.04103,42.4792,31768.0,0.82639
2013-01-01,5.0229911232806,0.605767861,2.58053294700436,118.2200570015265,270411855.303124,2.66298526791038,156.98259356995,4.61087911489851,31080.2683827856,29720.0,12659908145.3617,6.1055998802185085,55.20000076293945,0.0,17.52219283775,1.0,1.257873,1.042758,1.0,1.298451,1.156572,28.8,0.861,23655.0,101.7069,94.07425,43.89137,30989.0,0.77284
2014-01-01,1.3790026578365,0.6075139479999999,3.9301008625669502,116.21003410361799,991367813.0503052,8.77027202801873,148.84827071203998,8.7063152210366,33391.1106767158,32100.0,13947928382.6205,5.72469997406006,59.4000015258789,0.0,18.189108710660502,1.0,1.028362,1.125497,1.0,1.083089,1.184266,29.0,0.868,24071.0,102.8235,94.43334,44.33584000000001,30230.0,0.71499
2015-01-01,33.97591855000611,0.604136852,5.355004746418969,121.89183537254739,300472065.748363,2.8040761393842,153.767824830159,10.818180011865401,36195.5631907797,34280.0,15255099147.4281,5.37900018692017,81.80000305175781,0.0,18.7912141138807,1.0,0.8504284,1.063939,1.0,1.168855,1.202808,29.4,0.877,24556.0,103.5492,94.90859,47.12258,29434.0,0.7498100000000001
2016-01-01,27.44650976548,0.598082175,2.8808240048865716,118.71758269530582,434974438.914079,3.79794300906592,151.899769838095,5.675698853915992,38347.8685746424,35150.0,16004165626.3758,4.69025015830994,169.10000610351562,0.0,19.379174816611897,1.0,0.9557845,1.080441,1.0,1.156792,1.196308,29.15154309272766,0.8809999999999999,25177.0,103.9727,95.80822,48.60341,28776.0,0.5757
2017-01-01,31.197655088173494,0.6144562508909909,3.1119185425562623,120.29991867443869,1345591322.4165099,10.5382247999121,149.770954264223,6.724325981125518,41510.2890088613,38120.0,17839508333.6577,4.00150012969971,43.662212512711,0.0,19.887288694846,1.0,1.004372,1.24914,1.0,1.28226,1.169982,28.90523372888565,0.883,23131.818450771272,101.57862495209217,94.83469639655532,45.746379652917376,33188.11477616429,0.54929
2018-01-01,32.535788187150104,0.6134117714147272,3.933377494320107,117.21033518341338,1433226277.63042,9.84803564518147,144.86553883247,6.77232811144415,42581.097861574905,39230.0,18970477590.4081,3.6582000255584703,40.894545741822,0.0,20.3493242997122,1.0,0.968796,1.294193,2.0,1.336778,1.123317,29.20476688146591,0.885,24708.54772749241,102.43281271353005,94.7461789154634,43.570981669599405,32634.976678043604,0.7259905201256276
