year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,30.636560659443607,0.8954828770000001,2.77163052273277,679.1632819952755,41570269413.239,6.06783176013518,65.632085215917,2.05087607391015,37625.5617084958,37110.0,605553877381.32,5.87249994277954,86.00000381469727,86.0999984741211,14.1336632786217,1.0,1.942671,0.9889213,1.0,1.655154,1.66602,29.0,0.8909999999999999,1277990.0,106.73933,118.37361,58.68984,1410547.0,57.634498596191406,1.79103
2006-01-01,51.204839834092105,0.878594422,3.1518382813217203,675.2007095114983,57194899544.2723,7.799224428315211,68.1811183379922,3.4609890013287403,40971.260760581805,41290.0,674915016939.327,5.002399921417241,86.99999809265137,119.5999984741211,14.328844896718099,1.0,1.788718,0.9029117,1.0,1.682698,1.539821,30.0,0.897,1277478.0,107.04435,118.60428,59.65945,1423262.0,63.97760009765625,1.7567
2007-01-01,86.5890857692071,0.8707373190000001,3.72163378096634,671.481145786126,50053545967.9086,5.906151894335,68.7754574672546,3.77284251780152,43896.738702196,43880.0,718773191673.703,4.15269994735718,90.0,118.0999984741211,14.535706961828401,1.0,1.728333,0.7785201,1.0,1.799105,1.523433,29.6,0.904,1280571.0,107.72906,119.47656,59.94198000000001,1444057.0,65.20890045166016,1.6863400000000002
2008-01-01,20.625589993559306,0.893305355,3.97398479546157,668.0045908191586,38962664854.2201,4.109995904804411,69.79363347847179,2.1703247896893503,46420.2016795592,45110.0,741916192385.952,3.65420007705688,88.99999618530273,122.1999969482422,14.77371218819,1.0,1.696206,0.8650271,1.0,1.775021,1.483086,29.3,0.9059999999999999,1285543.0,108.27075,120.44203,60.33618000000001,1460503.0,69.26119995117189,1.6430900000000002
2009-01-01,11.041793588559,0.908718502,4.41013166760311,664.7625193806216,50062869721.6387,5.76709850260314,62.2370135170171,-3.666884024935,44566.0618961764,44130.0,729474044118.514,4.34700012207031,88.99999618530273,108.3000030517578,15.069257738894699,1.0,1.739726,0.9449179,1.0,1.699952,1.464389,27.9,0.9059999999999999,1290029.0,108.4438,120.60618999999998,61.16703,1462461.0,68.08789825439453,1.6854
2010-01-01,13.673451529465,0.890324296,3.87316274177259,661.7726477078838,61803347055.1226,7.300571696552991,69.8036724776943,1.34273944410323,45040.3180778936,45170.0,750559058860.995,4.98899984359741,88.00000190734863,100.0,15.4374741539504,1.0,1.729366,0.9407501,1.0,1.731538,1.450569,27.8,0.9109999999999999,1294015.0,108.2761,122.0791,63.71601999999999,1474983.0,70.14739990234375,1.72475
2011-01-01,36.7300267334479,0.861264085,4.69671405687638,659.0257847935509,81373336077.922,9.00061916746851,75.50306830535129,1.5511892518081998,46599.02103045,47250.0,788764031504.728,4.97730016708374,88.9449691772461,83.5,15.888955277311,1.0,1.7888990000000002,1.113631,1.0,1.811241,1.537048,27.7,0.922,1291665.0,107.4966,128.1791,75.87855,1538898.0,67.54360198974611,1.90306
2012-01-01,28.566999307588606,0.8560502240000001,4.962298742534268,656.521930637623,89514058235.6887,10.6695017445524,79.5033738356974,-1.03035400660274,47272.1030187972,48080.0,805602323121.5609,5.82089996337891,84.0,55.9000015258789,16.3940104241108,1.0,1.8134,1.187465,1.0,1.753006,1.605585,27.6,0.9209999999999999,1277199.0,105.8301,128.9925,76.60667,1550175.0,71.49970245361328,1.93945
2013-01-01,37.4807348626119,0.8563349170000001,5.02497632448663,654.255224943854,85496733373.1877,9.74962257658101,79.880477786038,-0.130175228639018,49241.5178406305,49910.0,838682680044.001,7.243000030517581,83.0,56.0,16.9250017009527,1.0,1.783959,1.143815,1.0,1.7704490000000002,1.566973,28.1,0.924,1294635.2385025024,106.15144180508769,130.37587869594572,78.72335645125483,1568165.5166936237,83.10659790039062,1.95267
2014-01-01,13.2019937569918,0.860316495,5.6596277365589,652.2380540821558,75952978907.9213,8.52464333017881,80.5779081541485,1.4233954098743702,49233.2153954401,49110.0,828263670286.029,7.4158000946044895,83.0,70.80000305175781,17.4415449959725,1.0,1.817106,1.045115,1.0,1.769266,1.547281,28.6,0.925,1293226.0631129218,105.452939533651,131.86759045066538,79.34404790571746,1600520.6049475262,80.15519714355469,2.00116
