year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,3.2564815851750697,8.330049302,58.591809531288995,83361.68880998123,49967488000.0408,16.1767660512487,43.4025448407452,2.62545762627546,47797.529947205185,48300.0,223283670197.81,4.38070011138916,88.99999618530273,225.3999938964844,28500.0,1051.0,14.8150490764543,1.0,1.864108,1.296116,1.0,1.479817,1.640593,30.6,0.932,429652.0,98.5115,113.75949,78.52335,403026.0,64.69400024414061,1.48317
2006-01-01,3.43708452552289,8.220334686000001,57.0596904305054,82222.76082954655,55913071665.1842,16.1794230026808,44.64456122477061,2.39979082117745,54104.2892735293,54120.0,252226786011.118,3.3986001014709504,88.00000190734863,211.8000030517578,29390.0,1002.0,14.7689682460538,1.0,1.879103,1.253358,1.0,1.2214200000000002,1.54218,26.4,0.9359999999999999,429680.0,98.59501,113.94465,77.67086,412311.0,70.79679870605469,1.4559799999999998
2007-01-01,6.18702811310606,8.149271545,57.390065525032504,81118.6215440441,49732367558.4286,12.404032337927498,43.2984720699285,2.99425185125679,55876.5039239364,55720.0,262412431409.036,2.49340009689331,86.99999809265137,196.8999938964844,35300.0,1451.0,14.733879419468801,1.0,2.024723,1.145414,1.0,1.329298,1.549855,27.1,0.938,430747.0,99.07673,113.58016,75.48997,419698.0,70.48500061035156,1.56401
2008-01-01,4.451751148753879,8.097107421,58.493732534099905,80049.27095347388,72915061387.0417,15.7739451351091,45.9167117360736,0.476379999491613,61716.599712842195,61480.0,293138235484.347,2.54990005493164,79.00000095367432,123.0999984741211,35900.0,1111.0,14.7250513988731,1.0,1.84209,1.28515,1.0,1.372778,1.548039,27.0,0.938,429585.0,99.26473,112.57491,72.59347,423598.0,79.35140228271484,1.55346
2009-01-01,2.23614134903134,7.910070165,56.770925090869504,79011.92242799368,45169002358.6256,11.696045286405196,39.23567859909139,-1.7270203094871297,55375.5762805934,55740.0,269175461487.219,3.10290002822876,86.00000381469727,93.6999969482422,36500.0,752.0,14.7697213585346,1.0,1.841375,1.27541,1.0,1.467539,1.54888,26.2,0.938,426769.0,99.15568,111.31356,73.17962,425141.0,80.21269989013672,1.72279
2010-01-01,5.04581003263603,7.854990947999999,56.4245557827767,78012.24453878091,50258127255.8711,11.7218197596441,39.7598437031518,0.7018338238623579,57915.0193733858,58580.0,286431243846.263,3.521399974823,86.00000381469727,100.0,36800.0,1072.0,14.8873344770377,1.0,1.878928,1.3323120000000002,1.0,1.514319,1.5950879999999998,25.7,0.9420000000000001,424052.0,99.08012,112.6066,73.49386,435085.0,81.86869812011719,1.64855
2011-01-01,2.06635867883482,7.662680464,56.5293289729021,77047.35534450042,66453557988.1617,13.3364974349351,41.27396485745071,0.981469497299358,62076.740657668604,62730.0,310701643205.307,3.2149000167846697,89.89853858947754,155.10000610351562,37700.0,1211.0,15.1103705694648,1.0,1.837559,1.337977,1.0,1.6090209999999998,1.626358,25.3,0.943,423333.0,99.40241,112.1876,73.66792,437010.0,82.61150360107422,1.62534
2012-01-01,5.4754901733455,7.563170836,58.275850390078496,76117.2548451522,63595359982.8121,12.4817608423334,40.6824371898883,2.7030738548426605,65354.7792483883,65990.0,331152578513.979,3.12280011177063,85.0,154.8000030517578,38500.0,1598.0,15.403985352959301,1.0,1.909127,1.32747,1.0,1.5468110000000002,1.728163,25.7,0.9420000000000001,423351.0,99.88345,110.5704,73.57134,432546.0,81.61109924316406,1.61858
2013-01-01,-0.261803343835658,7.439618422000001,57.7259495348125,75219.53791799318,53449786436.0721,10.2245064284443,39.1971735047655,1.03407291353631,66961.2530988205,67770.0,344244308199.849,3.42309999465942,86.0,158.60000610351562,38800.0,1673.0,15.7314711912991,1.0,1.884967,1.352092,1.0,1.6665470000000002,1.737975,26.4,0.946,424993.0,100.2236,113.1849,76.50003000000002,442563.0,79.49919891357422,1.6500400000000002
2014-01-01,0.6505165950245501,7.418493302000001,57.1964019487249,74359.1101200024,54964662112.8759,11.0280003553635,38.996355721797,1.9695443007939,65892.6892787813,68100.0,349842613934.341,3.48379993438721,86.0,148.6999969482422,37050.0,1544.7368421052633,16.0400523893654,1.0,1.828457,1.119959,1.0,1.646469,1.684087,26.8,0.945,425917.0,99.82749,112.7667,77.5435,439250.0,84.69419860839844,1.71187
