year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,3.60669456257042,1.941205864,7.21471645015734,1406.2723597235572,-7981000000.0,-2.60710346018246,34.6096996571318,3.4936676370294704,13895.923541690601,13650.0,521089422492.564,17.7458992004395,34.00000095367432,79.80000305175781,70000.0,2000.0,13.0771343254672,1.0,0.4783568,0.3616216,1.0,0.8279472999999999,0.9443723,35.8,0.8079999999999999,2723661.0,94.52988,99.58298,63.59458000000001,3444903.0,35.72919845581055,0.56281
2006-01-01,6.228595881191668,1.7944432540000002,7.18396505457932,1406.0935751058132,-13893000000.0,-4.02989254307251,37.863985104091896,6.1796413460656785,15142.184873536298,14820.0,565363690053.952,13.8404998779297,37.00000047683716,121.3000030517578,72644.0,2600.0,13.179711871764601,1.0,0.3737843,0.3536567,1.0,0.7275951999999999,0.8035325,34.7,0.813,2602020.0,94.56269,98.65075,65.36471999999999,3316939.0,14.704384210377313,0.55082
2007-01-01,5.83386773380038,2.011540509,7.27576452403753,1406.06538833637,-27429000000.0,-6.392759301282831,38.564590078351,7.0348283011714186,16787.9702463152,16220.0,618483086700.698,9.60169982910156,41.99999809265137,179.3000030517578,72670.0,3214.0,13.211741830658903,1.0,0.3872338,0.6827373000000001,1.0,0.7722009,0.8795023999999999,34.0,0.8190000000000001,2484820.0,94.68037,98.08262,67.212,3205849.0,33.911800384521484,0.56189
2008-01-01,2.730155287158,1.954348608,8.01054019560925,1406.187799415227,-35829000000.0,-6.711865910771508,37.8569890106985,4.24960850275163,18310.4432086685,17990.0,685875316122.792,7.117599964141848,45.999999046325684,155.60000610351562,76120.0,3410.0,13.225156560302,1.0,0.4732433,0.9104813,1.0,0.8322434000000001,0.9534822,33.5,0.8240000000000001,2375205.0,94.79737,97.14995,70.22705,3085019.0,40.75329971313477,0.59921
2009-01-01,3.18897736349008,2.041332122,8.84206269227445,1406.4617631756716,-17867000000.0,-4.062563889731,37.1844501708196,2.8202597590215803,19246.4486754828,18670.0,712241133620.83,8.16679954528809,50.0,102.3000030517578,80776.0,4971.0,13.2964621637156,1.0,0.5317568,0.9380806,1.0,0.9520382,1.026881,33.4,0.828,2294369.0,95.52591,96.24036,72.31267,2958193.0,41.8036003112793,0.66097
2010-01-01,3.8377167546070097,1.98800844,9.488623858177133,1406.8857825479738,-25843000000.0,-5.3915799994188,40.055130499039,3.60692826143993,21048.3305213108,20300.0,772129450031.8291,9.637200355529787,53.00000190734863,100.0,83937.0,3161.0,13.4726258936883,1.0,0.640949,1.0173299999999998,1.0,0.9808911,1.037602,33.2,0.835,2234937.0,96.52896,95.94371,74.75525,2841629.0,45.03979873657226,0.7207
2011-01-01,3.4954377773125804,1.915478037,10.4378791791655,1407.4603997685767,-27322000000.0,-5.166478277075151,42.5631723792845,5.017235199938,22850.6388460286,22030.0,838395069678.21,9.63169956207275,54.824180603027344,116.6999969482422,87488.0,5163.0,13.778116031593196,1.0,0.6207488,1.072063,1.0,0.9282178,1.027628,33.2,0.84,2191659.0,97.48154,95.89886,74.65850999999998,2726279.0,42.48139953613281,0.74588
2012-01-01,1.47053880970281,1.958315587,10.915143247271097,1408.1856148374802,-18572000000.0,-3.7117214968470496,44.443592064685404,1.60790664456468,23833.2097049187,22940.0,873340912431.354,10.0876998901367,58.0,105.8000030517578,91348.0,5599.0,14.187123649947901,1.0,0.6756304,1.049479,1.0,0.9604836,1.064276,33.0,0.836,2187172.0,99.98213,96.21341,73.96146,2611081.0,48.49169921875,0.8808600000000001
2013-01-01,0.151649742439925,1.942916136,11.4133798111271,1409.0640341057515,-6709000000.0,-1.27977122267856,46.319833181945704,1.39189232124922,24719.2475053521,23890.0,908857038270.8728,10.325900077819801,60.0,84.69999694824219,96544.0,5196.0,14.6752083001326,1.0,0.7225148,0.973355,1.0,1.04645,0.9981389,33.1,0.851,2160861.0,100.3344,107.351,71.8564,2777727.0,34.771900177001946,0.8705299999999999
2014-01-01,3.62603488662718,2.072696332,11.569315527574801,1410.0908574681,-11405000000.0,-2.09116746976047,47.56892172305761,3.3184475370007904,25612.257831143797,24670.0,937591885654.916,8.989800453186039,61.0,110.6999969482422,98810.0,5580.0,15.198919621331902,1.0,0.8273835999999999,0.8429408000000002,1.0,1.054908,1.105113,32.8,0.853,2152655.0,100.1411,106.9047,68.44717,2641287.0,38.8927001953125,0.94014
