year,clean_footprint,Renewable_energy_consumption_perc_of_total_final_energy_consumption,Renewable_internal_freshwater_resources_per_capita_in_cubic_meters,Current_account_balance_BoP_current_US_dol,Current_account_balance_perc_of_GDP,Exports_of_goods_and_services_perc_of_GDP,Foreign_direct_investment_net_inflows_perc_of_GDP,GDP_growth_annual_perc,GDP_PPP_current_international_dol,GNI_per_capita_PPP_current_international_dol,GNI_PPP_current_international_dol,Unemployment_total_perc_of_total_labor_force_national_estimate,corruption_perceptions_index,building_permits_annual,existing_lifts,new_lifts,Population_ages_65_and_above_perc_of_total_population,civil_liberties,Government_Effectiveness_Estimate,Political_Stability_And_Absence_Of_Violence_Terrorism_Estimate,political_rights,Regulatory_Quality_Estimate,Voice_And_Accountability_Estimate,GINI_index_World_Bank_estimate,Human_development_index,Primary_education_pupils,School_enrollment_primary_perc_gross,School_enrollment_secondary_perc_gross,School_enrollment_tertiary_perc_gross,Secondary_education_pupils,internet_users_for_authority_servicies,Research_and_development_expenditure_perc_of_GDP
2005-01-01,1.70804917151351,1.217687816,18.0728003933157,3636.059030189964,-18936787439.7129,-9.60379129218329,27.084167545953694,0.78184755398037,22725.2774946084,22420.0,235520718575.134,7.58169984817505,65.0,396.70001220703125,106700.0,4737.0,17.2039764019491,1.0,1.056517,1.01761,1.0,1.280887,1.430305,38.5,0.8,752739.0,118.08152,97.93074,55.43176,669529.0,43.76169967651367,0.75707
2006-01-01,6.42170578549772,1.274718966,22.331751369642802,3617.6364792404274,-21356231609.2249,-10.2387851532604,30.357404441100197,1.62503441216619,24657.104822569,23960.0,252079949002.92,7.64739990234375,65.99999904632568,377.6000061035156,110500.0,4100.0,17.4497359817051,1.0,0.8745383,0.9529556,1.0,1.065522,1.232662,38.1,0.8029999999999999,750493.0,118.0026,98.4939,55.39791999999999,661748.0,46.37969970703125,0.95455
2007-01-01,2.5041102075137203,1.223624849,23.1481360680146,3604.2995119778498,-23226935476.2678,-9.670201832343821,31.1941845713373,2.50657998891496,25708.2461922016,24970.0,263254571065.825,7.96369981765747,65.0,352.1000061035156,130000.0,3894.0,17.7010374304027,1.0,0.9007416,0.8218184999999999,1.0,1.08139,1.231421,36.7,0.81,753646.0,117.00543,101.96286,57.79474,680338.0,49.0276985168457,1.12427
2008-01-01,2.98045780684778,1.255643594,23.1891693537966,3596.0481284022285,-31230591785.5068,-11.904407565824199,31.261079078386803,0.319247504423984,26665.837295293906,25770.0,272098077805.794,7.55170011520386,60.999999046325684,236.6999969482422,140000.0,3579.0,17.9761071734165,1.0,1.085485,0.9884541,1.0,1.1004120000000002,1.201864,36.6,0.8140000000000001,754142.0,115.68991,103.69304,61.6109,691701.0,42.14490127563477,1.4452
2009-01-01,2.2920770351112,1.239313056,24.8945429909406,3592.880640728656,-25121217594.4793,-10.3081858996522,27.2937427180784,-3.12207907853588,26464.310805365498,25580.0,270338987023.29895,9.43190002441406,58.00000190734863,110.5999984741211,143000.0,2789.0,18.293490717136894,1.0,1.156265,0.7876344,1.0,0.9914032,1.128243,34.9,0.8170000000000001,743662.0,113.17334,105.90389,62.64161,709519.0,43.70709991455078,1.57973
2010-01-01,3.76949777202442,1.227018042,27.8279775694672,3594.814357632942,-24406544935.3535,-10.2599847579035,30.0693089249393,1.7376258100431103,27259.7660986177,26390.0,279049859428.85803,10.769900321960401,60.0,100.0,145000.0,2450.0,18.6627234392262,1.0,1.010235,0.717687,1.0,0.7198218000000001,1.1072030000000002,35.8,0.8220000000000001,733515.0,111.5892,106.7521,65.60205,720688.0,48.90969848632813,1.53257
2011-01-01,4.0119232671190606,1.217952272,27.219103024924504,3601.833658224187,-14719312839.82,-6.01285931472138,34.4548615994609,-1.69616574359263,26769.5118850004,26340.0,278041334782.043,12.6772003173828,60.97609043121338,55.5,147000.0,2066.0,19.0425266193476,1.0,0.9471941,0.7417393,1.0,0.6259704,1.107911,36.3,0.8270000000000001,720740.0,110.7699,106.5856,68.42896,725804.0,63.20610046386719,1.4568299999999998
2012-01-01,9.89489043896364,1.216505047,25.517440892003894,3613.93854250239,-3561728369.91936,-1.64714401974473,37.778014821055706,-4.0572938167393,26438.0163019973,25810.0,271411027125.957,15.5268001556396,63.0,33.09999847412109,148500.0,1092.0,19.4519388944348,1.0,1.035028,0.7752726,1.0,0.8269463,1.028528,36.0,0.8290000000000001,703525.0,109.6175,108.7159,68.51029,734003.0,61.04700088500977,1.3777700000000002
2013-01-01,6.95553973472436,1.252510013,30.1720552112441,3631.1830932794996,3720882132.09959,1.64372059730301,39.6065049729616,-0.922644347672758,27936.039664456293,27560.0,288230115471.542,16.1833992004395,62.0,18.399999618530273,149400.0,940.0,19.882696692769,1.0,1.230732,0.7487634,1.0,0.8041509,1.066935,36.2,0.8370000000000001,686070.0,109.5183,119.4554,66.13674,798925.0,58.37680053710938,1.32641
2014-01-01,5.2465198444008605,1.253744089,30.4570080786211,3653.47307803761,340855577.589982,0.148458737936501,40.21596800267029,0.792191109277567,28742.440378350897,28150.0,292835641286.096,13.894100189209,63.0,17.100000381469727,150000.0,804.0,20.3216999298728,1.0,0.9885908,0.8062744000000001,1.0,0.7499732,1.107446,35.6,0.84,667128.0,108.1026,116.0811,65.50357,768631.0,61.776100158691406,1.2897299999999998
2015-01-01,0.6371930252112099,1.284885387,27.15729838594,3617.7115962781804,470642359.964545,0.23613123488082,40.6151154462762,1.79204627618559,29668.8592004843,28870.0,299068874296.75604,12.4443998336792,64.0,23.29999923706055,150900.0,956.0,20.761941797688,1.0,1.220341,0.9178401,1.0,0.9568518,1.128678,35.5,0.843,648068.0,106.9626,118.7692,61.75633000000001,778589.0,61.81340026855469,1.24263
2016-01-01,3.53087448387177,1.262949614,30.641429707588955,3626.7589758932904,2254328982.76257,1.09281712467067,40.210823635828596,2.01948511739198,31043.563862243598,30290.0,312752279559.50604,11.066200256347699,62.0,42.099998474121094,151900.0,1204.0,21.1616092062225,1.0,1.2098209999999998,0.9740514,1.0,0.844399,1.15696,36.4921178817749,0.846,724282.6451097727,105.7375,118.0248,63.25565,766052.0,62.54079818725586,1.2876299999999998
2017-01-01,4.48387364128188,1.2369432688716235,31.074640842120527,3622.066838786707,2865427669.91492,1.29768274047823,42.7242663980773,3.5063454580029303,32777.4019740351,32010.0,329692018890.974,8.86699962615967,63.0,54.099998474121094,153000.0,1366.0,21.5577020889385,1.0,1.332028,1.1183459999999998,1.0,0.9087492,1.207646,36.48837451934814,0.848,730846.402272582,106.1831,119.9132,63.93581,769977.0,61.3223991394043,1.32733
2018-01-01,2.66780625936024,1.2491045437432953,30.497057365395484,3646.610459791581,956877938.0311359,0.3975817299987271,43.5217306698203,2.44126692937017,33415.4379006894,32680.0,336011599692.652,6.99340009689331,64.0,86.49700719745167,154467.0,1468.0,21.9538575375873,1.0,1.208909,1.140031,1.0,0.8900306999999998,1.204607,36.072775745391844,0.85,693104.0967885852,110.04367496559918,116.4572531427443,67.85548338261246,762866.9235824347,55.1703987121582,1.4387610100769996
